ano_idx,exp_subspace
34,"[0, 2, 9]"
35,"[2, 8]"
36,"[2, 8, 9]"
37,"[2, 4, 9]"
43,"[0, 2]"
44,"[2, 8, 9]"
45,"[2, 8, 9]"
46,"[1, 2, 9]"
47,"[1, 2, 9]"
82,"[2, 8, 9]"
83,"[0, 1, 2, 9]"
84,"[0, 1, 2, 9]"
85,"[0, 1, 2, 9]"
86,"[2, 4]"
87,"[1, 2, 9]"
88,"[1, 2, 9]"
94,"[0, 2]"
95,"[2, 8]"
96,"[2, 8, 9]"
116,"[2, 8]"
117,"[2, 9]"
118,"[0, 2, 9]"
119,"[0, 1, 2, 9]"
120,"[1, 2, 9]"
121,"[1, 2, 9]"
124,[4]
125,"[0, 1, 2, 9]"
128,"[1, 2, 4, 9]"
130,"[0, 1, 7, 9]"
152,"[0, 1, 2, 9]"
200,"[1, 2, 9]"
203,"[1, 2, 9]"
208,"[2, 9]"
216,"[2, 8, 9]"
217,"[0, 1, 2, 9]"
218,"[1, 2, 4, 5, 9]"
238,"[2, 4, 9]"
244,"[0, 1, 2, 9]"
245,"[0, 1, 2, 9]"
246,"[0, 1, 2, 9]"
254,"[2, 8, 9]"
277,"[2, 8]"
278,"[0, 1, 2, 9]"
293,"[1, 2, 9]"
300,"[0, 1, 2, 9]"
301,"[0, 1, 2, 9]"
305,"[0, 1]"
306,[7]
308,[7]
309,[7]
310,[7]
311,"[1, 2, 4, 9]"
312,"[0, 1, 2, 8, 9]"
319,"[0, 2]"
320,"[3, 4, 6]"
335,"[0, 2, 4]"
336,[0]
337,"[0, 1, 2, 9]"
340,"[1, 2, 4, 5, 9]"
341,[4]
353,"[1, 3, 6]"
360,"[0, 1, 2, 8, 9]"
361,[4]
391,"[0, 1, 2, 9]"
392,[4]
393,"[0, 1, 2, 9]"
410,"[0, 1, 2, 9]"
411,"[0, 1, 2, 9]"
412,[4]
416,"[2, 4]"
418,"[0, 1, 2, 9]"
419,"[0, 1, 2, 9]"
420,"[2, 9]"
428,"[0, 2, 9]"
437,"[0, 1, 3]"
459,"[0, 2]"
460,"[2, 9]"
475,"[0, 1, 2, 9]"
476,"[0, 1, 4, 5, 7, 9]"
477,[4]
489,"[0, 2]"
490,"[0, 6]"
496,"[0, 2, 8]"
543,"[0, 1, 2, 9]"
544,"[0, 1, 2, 9]"
545,[4]
548,[4]
549,"[0, 1, 2, 9]"
551,"[0, 1, 2, 9]"
552,"[0, 1, 2, 9]"
570,"[0, 1, 7, 9]"
576,"[0, 1, 2, 9]"
577,"[0, 1, 2, 9]"
594,"[4, 6]"
601,"[2, 4, 8, 9]"
615,[4]
617,"[0, 1, 2, 9]"
618,"[1, 2, 9]"
619,"[0, 1, 2, 9]"
638,"[0, 1, 2, 9]"
663,"[0, 1, 6]"
669,"[0, 1, 2, 9]"
685,[4]
698,[8]
707,"[0, 1, 2, 8, 9]"
724,"[0, 1, 2, 9]"
725,"[2, 4]"
726,[4]
731,"[2, 4, 9]"
732,[7]
734,"[0, 1, 2, 9]"
735,"[0, 1, 2, 9]"
736,"[0, 1, 2, 9]"
737,"[0, 1, 2, 9]"
738,[4]
739,"[0, 1, 2, 9]"
748,[4]
749,"[0, 1, 2, 9]"
762,"[0, 1, 2, 9]"
763,"[0, 1, 2, 9]"
768,"[0, 2]"
770,"[2, 9]"
783,"[2, 9]"
804,[4]
824,"[0, 1, 2, 9]"
830,"[0, 2]"
831,"[1, 2]"
833,"[0, 1, 2, 9]"
857,"[1, 2, 4, 5, 9]"
863,"[1, 2, 4, 5, 9]"
897,"[0, 1, 2, 9]"
898,"[4, 5]"
917,"[2, 8, 9]"
919,"[0, 2]"
922,"[1, 2, 4, 5, 9]"
924,"[0, 1, 2, 9]"
925,"[0, 1, 2, 9]"
930,"[6, 9]"
953,"[0, 1, 2, 9]"
955,"[0, 1, 2, 9]"
956,"[0, 1, 2, 9]"
959,"[0, 1, 2, 9]"
961,"[0, 1, 2, 8, 9]"
962,"[0, 1, 2, 9]"
964,"[0, 1, 2, 9]"
965,"[0, 1, 2, 9]"
966,"[0, 1, 2, 9]"
976,"[0, 1, 2, 9]"
977,"[0, 2, 9]"
1009,"[0, 1, 2, 9]"
1021,"[0, 1, 2, 9]"
1056,"[0, 1, 2, 9]"
1108,"[2, 9]"
1109,"[0, 1, 2, 9]"
1118,"[1, 6, 9]"
1143,"[0, 9]"
1144,"[0, 2, 4]"
1192,"[0, 2, 3]"
1198,"[0, 1, 2, 9]"
1208,"[0, 1, 2, 6]"
1235,"[0, 1, 2, 9]"
1279,"[0, 1, 7]"
1280,"[0, 1, 2, 9]"
1284,"[0, 1, 2, 9]"
1305,"[2, 4, 8, 9]"
1308,"[0, 1, 2, 8, 9]"
1309,"[2, 8, 9]"
1310,"[5, 7, 8]"
1311,"[0, 1, 2, 8, 9]"
1320,"[2, 4, 8, 9]"
1321,"[2, 4, 8, 9]"
1325,"[0, 1, 2, 8, 9]"
1328,"[0, 1, 2, 8, 9]"
1330,"[0, 1, 2, 8, 9]"
1331,"[2, 8, 9]"
1333,"[4, 7, 9]"
1335,"[0, 1, 2, 8, 9]"
1337,"[0, 1, 2, 8, 9]"
1339,"[4, 6]"
1340,"[2, 9]"
1356,"[2, 4, 8, 9]"
1367,"[0, 7, 9]"
1368,"[0, 1, 2, 8, 9]"
1369,[4]
1372,"[2, 4, 8, 9]"
1374,"[0, 2, 4, 8]"
1375,"[0, 7, 9]"
1378,"[0, 1, 2, 8, 9]"
1379,"[0, 1, 2, 8, 9]"
1381,"[0, 1, 2, 9]"
1383,"[0, 1, 2, 9]"
1384,[4]
1386,"[0, 1, 2, 9]"
1387,"[0, 1, 2, 8, 9]"
1390,"[2, 8, 9]"
1488,"[2, 3]"
1522,"[1, 2, 4, 5, 9]"
1523,"[0, 1, 2, 9]"
1532,"[1, 5, 9]"
1534,"[1, 2, 4, 5, 9]"
1576,[4]
1577,"[0, 1, 2, 9]"
1586,[4]
2287,"[4, 5]"
2300,"[2, 9]"
2310,"[2, 4, 8, 9]"
2311,"[0, 1, 7]"
2323,"[0, 1, 2, 8, 9]"
2324,"[0, 1, 7]"
2325,"[2, 4, 8, 9]"
2327,"[0, 4, 7, 8]"
2330,"[2, 4, 8, 9]"
2338,"[0, 2, 4, 8]"
2340,"[0, 7, 9]"
2341,"[0, 7, 9]"
2343,"[0, 1, 6, 7, 9]"
2354,"[0, 1, 2, 9]"
2361,[7]
2380,[7]
2381,"[0, 1, 2]"
2383,"[0, 1, 2, 9]"
2384,"[2, 9]"
2385,"[2, 8, 9]"
2389,"[4, 5]"
2390,"[0, 1, 2, 9]"
2402,"[0, 2, 4]"
2403,"[0, 1, 2, 8, 9]"
2407,"[2, 8, 9]"
2413,"[0, 1, 7]"
2424,"[2, 9]"
2426,"[0, 1, 2, 7, 8]"
2429,"[2, 9]"
2437,"[4, 8]"
2439,[6]
2440,[6]
2451,"[0, 1, 2, 8, 9]"
2452,"[2, 4]"
2456,"[0, 1, 7]"
2457,"[0, 1, 7]"
2458,"[0, 1, 2, 9]"
2463,[7]
2473,"[0, 1, 2, 9]"
2492,"[2, 8]"
2493,"[2, 8, 9]"
2495,"[0, 1, 2, 9]"
2496,"[1, 2, 9]"
2497,"[0, 1, 2, 9]"
2498,"[0, 1, 2, 9]"
2847,"[2, 8]"
2852,"[2, 9]"
2859,"[5, 7]"
2860,"[1, 3, 6, 7, 8]"
2868,"[0, 1, 2, 9]"
2869,[4]
2938,"[2, 8, 9]"
2940,"[1, 2]"
2944,[7]
2945,[7]
2946,"[0, 1, 2]"
2954,"[0, 1, 2, 8, 9]"
2971,"[2, 9]"
3415,"[2, 8, 9]"
3429,"[7, 9]"
3439,"[0, 1]"
3443,"[0, 1]"
3458,"[0, 1]"
3463,"[0, 1]"
3475,"[0, 1]"
3502,"[0, 1]"
3506,"[0, 7, 8]"
3519,"[3, 7]"
3533,"[0, 1]"
3548,"[0, 1]"
3563,"[0, 1]"
3564,"[0, 7, 9]"
3573,"[3, 7]"
3582,"[0, 1, 6]"
3583,"[2, 4, 9]"
3611,"[1, 2, 8, 9]"
3612,"[1, 2, 8, 9]"
3614,"[6, 9]"
3622,"[3, 7]"
3631,"[0, 1]"
3642,"[0, 1]"
3652,"[0, 1]"
3654,"[0, 1]"
3655,"[3, 7]"
3664,"[3, 7]"
3673,"[2, 4, 9]"
3674,"[0, 1, 2, 4]"
3675,"[2, 4, 9]"
3692,"[0, 1]"
3693,[4]
3703,"[0, 1]"
3706,[1]
3707,"[0, 2, 9]"
3718,"[3, 7]"
3727,"[0, 1, 2, 8, 9]"
3728,"[1, 2, 4, 5, 9]"
3729,"[1, 2, 8, 9]"
3755,"[0, 1, 2, 8, 9]"
3756,"[0, 1, 2, 8, 9]"
3757,"[1, 2, 4, 5, 9]"
3774,"[0, 1, 2, 9]"
3775,"[1, 2, 4, 5, 9]"
3776,[4]
3777,"[0, 1, 2, 9]"
3778,"[1, 2, 4, 5, 9]"
3780,"[0, 7, 8]"
3803,"[0, 1]"
3806,"[0, 1]"
3836,"[0, 1]"
3850,"[0, 1]"
3853,"[0, 1]"
3857,"[0, 7, 8]"
3867,"[3, 7]"
3876,"[0, 1]"
3894,"[0, 1]"
3920,"[0, 1]"
3925,"[0, 7, 8]"
3936,"[3, 7]"
3945,"[0, 1]"
3949,"[0, 1]"
3985,"[0, 1]"
4008,"[0, 1]"
4012,"[0, 1, 7, 9]"
4022,"[3, 7]"
4031,"[0, 1]"
4032,"[2, 8, 9]"
4052,"[0, 1]"
4082,"[0, 1]"
4084,"[2, 8]"
4085,"[0, 2]"
4086,"[0, 1, 2, 9]"
4087,"[0, 1, 2, 9]"
4088,"[0, 1, 2, 9]"
4091,"[3, 4, 7]"
4092,"[6, 9]"
4093,"[3, 6]"
4094,"[0, 1, 2, 9]"
4095,"[0, 1, 2, 9]"
4099,"[0, 1, 2, 9]"
4103,"[1, 2, 5, 8]"
4104,"[0, 1, 2, 9]"
4105,"[5, 8]"
4109,"[2, 8]"
4117,"[1, 2, 5, 8, 9]"
4118,"[0, 1, 2, 9]"
4119,"[0, 1, 2, 9]"
4142,"[2, 3, 5, 8]"
4144,"[0, 1, 2, 9]"
4148,"[0, 1, 2, 9]"
4155,"[0, 1, 2, 9]"
4156,"[1, 5, 7]"
4164,"[0, 1, 2, 9]"
4175,"[0, 1, 2, 9]"
4176,"[0, 1, 7, 9]"
4177,"[2, 4, 8, 9]"
4178,"[0, 1, 7, 9]"
4179,"[1, 2, 4, 5, 9]"
4180,"[0, 1, 2, 9]"
4182,"[0, 1, 2, 9]"
4183,"[0, 1, 7, 9]"
4184,"[0, 1, 2, 9]"
4185,"[0, 1, 2, 9]"
4186,"[1, 2, 9]"
4187,"[0, 1, 2, 9]"
4188,"[0, 1, 2, 9]"
4189,"[2, 8, 9]"
4190,"[1, 3, 7]"
