ano_idx,exp_subspace
34,"[0, 5, 6]"
35,"[6, 9]"
36,"[4, 6, 9]"
37,"[0, 6]"
43,"[0, 5, 6]"
44,"[4, 6, 9]"
45,"[4, 6, 9]"
46,"[4, 6, 9]"
47,"[4, 6, 9]"
82,"[0, 3, 5, 6, 9]"
83,"[2, 4, 6, 8]"
84,"[2, 4, 6, 8]"
85,"[2, 4, 6, 8]"
86,"[3, 7]"
87,"[4, 6, 9]"
88,"[4, 6, 9]"
94,"[0, 5, 6]"
95,"[0, 6]"
96,"[4, 6, 9]"
116,"[5, 6, 9]"
117,"[4, 6, 9]"
118,"[0, 6]"
119,"[2, 4, 6, 8]"
120,"[0, 4, 6]"
121,"[4, 6, 9]"
124,"[3, 5, 8]"
125,"[2, 4, 6, 8]"
128,"[0, 4, 6]"
130,"[2, 4, 6, 8]"
152,"[0, 2, 3, 4, 6]"
200,"[0, 1, 3, 6, 8, 9]"
203,"[1, 3, 8]"
208,"[1, 3, 5, 8]"
216,"[6, 9]"
217,"[0, 2, 3, 4, 6]"
218,"[0, 3, 4]"
238,"[0, 3, 5, 6, 9]"
244,"[0, 2, 3, 4, 6]"
245,"[0, 2, 3, 4, 6]"
246,"[2, 4, 6, 8]"
254,"[0, 1, 3, 5, 6, 9]"
277,"[6, 9]"
278,"[0, 2, 3, 4, 6]"
293,"[3, 8]"
300,"[2, 4, 6, 8]"
301,"[2, 4, 6, 8]"
305,"[1, 3, 5, 7]"
306,"[0, 1, 3]"
308,"[0, 1, 3]"
309,"[0, 1, 3, 8]"
310,"[1, 3, 5]"
311,"[0, 3, 4]"
312,"[4, 6, 9]"
319,[4]
320,"[5, 8]"
335,"[3, 5]"
336,"[2, 4]"
337,"[4, 5]"
340,"[3, 4]"
341,"[3, 5, 8]"
353,"[2, 3, 6, 7]"
360,"[4, 6, 9]"
361,"[0, 3, 6, 8, 9]"
391,"[4, 6, 9]"
392,"[3, 9]"
393,"[0, 2, 3, 4, 6]"
410,"[2, 4, 6, 8]"
411,"[4, 6, 9]"
412,"[0, 2, 3, 4, 6]"
416,"[3, 7]"
418,"[2, 4, 6, 8]"
419,"[0, 2, 3, 4, 6]"
420,"[0, 6]"
428,"[0, 5, 6]"
437,[2]
459,"[4, 5, 6]"
460,"[1, 3, 8]"
475,"[0, 2, 3, 4, 6]"
476,"[3, 5, 8]"
477,"[2, 3, 7]"
489,"[4, 5, 6]"
490,[4]
496,"[2, 3, 5, 6]"
543,"[2, 4, 6, 8]"
544,"[2, 4, 6, 8]"
545,"[3, 5]"
548,"[3, 5, 8]"
549,"[0, 2, 3, 4, 6]"
551,"[4, 6, 9]"
552,"[0, 2, 3, 4, 6]"
570,"[4, 7, 8]"
576,"[4, 6, 9]"
577,"[2, 4, 6, 8]"
594,"[4, 6, 9]"
601,"[3, 4, 7]"
615,"[0, 2, 3, 4, 6]"
617,"[2, 4, 6, 8]"
618,"[4, 6, 9]"
619,"[2, 4, 7, 8]"
638,"[2, 4, 6, 8]"
663,"[5, 6, 7]"
669,"[2, 4, 6, 8]"
685,"[3, 4, 7]"
698,"[1, 3, 7, 9]"
707,"[0, 1, 2, 3, 4, 6]"
724,"[0, 2, 3, 4, 6]"
725,"[3, 7]"
726,"[3, 7]"
731,"[0, 3, 6, 9]"
732,"[0, 1, 3]"
734,"[2, 4, 6, 8]"
735,"[0, 2, 3, 4, 6]"
736,"[4, 6, 9]"
737,"[2, 4, 6, 8]"
738,"[3, 5, 8]"
739,"[2, 4, 6, 8]"
748,"[6, 7, 9]"
749,"[0, 6]"
762,"[4, 6, 9]"
763,"[4, 6, 9]"
768,"[4, 5, 6]"
770,"[5, 6, 8]"
783,"[1, 3, 8]"
804,"[0, 3, 6]"
824,"[0, 2, 3, 4, 6]"
830,[5]
831,"[3, 4, 5]"
833,"[2, 4, 6, 8]"
857,"[0, 2, 3, 4, 6]"
863,"[4, 6, 9]"
897,"[0, 2, 3, 4, 6]"
898,"[0, 3, 4]"
917,"[0, 1, 3, 6, 8, 9]"
919,[5]
922,"[3, 4]"
924,"[2, 4, 6, 8]"
925,"[1, 3, 4, 8]"
930,"[0, 5]"
953,"[1, 3, 4, 8]"
955,"[1, 3, 4, 8]"
956,"[1, 3, 4, 8]"
959,"[1, 3, 4, 8]"
961,"[3, 5, 8]"
962,"[0, 5, 6]"
964,"[1, 3, 4, 8]"
965,"[1, 2, 4, 7, 8]"
966,"[1, 3, 4, 8]"
976,"[1, 3, 4, 8]"
977,"[0, 5, 6]"
1009,"[4, 5]"
1021,"[2, 3]"
1056,"[0, 3, 4, 5, 6]"
1108,"[0, 1, 2, 8]"
1109,"[0, 5, 6]"
1118,"[0, 3, 6, 7]"
1143,"[5, 8]"
1144,"[3, 5]"
1192,"[5, 8]"
1198,"[0, 5, 6]"
1208,"[1, 3, 5, 7]"
1235,"[4, 5]"
1279,"[3, 4, 5]"
1280,"[0, 5, 6]"
1284,"[1, 3, 4, 8]"
1305,"[1, 3, 5, 7]"
1308,"[3, 4, 5, 7]"
1309,"[5, 6, 8]"
1310,"[0, 3, 9]"
1311,"[3, 4, 7]"
1320,[4]
1321,"[4, 6, 9]"
1325,"[3, 4, 5]"
1328,"[4, 5]"
1330,"[5, 7]"
1331,"[1, 3, 5, 7]"
1333,"[3, 7]"
1335,"[5, 7]"
1337,"[3, 4, 5, 7]"
1339,"[1, 3, 5, 7]"
1340,"[1, 3, 7, 8]"
1356,"[1, 3, 5, 7]"
1367,"[0, 3, 4]"
1368,[4]
1369,"[3, 4, 7]"
1372,"[3, 7]"
1374,"[4, 7]"
1375,"[0, 3, 4]"
1378,"[1, 3, 5, 7]"
1379,"[5, 7]"
1381,[4]
1383,[5]
1384,"[4, 6]"
1386,"[1, 3, 5, 8]"
1387,"[3, 5, 8]"
1390,"[6, 9]"
1488,[0]
1522,"[3, 4, 9]"
1523,"[0, 2, 3, 4, 6]"
1532,"[0, 3, 4, 8]"
1534,"[0, 3, 4, 5, 6]"
1576,"[2, 3, 7]"
1577,"[0, 2, 3, 4, 6]"
1586,"[2, 3, 7]"
2287,"[3, 5, 8]"
2300,"[1, 3, 5, 8]"
2310,"[1, 3, 5, 7]"
2311,"[3, 4, 5]"
2323,"[3, 4, 5]"
2324,[4]
2325,"[1, 3, 5, 7]"
2327,[4]
2330,"[3, 4, 7]"
2338,"[4, 7]"
2340,"[0, 5]"
2341,"[0, 3, 4, 5, 6]"
2343,"[0, 5]"
2354,"[0, 5]"
2361,"[0, 1, 3, 8]"
2380,"[0, 1, 3, 8]"
2381,"[4, 5]"
2383,"[5, 6, 8]"
2384,"[5, 6, 8]"
2385,"[6, 9]"
2389,"[0, 3, 4, 5, 6]"
2390,"[2, 4, 6, 8]"
2402,"[3, 5]"
2403,"[3, 5, 8]"
2407,"[1, 3, 5, 8]"
2413,"[3, 5]"
2424,"[1, 3, 5, 8]"
2426,"[3, 5, 8]"
2429,"[1, 3, 8, 9]"
2437,"[3, 7]"
2439,"[1, 3, 5, 7]"
2440,"[1, 3, 5, 7]"
2451,"[4, 7]"
2452,"[4, 7]"
2456,"[0, 5, 6]"
2457,"[0, 5, 6]"
2458,"[0, 5, 6]"
2463,"[0, 1, 3, 8]"
2473,"[1, 3, 4, 8]"
2492,"[5, 6, 8]"
2493,"[5, 6, 8]"
2495,"[4, 6, 9]"
2496,"[4, 6, 9]"
2497,"[4, 6, 8]"
2498,"[2, 4, 6, 8]"
2847,"[5, 6, 8]"
2852,"[1, 3, 5, 8]"
2859,"[0, 3, 8]"
2860,"[0, 3, 4]"
2868,"[3, 4, 5]"
2869,"[4, 7]"
2938,"[5, 6, 8]"
2940,"[3, 5]"
2944,"[0, 3, 5]"
2945,"[0, 3, 4]"
2946,"[0, 5]"
2954,[4]
2971,"[1, 3, 8]"
3415,"[0, 3, 8]"
3429,"[0, 3, 4, 8]"
3439,"[1, 3, 5, 7]"
3443,"[1, 3, 7]"
3458,"[1, 3, 5, 7]"
3463,"[1, 3, 5, 7]"
3475,"[1, 3, 5, 7]"
3502,"[1, 3, 7]"
3506,"[0, 5]"
3519,"[0, 6]"
3533,"[1, 3, 5, 7]"
3548,"[1, 3, 5, 7]"
3563,"[1, 3, 5, 7]"
3564,"[0, 5, 6]"
3573,"[0, 6]"
3582,"[1, 3, 5, 7]"
3583,"[3, 5, 8]"
3611,"[4, 6, 9]"
3612,"[4, 6, 9]"
3614,"[1, 2, 5, 8]"
3622,"[0, 6]"
3631,"[1, 3, 5, 7]"
3642,"[1, 3, 7]"
3652,"[1, 3, 5, 7]"
3654,"[1, 3, 5, 7]"
3655,"[0, 5, 6, 7]"
3664,"[0, 6]"
3673,"[0, 6]"
3674,"[1, 3, 5, 7]"
3675,"[0, 3, 5, 6, 9]"
3692,"[1, 3, 5, 7]"
3693,"[0, 3, 9]"
3703,"[1, 3, 5, 7]"
3706,[3]
3707,"[0, 5, 6]"
3718,"[0, 6]"
3727,"[4, 6, 9]"
3728,"[3, 4]"
3729,"[4, 6, 9]"
3755,"[4, 6, 9]"
3756,"[4, 6, 9]"
3757,"[3, 4]"
3774,"[4, 6, 9]"
3775,"[4, 6, 9]"
3776,"[3, 7]"
3777,"[0, 2, 3, 4, 6]"
3778,"[3, 4]"
3780,[0]
3803,"[1, 3]"
3806,"[1, 3, 7]"
3836,"[1, 3, 5, 7]"
3850,"[1, 3, 5, 7]"
3853,"[1, 3, 5, 7]"
3857,"[0, 5]"
3867,"[0, 6]"
3876,"[1, 3, 7]"
3894,"[1, 3, 5, 7]"
3920,"[1, 3, 7]"
3925,"[0, 5]"
3936,"[0, 6]"
3945,"[1, 3, 5, 7]"
3949,"[1, 3, 5, 7]"
3985,"[1, 3, 5, 7]"
4008,"[1, 3, 5, 7]"
4012,"[0, 4]"
4022,"[0, 6]"
4031,"[1, 3, 5, 7]"
4032,"[5, 6, 8]"
4052,"[1, 3, 7]"
4082,"[1, 3, 7]"
4084,"[5, 6, 8]"
4085,"[1, 5]"
4086,"[4, 6, 9]"
4087,"[4, 6, 9]"
4088,"[2, 4, 6, 8]"
4091,"[2, 3, 6, 7]"
4092,"[5, 8]"
4093,"[0, 5, 6, 7]"
4094,"[1, 3, 4, 9]"
4095,"[0, 1, 3, 4, 8]"
4099,"[0, 1, 3, 4, 8]"
4103,"[4, 6]"
4104,"[2, 4, 6, 8]"
4105,"[3, 7, 9]"
4109,"[1, 3, 5, 9]"
4117,"[4, 6, 9]"
4118,"[2, 4, 6, 8]"
4119,"[1, 3, 4, 9]"
4142,"[3, 7, 9]"
4144,"[0, 1, 3, 4, 8]"
4148,"[0, 1, 3, 4, 8]"
4155,"[0, 1, 3, 4, 8]"
4156,"[3, 4]"
4164,"[1, 3, 4, 8]"
4175,"[1, 3, 4, 8]"
4176,"[4, 7, 8]"
4177,"[5, 7]"
4178,"[2, 3, 4, 6, 7]"
4179,"[3, 4, 9]"
4180,"[2, 4, 6, 8]"
4182,"[2, 4, 6, 8]"
4183,"[2, 4, 6, 8]"
4184,"[2, 4, 6, 8]"
4185,"[2, 4, 6, 8]"
4186,"[4, 6, 9]"
4187,"[4, 6, 9]"
4188,"[4, 6, 9]"
4189,"[4, 6, 9]"
4190,"[3, 4, 6, 7, 8, 9]"
4192,"[2, 6, 8, 9]"
4198,"[3, 5, 8]"
4199,"[2, 3, 7]"
4229,"[3, 4, 6, 7, 8]"
4231,"[8, 9]"
4232,"[4, 6, 9]"
4233,"[2, 3, 6, 9]"
4270,"[0, 1]"
4273,"[4, 6, 9]"
4275,"[8, 9]"
4279,"[3, 7]"
4280,"[3, 7]"
4281,"[3, 7]"
4312,"[3, 5]"
