ano_idx,exp_subspace
34,"[0, 2]"
35,[2]
36,[2]
37,[2]
43,"[0, 2]"
44,[2]
45,[2]
46,"[1, 2]"
47,"[1, 2]"
82,"[0, 2]"
83,"[0, 1, 2]"
84,"[0, 1, 2]"
85,"[0, 1, 2]"
86,[2]
87,"[1, 2]"
88,"[1, 2]"
94,"[0, 2]"
95,"[2, 7]"
96,[2]
116,"[0, 2]"
117,[2]
118,[2]
119,[0]
120,[1]
121,[2]
124,[4]
125,"[0, 1, 2]"
128,[1]
130,[0]
152,"[0, 1, 2]"
200,[2]
203,[2]
208,[2]
216,[2]
217,[0]
218,[1]
238,[4]
244,[0]
245,[0]
246,[0]
254,"[2, 7]"
277,[2]
278,[1]
293,"[0, 1, 2]"
300,[0]
301,[0]
305,[3]
306,[6]
308,[7]
309,"[0, 2]"
310,"[1, 2]"
311,[4]
312,"[0, 1, 2]"
319,"[0, 2, 7]"
320,[0]
335,"[0, 2]"
336,[0]
337,"[1, 2]"
340,[4]
341,[4]
353,[5]
360,"[0, 1, 2]"
361,[4]
391,"[0, 1, 2]"
392,[4]
393,"[0, 1, 2]"
410,"[0, 1, 2]"
411,"[0, 1, 2]"
412,[4]
416,[4]
418,"[0, 1, 2]"
419,[0]
420,[2]
428,"[0, 2]"
437,[0]
459,"[0, 1]"
460,[2]
475,"[0, 1, 2]"
476,[1]
477,[0]
489,"[0, 2, 7]"
490,[0]
496,"[0, 2]"
543,"[0, 1, 2]"
544,"[0, 1, 2]"
545,[4]
548,[4]
549,"[0, 1, 2]"
551,"[0, 1, 2]"
552,"[0, 1, 2]"
570,[0]
576,"[0, 1, 2]"
577,[0]
594,"[1, 2]"
601,[1]
615,[4]
617,[0]
618,"[0, 1, 2, 4]"
619,[0]
638,"[0, 1, 2]"
663,"[0, 2, 7]"
669,"[0, 1, 2]"
685,[1]
698,[1]
707,"[0, 1, 2, 6]"
724,[0]
725,[2]
726,[4]
731,[4]
732,[6]
734,"[0, 1, 2]"
735,"[0, 1, 2]"
736,"[0, 1, 2]"
737,"[0, 1, 2]"
738,[1]
739,[0]
748,[3]
749,"[0, 2]"
762,"[0, 1, 2]"
763,"[0, 1, 2]"
768,"[0, 2, 6]"
770,[2]
783,[2]
804,[4]
824,"[0, 1, 2]"
830,"[0, 1, 2]"
831,"[1, 2]"
833,"[0, 1, 2]"
857,"[0, 1, 2]"
863,"[1, 2, 4]"
897,"[0, 1, 2]"
898,[4]
917,[2]
919,"[1, 2]"
922,[4]
924,"[0, 1, 2]"
925,"[0, 1, 2]"
930,[9]
953,"[0, 1, 2]"
955,"[0, 1, 2]"
956,"[0, 1, 2]"
