ano_idx,exp_subspace
34,"[3, 4, 5, 6]"
35,"[3, 4, 5, 6]"
36,"[4, 5, 6]"
37,"[3, 4, 5, 6]"
43,"[3, 4, 5, 6]"
44,"[4, 5, 6]"
45,"[3, 4, 5, 6]"
46,"[4, 5]"
47,"[3, 4]"
82,"[4, 5]"
83,"[1, 4]"
84,"[1, 4]"
85,"[1, 4]"
86,"[3, 4, 5, 6]"
87,"[4, 5]"
88,"[3, 4, 5, 6]"
94,"[3, 4, 5, 6]"
95,"[0, 4, 5]"
96,"[3, 4, 5, 6]"
116,"[3, 4, 5, 6]"
117,"[4, 5, 7]"
118,"[3, 4, 6]"
119,"[1, 4]"
120,"[3, 4, 5, 6]"
121,"[3, 4, 5, 6]"
124,"[3, 4, 5, 6]"
125,"[1, 4]"
128,"[3, 4, 5, 6]"
130,"[4, 5]"
152,"[1, 4]"
200,"[4, 6]"
203,"[4, 5, 6]"
208,"[3, 4, 5, 6]"
216,"[3, 4, 5, 6]"
217,"[3, 4, 5, 6]"
218,"[3, 4, 6, 7, 8]"
238,"[0, 1, 3, 5]"
244,"[3, 4, 5, 6]"
245,"[3, 4, 5, 6]"
246,"[1, 4]"
254,"[0, 2, 4, 5, 9]"
277,[6]
278,"[3, 4, 5, 6]"
293,"[3, 4, 5, 6]"
300,"[1, 4]"
301,"[1, 4]"
305,"[3, 5, 6]"
306,[0]
308,"[0, 4, 5]"
309,"[0, 1, 2, 4, 5, 8]"
310,"[4, 5]"
311,"[3, 4, 5, 6]"
312,"[1, 4]"
319,"[0, 1, 5]"
320,"[6, 8]"
335,"[3, 4, 5, 6]"
336,"[0, 2, 4, 5]"
337,"[1, 4]"
340,"[3, 4, 5, 6]"
341,"[3, 4, 5, 6]"
353,"[1, 3, 4, 8, 9]"
360,"[1, 4]"
361,"[3, 4, 5, 6]"
391,"[1, 4]"
392,"[3, 4, 5, 6]"
393,"[1, 4]"
410,"[1, 4]"
411,"[1, 4]"
412,"[3, 4, 5, 6]"
416,"[3, 4, 5, 6]"
418,"[1, 4]"
419,"[3, 4, 5, 6]"
420,"[3, 4, 5, 6]"
428,"[3, 4, 5, 6]"
437,"[2, 3, 4, 7]"
459,"[4, 5]"
460,"[2, 4, 5, 6, 9]"
475,"[1, 4]"
476,"[3, 4, 5, 6]"
477,"[3, 4, 5, 6]"
489,"[1, 5, 7]"
490,"[2, 3, 4]"
496,"[1, 3]"
543,"[1, 4]"
544,"[1, 4]"
545,"[3, 4, 6, 7, 8]"
548,"[0, 2, 3, 4, 5, 7]"
549,"[1, 4]"
551,"[1, 4]"
552,"[1, 4]"
570,"[3, 4, 5, 6]"
576,"[1, 4]"
577,"[3, 4, 5, 6]"
594,"[3, 4, 5, 6]"
601,"[3, 4, 5, 6]"
615,"[3, 4, 5, 6]"
617,"[3, 4, 5, 6]"
618,"[3, 4]"
619,"[1, 4]"
638,"[1, 4]"
663,"[0, 1, 2, 3, 4, 5, 6, 7]"
669,"[1, 4]"
685,"[4, 5]"
698,"[1, 4, 5]"
707,"[0, 4, 7]"
724,"[1, 4]"
725,"[3, 4, 5, 6]"
726,"[3, 4, 5, 6]"
731,"[3, 4, 5, 6]"
732,"[0, 5, 9]"
734,"[3, 4, 5, 6]"
735,"[3, 4, 8]"
736,"[1, 4]"
737,"[1, 4]"
738,"[3, 4, 5, 6]"
739,"[1, 4]"
748,"[5, 9]"
749,"[0, 1, 3, 5]"
762,"[3, 4, 5, 6]"
763,"[1, 4]"
768,"[1, 3, 4, 5, 6, 7]"
770,"[3, 4, 5, 6]"
783,"[4, 5]"
804,"[0, 1, 3, 4, 5, 6]"
824,"[1, 4]"
830,"[1, 2, 5]"
831,"[0, 2]"
833,"[1, 4]"
857,"[1, 4]"
863,"[1, 4]"
897,"[1, 4]"
898,"[3, 4, 6]"
917,"[4, 5]"
919,"[1, 5]"
922,"[3, 4, 5, 6]"
924,"[0, 3, 4, 7, 8]"
925,"[0, 2, 4]"
930,"[0, 1, 2, 7, 8]"
953,"[0, 6, 7, 9]"
955,"[0, 2, 4]"
956,"[0, 2, 4]"
959,"[0, 2, 4]"
961,"[5, 9]"
962,"[1, 5]"
964,"[0, 5]"
965,"[3, 4, 5, 6]"
966,[6]
976,"[0, 2, 4]"
977,"[1, 5]"
1009,"[1, 4]"
1021,"[0, 2, 4]"
1056,"[1, 5]"
1108,"[4, 5]"
1109,"[4, 5]"
1118,"[1, 2, 3, 6]"
1143,[2]
1144,"[3, 4, 5, 6]"
1192,"[0, 5, 6, 7, 9]"
1198,"[1, 5]"
1208,"[0, 1, 5, 6, 7, 9]"
1235,"[1, 4]"
1279,"[1, 4]"
1280,"[1, 5]"
1284,"[0, 2, 4]"
1305,"[1, 4]"
1308,"[3, 4, 5, 6]"
1309,"[3, 4, 5, 6]"
1310,"[0, 2, 8, 9]"
1311,"[1, 4]"
1320,"[3, 4, 5, 6]"
1321,"[3, 4, 5, 6]"
1325,"[0, 5]"
1328,"[1, 5]"
1330,"[4, 5]"
1331,"[4, 5]"
1333,"[2, 4, 5, 6, 9]"
1335,"[1, 5]"
1337,"[1, 4]"
1339,"[0, 1, 2, 4, 5, 8]"
1340,"[4, 5, 6]"
1356,"[3, 4, 5, 6]"
1367,"[0, 5]"
1368,"[4, 5]"
1369,"[3, 4, 5, 6]"
1372,"[1, 4]"
1374,"[3, 4, 5, 6]"
1375,"[0, 1, 2, 7, 8]"
1378,"[5, 9]"
1379,"[4, 5]"
1381,"[1, 4]"
1383,"[1, 5]"
1384,"[1, 4]"
1386,"[3, 4]"
1387,"[4, 5]"
1390,"[3, 4, 5, 6]"
1488,"[0, 1]"
1522,"[3, 4, 5, 6]"
1523,"[1, 4]"
1532,"[3, 4, 5, 6]"
1534,"[3, 4, 5, 6]"
1576,"[3, 4, 5, 6]"
1577,"[3, 4, 5, 6]"
1586,"[1, 4]"
2287,"[3, 4, 5, 6]"
2300,"[4, 5]"
2310,"[1, 5]"
2311,"[1, 5]"
2323,"[1, 5]"
2324,"[3, 4, 5, 6]"
2325,"[1, 4]"
2327,"[4, 5]"
2330,"[1, 4]"
2338,"[3, 4, 5, 6]"
2340,"[1, 5]"
2341,"[0, 5]"
2343,"[1, 5]"
2354,"[1, 5]"
2361,"[0, 2, 4]"
2380,"[1, 4]"
2381,"[4, 5]"
2383,"[4, 5]"
2384,"[3, 4, 5, 6]"
2385,"[3, 4, 5, 6]"
2389,"[1, 3, 4, 9]"
2390,"[1, 4]"
2402,"[3, 4, 5, 6]"
2403,"[4, 5, 6]"
2407,"[4, 5, 7]"
2413,"[4, 5]"
2424,"[3, 4, 5, 6]"
2426,"[4, 5, 6]"
2429,"[3, 4, 5, 6]"
2437,"[1, 4, 5]"
2439,"[1, 4]"
2440,"[1, 4]"
2451,"[4, 5]"
2452,"[3, 4, 5, 6]"
2456,"[1, 5]"
2457,"[1, 5]"
2458,"[1, 5]"
2463,"[0, 5]"
2473,"[0, 2, 4]"
2492,"[1, 5]"
2493,"[4, 5]"
2495,"[1, 4]"
2496,"[1, 4]"
2497,"[1, 4]"
2498,"[3, 4, 5, 6]"
2847,"[4, 5]"
2852,"[3, 4, 5, 6]"
2859,"[0, 1, 5]"
2860,"[0, 4, 5]"
2868,"[1, 5]"
2869,"[3, 4, 5, 6]"
2938,"[3, 4, 5, 6]"
2940,"[1, 5]"
2944,"[1, 5]"
2945,"[1, 5]"
2946,"[0, 5]"
2954,"[1, 4]"
2971,"[4, 5]"
3415,"[1, 7, 8, 9]"
3429,"[0, 4, 5, 7]"
3439,"[3, 4, 5, 6]"
3443,"[3, 4, 5, 6]"
3458,"[4, 5]"
3463,"[3, 4, 5, 6]"
3475,"[3, 4, 5, 6]"
3502,"[1, 3, 5, 6, 7]"
3506,"[1, 5]"
3519,"[1, 4]"
3533,"[3, 4, 5, 6]"
3548,"[4, 5]"
3563,"[3, 4, 5, 6]"
3564,"[1, 4, 5, 6, 7, 9]"
3573,"[3, 4, 5, 6]"
3582,"[1, 3, 4, 5, 6, 7]"
3583,"[3, 4, 5, 6]"
3611,"[1, 2, 6]"
3612,"[3, 4]"
3614,"[0, 8]"
3622,"[0, 4, 5, 7]"
3631,"[3, 4, 5, 6]"
3642,"[1, 4]"
3652,"[3, 4, 5, 6]"
3654,"[3, 4, 5, 6]"
3655,"[1, 5]"
3664,"[1, 4]"
3673,"[3, 4, 5, 6]"
3674,"[0, 1, 3]"
3675,"[3, 4, 5, 6]"
3692,"[3, 4, 5, 6]"
3693,"[3, 4, 5, 6]"
3703,"[3, 4, 5, 6]"
3706,[3]
3707,"[1, 5]"
3718,"[0, 4, 5]"
3727,"[1, 4]"
3728,"[3, 4, 5, 6]"
3729,"[0, 3]"
3755,"[1, 4]"
3756,"[1, 4]"
3757,"[3, 4, 5, 6]"
3774,"[3, 4, 5, 6]"
3775,"[1, 4]"
3776,"[3, 4, 5, 6]"
3777,"[1, 4]"
3778,"[3, 8]"
3780,"[1, 5]"
3803,"[3, 4, 5, 6]"
3806,"[3, 4, 5, 6]"
3836,"[3, 5]"
3850,"[4, 5]"
3853,"[3, 4, 5, 6]"
3857,"[1, 4]"
3867,"[1, 4]"
3876,"[3, 4, 5, 6]"
3894,"[3, 4, 5, 6]"
3920,"[3, 4, 5, 6]"
3925,"[1, 4]"
3936,"[0, 4, 5]"
3945,"[3, 5]"
3949,"[4, 5]"
3985,"[1, 5]"
4008,"[3, 4, 5, 6]"
4012,"[1, 5]"
4022,"[4, 5]"
4031,"[1, 4]"
4032,"[3, 4, 5, 6]"
4052,"[3, 4, 5, 6]"
4082,"[4, 5]"
4084,"[3, 4, 5, 6]"
4085,"[3, 5]"
4086,"[1, 4]"
4087,"[1, 4]"
4088,"[1, 4]"
4091,"[3, 4, 8, 9]"
4092,"[1, 2, 5]"
4093,"[1, 4, 5, 6, 7, 9]"
4094,"[0, 6]"
4095,"[0, 8]"
4099,"[0, 6]"
4103,[6]
4104,"[1, 4]"
4105,"[0, 1, 2, 3, 4, 5, 9]"
4109,"[0, 2, 5, 8]"
4117,"[3, 4, 5, 6]"
4118,"[3, 4, 5, 6]"
4119,[6]
4142,"[2, 9]"
4144,"[0, 6]"
4148,"[0, 8]"
4155,"[0, 6]"
4156,"[3, 4, 8]"
4164,"[0, 6]"
4175,"[0, 5, 9]"
4176,"[4, 5]"
4177,"[1, 5]"
4178,"[3, 4, 5, 6]"
4179,"[1, 3, 6]"
4180,"[1, 4]"
4182,"[1, 4]"
4183,"[4, 5]"
4184,"[3, 4, 5, 6]"
4185,"[1, 4]"
4186,"[3, 4, 5, 6]"
4187,"[1, 4]"
4188,"[1, 4]"
4189,"[4, 5, 6]"
4190,"[2, 8]"
4192,"[5, 7, 8]"
4198,"[3, 4, 5, 6]"
4199,"[3, 4, 5, 6]"
4229,"[2, 4]"
4231,"[0, 5, 9]"
4232,"[3, 4, 6]"
4233,"[3, 4, 5, 6]"
4270,"[0, 1, 3, 4, 7]"
4273,"[3, 4, 5, 6]"
4275,"[1, 4, 5, 6, 7, 9]"
4279,"[3, 4, 5, 6]"
4280,"[3, 4, 5, 6]"
4281,"[3, 4, 5, 6]"
4312,"[3, 4, 5, 6]"
4313,"[3, 4, 5, 6]"
4314,"[0, 1, 4, 5]"
4315,"[1, 4]"
4316,"[0, 1, 7, 8]"
4318,"[1, 7]"
4320,"[0, 5, 9]"
4324,"[0, 6, 7, 9]"
4325,"[4, 5]"
4326,"[3, 4, 5, 6]"
4340,"[0, 2, 4]"
4350,"[0, 6, 7, 9]"
4367,"[3, 4, 5, 6]"
4368,"[3, 4, 5, 6]"
4369,"[1, 3, 4, 7]"
4370,"[0, 1, 2, 3]"
4373,"[3, 8]"
4379,"[0, 2, 4]"
4414,"[3, 7]"
4416,"[5, 7, 8]"
4420,"[3, 4, 5, 6]"
4459,"[1, 5]"
4460,"[3, 6, 8]"
4462,"[3, 4, 5, 6]"
4488,[0]
4493,"[3, 4, 5, 6]"
4516,"[3, 4, 5, 6]"
4517,"[0, 6]"
4519,[2]
4520,"[1, 2, 8]"
4523,"[3, 4, 5, 6]"
4535,"[0, 2, 4]"
4551,"[1, 4, 7]"
4553,"[0, 2, 5, 8]"
4582,"[0, 1, 2]"
4608,[7]
4615,"[3, 4, 5, 6]"
4616,"[3, 4, 5, 6]"
4617,"[3, 4, 5, 6]"
4628,"[4, 5, 6]"
4629,"[4, 5]"
4631,"[4, 5]"
4636,"[1, 4]"
4706,"[0, 1, 2, 6, 7]"
4774,"[4, 5]"
4794,"[1, 3, 4, 5, 7]"
4816,"[0, 1, 2, 3, 4, 7]"
4819,"[0, 4, 7]"
4837,"[0, 2, 4]"
4880,"[0, 2, 6, 9]"
4923,[5]
4924,"[4, 5, 7]"
4925,"[4, 5, 7]"
4926,"[0, 1, 2, 4, 5, 8]"
4927,"[4, 5, 6]"
4928,"[5, 6]"
4929,"[0, 6]"
4930,"[3, 4, 5, 6]"
4935,"[4, 5]"
4936,"[1, 2, 4, 5, 6, 7, 9]"
4939,"[0, 1, 2, 4, 5]"
4945,"[1, 4]"
4969,"[1, 4]"
4979,"[3, 4, 5, 6]"
4987,"[3, 4, 5, 6]"
5000,"[3, 4, 5, 6]"
5022,"[4, 5, 6]"
5023,"[0, 1, 3, 4, 5, 6, 7]"
5071,"[0, 4, 8]"
5119,"[4, 6]"
5120,"[3, 4, 5, 6]"
5121,"[1, 6]"
5132,"[2, 3]"
5133,"[3, 8]"
5134,"[1, 4]"
5139,"[3, 4, 5, 6]"
5149,"[3, 4, 6, 7, 8]"
5150,"[1, 4]"
5151,"[3, 4, 5, 6]"
5152,"[3, 4, 5, 6]"
5153,"[3, 4, 5, 6]"
5158,"[1, 5]"
5164,"[3, 4, 5, 6]"
5165,"[3, 4, 5, 6]"
5171,"[3, 4, 5, 6]"
5179,"[3, 4, 5, 6]"
5180,"[0, 1, 3, 4, 6, 8]"
5187,"[3, 4, 5, 6]"
5188,"[3, 4, 5, 6]"
5190,"[1, 4, 6]"
5192,"[0, 1, 3, 4, 5, 6, 7]"
5199,"[3, 4, 5, 6]"
5210,"[0, 7]"
5211,"[3, 4, 5, 6]"
5212,"[1, 5]"
5213,"[3, 4, 5, 6]"
5214,"[0, 4, 6]"
5227,[5]
5239,"[3, 4, 5, 6]"
5240,"[3, 4, 5, 6]"
5241,"[3, 4, 5, 6]"
5249,"[3, 4, 5, 6]"
5250,"[3, 6]"
5284,"[3, 4, 5, 6]"
5285,"[1, 4]"
5292,"[0, 1, 2, 7, 8]"
5298,"[3, 8]"
5301,"[0, 1, 2, 7, 8]"
5307,[6]
5317,"[7, 9]"
5327,"[3, 4, 5, 6]"
5328,"[3, 4, 5, 6]"
5329,"[1, 4]"
5330,"[1, 4]"
5333,"[1, 4]"
5338,"[3, 4, 5, 6]"
5344,[4]
5348,"[3, 4, 5, 6]"
5355,"[4, 5, 6]"
5360,"[1, 4]"
5369,"[1, 4]"
5377,"[3, 4, 6]"
5383,"[3, 4, 5, 6]"
5386,"[1, 4]"
5387,"[1, 4]"
5388,"[3, 4, 6]"
5389,"[1, 2, 3, 4, 5, 8, 9]"
