ano_idx,exp_subspace
34,[5]
35,"[4, 5]"
36,"[4, 5]"
37,"[4, 5]"
43,[5]
44,"[4, 5]"
45,"[4, 5]"
46,"[4, 5]"
47,"[4, 5]"
82,[5]
83,[4]
84,[4]
85,[4]
86,"[4, 5]"
87,"[4, 5]"
88,"[4, 5]"
94,[5]
95,"[4, 5]"
96,"[4, 5]"
116,[5]
117,"[4, 5]"
118,"[4, 5]"
119,[4]
120,[4]
121,"[4, 5]"
124,[5]
125,[4]
128,"[4, 5]"
130,[4]
152,[4]
200,"[4, 5]"
203,"[4, 5]"
208,"[4, 5]"
216,"[4, 5]"
217,[4]
218,[4]
238,"[4, 5]"
244,[4]
245,[4]
246,[4]
254,"[4, 5]"
277,"[4, 5]"
278,[4]
293,"[4, 5]"
300,[4]
301,[4]
305,[1]
306,[4]
308,"[4, 5]"
309,"[4, 5]"
310,[5]
311,"[4, 5]"
312,[4]
319,[5]
320,"[2, 9]"
335,[5]
336,"[2, 7]"
337,[5]
340,[4]
341,[5]
353,[1]
360,[4]
361,[4]
391,[4]
392,[5]
393,[4]
410,[4]
411,[4]
412,[4]
416,"[4, 5]"
418,[4]
419,[4]
420,"[4, 5]"
428,[5]
437,[2]
459,[5]
460,"[4, 5]"
475,[4]
476,[4]
477,[5]
489,[5]
490,[5]
496,[5]
543,[4]
544,[4]
545,[5]
548,[5]
549,[4]
551,[4]
552,[4]
570,[4]
576,[4]
577,[4]
594,"[4, 5]"
601,[5]
615,[4]
617,[4]
618,[4]
619,[4]
638,[4]
663,[1]
669,[4]
685,"[4, 5]"
698,[5]
707,[4]
724,[4]
725,"[4, 5]"
726,"[4, 5]"
731,"[4, 5]"
732,[4]
734,[4]
735,[4]
736,[4]
737,[4]
738,[4]
739,[4]
748,"[4, 5]"
749,"[4, 5]"
762,[4]
763,[4]
768,[5]
770,"[4, 5]"
783,"[4, 5]"
804,[1]
824,[4]
830,[5]
831,[5]
833,[4]
857,[4]
863,[4]
897,[4]
898,[4]
917,"[4, 5]"
919,[5]
922,[4]
924,[4]
925,[4]
930,[5]
953,[4]
955,[4]
956,[4]
959,[4]
961,[5]
962,[5]
964,[4]
965,[4]
