ano_idx,exp_subspace
34,"[0, 3, 5, 6]"
35,"[3, 5, 6, 7]"
36,"[0, 4, 5, 6]"
37,"[0, 3, 4, 6]"
43,"[0, 3, 4, 6]"
44,"[0, 4, 5, 6]"
45,"[2, 4, 5, 6]"
46,"[1, 3, 4, 6]"
47,"[4, 6, 8, 9]"
82,"[0, 3, 4, 6]"
83,"[1, 3, 4, 6]"
84,"[0, 1, 4, 6]"
85,"[0, 1, 4, 6]"
86,"[0, 3, 5, 6]"
87,"[4, 6, 8, 9]"
88,"[1, 3, 4, 6]"
94,"[0, 3, 5, 6]"
95,"[0, 1, 2, 6]"
96,"[3, 4, 6, 8]"
116,"[0, 3, 4, 6]"
117,"[4, 6, 8, 9]"
118,"[0, 3, 4, 6]"
119,"[0, 2, 4, 9]"
120,"[0, 3, 4, 6]"
121,"[3, 4, 6, 8]"
124,"[0, 2, 3, 8]"
125,"[1, 3, 4, 6]"
128,"[0, 3, 4, 6]"
130,"[0, 2, 6, 7]"
152,"[0, 3, 4, 5]"
200,"[0, 2, 4, 5]"
203,"[1, 4, 5, 6]"
208,"[0, 4, 5, 6]"
216,"[0, 3, 4, 6]"
217,"[0, 3, 4, 6]"
218,"[1, 2, 3, 4]"
238,"[0, 1, 3, 6]"
244,"[2, 3, 4, 6]"
245,"[1, 2, 4, 6]"
246,"[0, 4, 5, 6]"
254,"[0, 1, 2, 6]"
277,"[0, 3, 4, 6]"
278,"[1, 3, 4, 6]"
293,"[1, 4, 5, 6]"
300,"[0, 2, 4, 9]"
301,"[1, 4, 5, 6]"
305,"[0, 1, 3, 4]"
306,"[0, 2, 4, 8]"
308,[0]
309,"[0, 4, 8, 9]"
310,"[0, 1, 5, 7]"
311,"[0, 1, 3, 6]"
312,"[0, 3, 4, 5]"
319,"[0, 1, 2, 3]"
320,"[0, 1, 2, 3]"
335,"[0, 1, 3, 6]"
336,"[0, 1, 2, 3]"
337,"[0, 1, 2, 4]"
340,"[1, 2, 3, 4]"
341,"[0, 3, 4, 6]"
353,"[0, 2, 3, 6]"
360,"[0, 3, 4, 5]"
361,"[0, 3, 4, 6]"
391,"[1, 2, 4, 6]"
392,"[0, 1, 3, 6]"
393,"[1, 2, 3, 4]"
410,"[1, 4, 5, 6]"
411,"[1, 3, 4, 5]"
412,"[0, 3, 4, 6]"
416,"[0, 1, 3, 6]"
418,"[0, 1, 4, 6]"
419,"[0, 3, 4, 6]"
420,"[0, 3, 4, 6]"
428,"[3, 6, 7, 8]"
437,"[0, 1]"
459,"[1, 2, 5, 6]"
460,"[0, 1, 4, 6]"
475,"[0, 3, 4, 5]"
476,"[0, 1, 4, 5]"
477,"[0, 3, 5, 9]"
489,"[0, 1, 2, 3]"
490,"[0, 1, 2, 3]"
496,"[0, 1, 3, 5]"
543,"[1, 3, 4, 6]"
544,"[0, 3, 4, 6]"
545,"[0, 1, 3, 6]"
548,"[2, 3, 6, 8]"
549,"[1, 3, 4, 5]"
551,"[1, 3, 4, 6]"
552,"[1, 3, 4, 6]"
570,"[0, 1, 4, 5]"
576,"[1, 3, 4, 6]"
577,"[0, 4, 5, 6]"
594,"[4, 6, 8, 9]"
601,"[2, 5, 6, 7]"
615,"[0, 1, 3, 6]"
617,"[0, 4, 5, 6]"
618,"[1, 2, 3, 4]"
619,"[0, 2, 4, 5]"
638,"[0, 2, 4, 9]"
663,"[0, 1, 2, 3]"
669,"[1, 3, 4, 6]"
685,"[2, 4, 6, 8]"
698,"[0, 3, 6, 9]"
707,"[1, 4]"
724,"[2, 3, 4, 5]"
725,"[0, 3, 5, 6]"
726,"[0, 3, 5, 7]"
731,"[0, 1, 3, 6]"
732,"[0, 1, 4, 5]"
734,"[1, 3, 4, 6]"
735,"[1, 3, 4, 5]"
736,"[0, 3, 4, 5]"
737,"[1, 3, 4, 6]"
738,"[0, 4, 5, 6]"
739,"[2, 3, 4, 6]"
748,"[0, 2, 6, 8]"
749,"[0, 3, 4, 6]"
762,"[1, 2, 4, 6]"
763,"[0, 3, 4, 5]"
768,"[0, 1, 2, 4]"
770,"[3, 5, 6, 9]"
783,"[0, 4, 6, 7]"
804,"[0, 1, 3, 6]"
824,"[1, 3, 4, 6]"
830,"[1, 2, 5, 6]"
831,"[0, 1, 2, 3]"
833,"[1, 3, 4, 6]"
857,"[1, 2, 3, 4]"
863,"[1, 2, 3, 4]"
897,"[1, 2, 3, 4]"
898,"[0, 3, 4, 6]"
917,"[0, 1, 4, 6]"
919,[5]
922,"[1, 2, 3, 4]"
924,"[1, 3, 4, 6]"
925,"[1, 4]"
930,"[0, 1, 2, 3]"
953,"[1, 4]"
955,"[1, 4]"
956,"[1, 4]"
959,"[1, 4]"
961,"[2, 5, 6, 7]"
962,"[0, 1, 2, 5]"
964,"[1, 4]"
965,"[0, 3, 4, 5]"
966,"[1, 4]"
976,"[1, 4]"
977,"[0, 4, 5, 6]"
1009,"[0, 1, 2, 4]"
1021,"[1, 4]"
1056,"[0, 1, 2, 5]"
1108,"[0, 2, 5, 7]"
1109,"[0, 2, 4, 5]"
1118,"[0, 1, 3, 4]"
1143,"[0, 1, 2, 3]"
1144,"[0, 1, 3, 6]"
1192,"[0, 1, 2, 3]"
1198,"[0, 1, 2, 4]"
1208,"[0, 3, 4, 6]"
1235,"[0, 1, 2, 5]"
1279,"[0, 1, 5, 6]"
1280,"[0, 6, 7, 8]"
1284,"[1, 4]"
1305,"[0, 2, 5, 7]"
1308,"[4, 5, 8, 9]"
1309,"[2, 5, 6, 7]"
1310,"[0, 1, 2, 3]"
1311,"[0, 4, 5, 9]"
1320,"[0, 4, 5, 9]"
1321,"[0, 6, 7, 8]"
1325,"[0, 2, 5, 7]"
1328,"[4, 5, 8, 9]"
1330,"[3, 4, 5, 6]"
1331,"[1, 2, 5, 9]"
1333,"[0, 2, 8, 9]"
1335,"[4, 5, 8, 9]"
1337,"[4, 5, 8, 9]"
1339,"[0, 2, 5, 8]"
1340,"[0, 2, 5, 7]"
1356,"[2, 4, 5, 9]"
1367,"[0, 1, 2, 4]"
1368,"[0, 3, 4, 5]"
1369,"[2, 4, 5, 9]"
1372,[8]
1374,"[2, 4, 5, 9]"
1375,"[0, 1, 2, 4]"
1378,"[4, 5, 8, 9]"
1379,"[3, 4, 5, 6]"
1381,[4]
1383,"[2, 5, 6, 7]"
1384,"[0, 1, 4, 8]"
1386,"[1, 5]"
1387,"[1, 4, 5, 6]"
1390,"[3, 5, 6, 9]"
1488,[0]
1522,"[1, 2, 3, 4]"
1523,"[0, 3, 4, 5]"
1532,"[1, 3, 4, 8]"
1534,"[1, 2, 3, 4]"
1576,"[0, 3, 5, 8]"
1577,"[0, 3, 4, 6]"
1586,"[0, 3, 5, 9]"
2287,"[0, 3, 4, 6]"
2300,"[2, 5, 6, 7]"
2310,"[2, 4, 5, 9]"
2311,"[0, 4, 5, 6]"
2323,"[0, 2, 5, 7]"
2324,"[0, 4, 5, 6]"
2325,"[0, 2, 6, 8]"
2327,"[0, 4, 5, 6]"
2330,"[0, 2, 4, 6]"
2338,"[2, 4, 5, 9]"
2340,"[0, 2, 5, 7]"
2341,"[0, 2, 4, 5]"
2343,"[0, 2, 4, 5]"
2354,"[0, 2, 4, 5]"
2361,[3]
2380,"[0, 3, 5, 6]"
2381,"[0, 2, 5, 6]"
2383,"[2, 5, 6, 7]"
2384,"[0, 4, 5, 6]"
2385,"[0, 4, 5, 6]"
2389,"[0, 1, 3, 6]"
2390,"[2, 4, 6, 9]"
2402,"[0, 3, 4, 6]"
2403,"[2, 5, 6, 7]"
2407,"[0, 2, 6, 8]"
2413,"[0, 4, 5, 6]"
2424,"[2, 5, 6, 7]"
2426,"[0, 2, 5, 7]"
2429,"[1, 5, 6, 7]"
2437,"[1, 2, 6, 9]"
2439,[3]
2440,"[0, 2, 5, 8]"
2451,"[1, 4, 5, 6]"
2452,"[0, 4, 8, 9]"
2456,"[0, 1, 2, 5]"
2457,"[0, 1, 2, 5]"
2458,"[0, 1, 2, 5]"
2463,[3]
2473,"[1, 4]"
2492,"[2, 5, 6, 7]"
2493,"[2, 5, 6, 7]"
2495,"[0, 3, 4, 5]"
2496,"[1, 2, 3, 4]"
2497,"[1, 3, 4, 6]"
2498,"[0, 4, 5, 6]"
2847,"[2, 5, 6, 7]"
2852,[8]
2859,"[0, 2, 5, 7]"
2860,"[0, 2, 5, 7]"
2868,"[0, 2, 5, 6]"
2869,"[2, 4, 5, 9]"
2938,"[0, 4, 5, 6]"
2940,"[0, 2, 5, 6]"
2944,"[0, 2, 5, 7]"
2945,"[0, 2, 5, 7]"
2946,"[0, 1, 2, 5]"
2954,"[0, 3, 4, 5]"
2971,"[0, 4, 5, 6]"
3415,"[0, 1, 2, 3]"
3429,"[0, 1, 2, 3]"
3439,"[0, 1, 2, 3]"
3443,"[0, 1, 2, 3]"
3458,"[0, 1, 2, 3]"
3463,"[0, 1, 2, 3]"
3475,"[0, 1, 2, 3]"
3502,"[0, 1, 2, 3]"
3506,"[0, 2, 5, 7]"
3519,"[0, 1, 2, 6]"
3533,"[0, 1, 2, 3]"
3548,"[0, 1, 2, 3]"
3563,"[0, 1, 3, 4]"
3564,"[0, 1, 2, 5]"
3573,"[0, 1, 2, 6]"
3582,"[0, 1, 3, 4]"
3583,"[2, 3, 6, 8]"
3611,"[0, 1, 3, 4]"
3612,"[0, 1, 3, 4]"
3614,"[0, 1, 2, 3]"
3622,"[0, 1, 2, 6]"
3631,"[0, 1, 2, 3]"
3642,"[0, 1, 2, 3]"
3652,"[0, 1, 3, 4]"
3654,"[0, 1, 2, 3]"
3655,"[0, 2, 5, 6]"
3664,"[0, 1, 2, 6]"
3673,"[0, 3, 4, 6]"
3674,"[0, 1, 3, 4]"
3675,"[1, 3, 6, 8]"
3692,"[0, 1, 3, 4]"
3693,"[0, 1, 3, 6]"
3703,"[0, 1, 2, 3]"
3706,"[1, 3]"
3707,"[0, 2, 3, 5]"
3718,"[0, 1, 2, 6]"
3727,"[0, 3, 4, 5]"
3728,"[1, 2, 3, 4]"
3729,"[0, 1, 3, 4]"
3755,"[0, 3, 4, 5]"
3756,"[1, 2, 3, 4]"
3757,"[0, 1, 3, 4]"
3774,"[1, 2, 4, 6]"
3775,"[1, 2, 3, 4]"
3776,"[0, 3, 6, 8]"
3777,"[1, 2, 3, 4]"
3778,"[1, 2, 3, 4]"
3780,"[0, 2, 4, 5]"
3803,"[0, 1, 2, 3]"
3806,"[0, 1, 2, 3]"
3836,"[0, 1, 2, 3]"
3850,"[0, 1, 3, 4]"
3853,"[0, 1, 3, 4]"
3857,"[0, 2, 5, 7]"
3867,"[0, 1, 2, 6]"
3876,"[0, 1, 2, 3]"
3894,"[0, 1, 2, 3]"
3920,"[0, 1, 2, 3]"
3925,"[0, 2, 5, 7]"
3936,"[0, 1, 2, 6]"
3945,"[0, 1, 2, 3]"
3949,"[0, 1, 2, 3]"
3985,"[0, 1, 2, 3]"
4008,"[0, 1, 2, 3]"
4012,"[0, 2, 5, 7]"
4022,"[0, 1, 2, 6]"
4031,"[0, 1, 3, 4]"
4032,"[0, 4, 5, 6]"
4052,"[0, 1, 2, 3]"
4082,"[0, 1, 2, 3]"
4084,"[2, 5, 6, 7]"
4085,"[1, 2, 5, 6]"
4086,"[1, 3, 4, 6]"
4087,"[0, 3, 4, 5]"
4088,"[1, 3, 4, 6]"
4091,"[0, 1, 2, 3]"
4092,"[0, 1, 2, 3]"
4093,"[0, 1, 2, 3]"
4094,"[1, 4]"
4095,"[1, 4]"
4099,"[1, 4]"
4103,"[0, 1, 3, 4]"
4104,"[1, 3, 4, 6]"
4105,"[0, 1, 2, 3]"
4109,"[0, 1, 2, 6]"
4117,"[1, 2, 3, 4]"
4118,"[0, 2, 4, 9]"
4119,"[1, 4]"
4142,"[0, 1, 2, 3]"
4144,"[1, 4]"
4148,"[1, 4]"
4155,"[1, 4]"
4156,"[0, 1, 3, 4]"
4164,"[1, 4]"
4175,"[1, 4]"
4176,"[0, 2, 4, 5]"
4177,"[0, 2, 5, 7]"
4178,"[0, 4, 5, 6]"
4179,"[1, 2, 3, 4]"
4180,"[1, 3, 4, 6]"
4182,"[1, 4, 5, 6]"
4183,"[0, 4, 5, 6]"
4184,"[0, 4, 5, 6]"
4185,"[0, 1, 4, 6]"
4186,"[1, 2, 3, 4]"
4187,"[1, 3, 4, 6]"
4188,"[1, 2, 3, 4]"
4189,"[0, 4, 5, 6]"
4190,"[0, 1, 2, 3]"
4192,"[0, 1, 2, 3]"
4198,"[2, 3, 6, 8]"
4199,"[0, 3, 4, 8]"
4229,"[0, 1, 2, 3]"
4231,"[0, 1, 2, 3]"
4232,"[1, 2, 3, 4]"
4233,"[0, 3, 4, 6]"
4270,"[0, 1, 2, 3]"
4273,"[0, 3, 4, 5]"
4275,"[0, 1, 2, 4]"
4279,"[0, 3, 5, 8]"
4280,"[0, 3, 4, 6]"
4281,"[0, 3, 8, 9]"
4312,"[2, 3, 5, 6]"
4313,"[0, 4, 5, 6]"
4314,"[0, 1, 3, 4]"
4315,"[1, 3, 4, 6]"
4316,"[0, 1, 2, 3]"
4318,"[0, 1, 2, 3]"
4320,"[1, 4]"
4324,"[1, 4]"
4325,"[0, 4, 5, 6]"
4326,"[0, 3, 4, 6]"
4340,"[1, 4]"
4350,"[1, 4]"
4367,"[0, 3, 5, 8]"
4368,"[0, 3, 4, 6]"
4369,"[0, 3, 4, 5]"
4370,"[0, 1, 2, 3]"
4373,"[1, 2, 3, 4]"
4379,"[1, 4]"
4414,"[0, 1, 2, 3]"
4416,"[0, 1, 2, 3]"
4420,"[0, 3, 5, 8]"
4459,"[2, 5, 6, 7]"
4460,"[0, 1, 2, 3]"
4462,"[0, 3, 4, 8]"
4488,"[0, 1, 2, 3]"
4493,"[0, 3, 4, 6]"
4516,"[0, 3, 4, 5]"
4517,"[1, 4]"
4519,"[0, 1, 2, 3]"
4520,"[0, 1, 2, 3]"
4523,"[0, 3, 5, 8]"
4535,"[1, 4]"
4551,"[0, 1, 2, 3]"
4553,"[0, 1, 2, 3]"
4582,"[0, 1, 2, 3]"
4608,"[0, 1, 2, 3]"
4615,"[0, 3, 5, 9]"
4616,"[0, 3, 4, 8]"
4617,"[0, 3, 5, 6]"
4628,"[1, 4, 5, 6]"
4629,"[0, 6, 7, 8]"
4631,"[0, 2, 4, 6]"
4636,"[1, 4, 5, 6]"
4706,"[0, 1, 2, 4]"
4774,"[4, 5, 8, 9]"
4794,"[0, 1, 2, 3]"
4816,"[0, 1, 3, 4]"
4819,"[1, 4]"
4837,"[1, 4]"
4880,[3]
4923,"[0, 1, 2, 3]"
4924,"[0, 1, 2, 3]"
4925,"[0, 1, 2, 4]"
4926,"[0, 1, 2, 4]"
4927,"[0, 1, 2, 5]"
4928,"[0, 1, 2, 4]"
4929,"[1, 4]"
4930,"[1, 2, 4, 6]"
4935,"[0, 2, 4, 5]"
4936,"[0, 2, 5, 6]"
4939,"[0, 1, 2, 5]"
4945,"[1, 5]"
4969,"[0, 3, 4, 5]"
4979,"[1, 2, 3, 4]"
4987,"[1, 2, 3, 4]"
5000,"[0, 3, 4, 6]"
5022,"[2, 4, 6, 7]"
5023,"[0, 1, 4, 6]"
5071,"[0, 1, 2, 6]"
5119,"[0, 1, 6, 7]"
5120,"[3, 6, 7, 9]"
5121,[6]
5132,"[0, 1, 3, 4]"
5133,"[1, 2, 3, 4]"
5134,"[1, 3, 4, 6]"
5139,"[0, 1, 3, 4]"
5149,"[0, 1, 3, 4]"
5150,"[0, 3, 4, 5]"
5151,"[0, 4, 5, 6]"
5152,"[0, 3, 4, 6]"
5153,"[1, 2, 3, 4]"
5158,"[0, 1, 3, 4]"
5164,"[0, 1, 3, 4]"
5165,"[1, 2, 3, 4]"
5171,"[0, 1, 3, 4]"
5179,"[0, 1, 3, 4]"
5180,"[0, 1, 3, 4]"
5187,"[0, 1, 3, 4]"
5188,"[0, 1, 3, 4]"
5190,[1]
5192,"[0, 1, 3, 4]"
5199,"[0, 3, 7, 9]"
5210,"[0, 1, 2, 3]"
5211,"[0, 3, 4, 6]"
5212,"[2, 3, 5, 7]"
5213,"[0, 3, 4, 6]"
5214,"[0, 1, 2, 3]"
5227,"[0, 5, 6, 9]"
5239,"[0, 3, 4, 6]"
5240,"[0, 3, 4, 8]"
5241,"[0, 3, 4, 6]"
5249,"[0, 3, 4, 6]"
5250,"[0, 1, 3, 4]"
5284,"[1, 2, 3, 4]"
5285,"[0, 3, 4, 5]"
5292,"[2, 3, 4, 5]"
5298,"[1, 2, 3, 4]"
5301,"[2, 3, 4, 5]"
5307,"[1, 2, 3, 4]"
