ano_idx,exp_subspace
34,[1]
35,[1]
36,[1]
37,[1]
43,[1]
44,[1]
45,[1]
46,[1]
47,[1]
82,[1]
83,[1]
84,[1]
85,[1]
86,[1]
87,[1]
88,[1]
94,[1]
95,[0]
96,[1]
116,[1]
117,[1]
118,[1]
119,[1]
120,[1]
121,[1]
124,[1]
125,[1]
128,[1]
130,[1]
152,[1]
200,[0]
203,"[1, 2]"
208,[0]
216,[1]
217,[1]
218,[1]
238,[1]
244,[1]
245,[1]
246,[1]
254,[0]
277,[1]
278,[1]
293,"[1, 2]"
300,[1]
301,[1]
305,[1]
306,[0]
308,[0]
309,[0]
310,[0]
311,[1]
312,[1]
319,[0]
320,[0]
335,[1]
336,[0]
337,[0]
340,[1]
341,[1]
353,[0]
360,[1]
361,[1]
391,[1]
392,[1]
393,[1]
410,[1]
411,[1]
412,[1]
416,[1]
418,[1]
419,[1]
420,[1]
428,[1]
437,[0]
459,[0]
460,[0]
475,[1]
476,[1]
477,[1]
489,[0]
490,[0]
496,[1]
543,[1]
544,[1]
545,[1]
548,[1]
549,[1]
551,[1]
552,[1]
570,[1]
576,[1]
577,[1]
594,[1]
601,[0]
615,[1]
617,[1]
618,[1]
619,[1]
638,[1]
663,[0]
669,[1]
685,[0]
698,[1]
707,[0]
724,[1]
725,[1]
726,[1]
731,[1]
732,[0]
734,[1]
735,[1]
736,[1]
737,[1]
738,[1]
739,[1]
748,[1]
749,[1]
762,[1]
763,[1]
768,[0]
770,[1]
783,[0]
804,[1]
824,[1]
830,[1]
831,[0]
833,[1]
857,[1]
863,[1]
897,[1]
898,[1]
917,[0]
919,[0]
922,[1]
924,[1]
925,[0]
930,[0]
953,[0]
955,[0]
956,[0]
959,[0]
961,[1]
962,[0]
964,[0]
965,[1]
966,[0]
976,[0]
977,[1]
1009,[0]
1021,"[1, 2]"
1056,[0]
1108,[1]
1109,[0]
1118,[1]
1143,[0]
1144,[1]
1192,[0]
1198,[0]
1208,[1]
1235,[0]
1279,[0]
1280,[0]
1284,[0]
1305,[1]
1308,[0]
1309,[1]
1310,[0]
1311,[0]
1320,[0]
1321,[0]
1325,[0]
1328,[1]
1330,[1]
1331,[1]
1333,[1]
1335,[1]
1337,[1]
1339,[1]
1340,[1]
1356,[1]
1367,[0]
1368,[0]
1369,[0]
1372,[1]
1374,[1]
1375,[0]
1378,[1]
1379,[1]
1381,[0]
1383,[1]
1384,[0]
1386,"[0, 1]"
1387,[1]
1390,[1]
1488,[0]
1522,[1]
1523,[1]
1532,[1]
1534,[1]
1576,[1]
1577,[1]
1586,[1]
2287,[1]
2300,[0]
2310,[0]
2311,[0]
2323,[0]
2324,[0]
2325,[0]
2327,[0]
2330,[0]
2338,[1]
2340,[0]
2341,[0]
2343,[0]
2354,[0]
2361,[0]
2380,[0]
2381,[0]
2383,[1]
2384,[1]
2385,[1]
2389,[1]
2390,[1]
2402,[1]
2403,[1]
2407,[0]
2413,[0]
2424,[1]
2426,[0]
2429,[1]
2437,[0]
2439,[0]
2440,[1]
2451,[1]
2452,[1]
2456,[0]
2457,[0]
2458,[0]
2463,[0]
2473,"[0, 1]"
2492,[1]
2493,[1]
2495,[1]
2496,[1]
2497,[1]
2498,[1]
2847,[1]
2852,[1]
2859,[0]
2860,[0]
2868,[0]
2869,[1]
2938,[1]
2940,[0]
2944,[0]
2945,[0]
2946,[0]
2954,[0]
2971,[0]
3415,[0]
3429,[0]
3439,[1]
3443,[1]
3458,[1]
3463,[1]
3475,[1]
3502,[1]
3506,[0]
3519,[0]
3533,[1]
3548,[1]
3563,[1]
3564,[0]
3573,[0]
3582,[1]
3583,[1]
3611,[1]
3612,[1]
3614,[0]
3622,[0]
3631,[1]
3642,[1]
3652,[1]
3654,[1]
3655,[0]
3664,[0]
3673,[1]
3674,[1]
3675,[1]
3692,[1]
3693,[1]
3703,[1]
3706,[1]
3707,[0]
3718,[0]
3727,[1]
3728,[1]
3729,[1]
3755,[1]
3756,[1]
3757,[1]
3774,[1]
3775,[1]
3776,[1]
3777,[1]
3778,[1]
3780,[0]
3803,[1]
3806,[1]
3836,[1]
3850,[1]
3853,[1]
3857,[0]
3867,[0]
3876,[1]
3894,[1]
3920,[1]
3925,[0]
3936,[0]
3945,[1]
3949,[1]
3985,[1]
4008,[1]
4012,[0]
4022,[0]
4031,[1]
4032,[1]
4052,[1]
4082,[1]
4084,[1]
4085,[0]
4086,[1]
4087,[1]
4088,[1]
4091,[0]
4092,[0]
4093,[0]
4094,[0]
4095,[0]
4099,[0]
4103,[1]
4104,[1]
4105,[0]
4109,[0]
4117,[1]
4118,[1]
4119,[0]
4142,[0]
4144,[0]
4148,[0]
4155,[0]
4156,[1]
4164,[0]
4175,[0]
4176,[1]
4177,[1]
4178,[1]
4179,[1]
4180,[1]
4182,[1]
4183,[1]
4184,[1]
4185,[1]
4186,[1]
4187,[1]
4188,[1]
4189,[1]
4190,[0]
4192,[0]
4198,[1]
4199,[1]
4229,[0]
4231,[0]
4232,[1]
4233,[1]
4270,[0]
4273,[1]
4275,[0]
4279,[1]
4280,[1]
4281,[1]
4312,[1]
4313,[1]
4314,[1]
4315,[1]
4316,[0]
4318,[0]
4320,[0]
4324,[0]
4325,[1]
4326,[1]
4340,[0]
4350,[0]
4367,[1]
4368,[1]
4369,[1]
4370,[0]
4373,[1]
4379,[0]
4414,[0]
4416,[0]
4420,[1]
4459,[1]
4460,[0]
4462,[1]
4488,[0]
4493,[1]
4516,[1]
4517,[0]
4519,[0]
4520,[0]
4523,[1]
4535,[0]
4551,[0]
4553,[0]
4582,[0]
4608,[0]
4615,[1]
4616,[1]
4617,[1]
4628,"[1, 2]"
4629,[0]
4631,[0]
4636,"[1, 2]"
4706,[0]
4774,[1]
4794,[0]
4816,[1]
4819,[0]
4837,[0]
4880,[0]
4923,[0]
4924,[0]
4925,[0]
4926,[0]
4927,[0]
4928,[0]
4929,[0]
4930,[1]
4935,[1]
4936,[0]
4939,[0]
4945,[0]
4969,[1]
4979,[1]
4987,[1]
5000,[1]
5022,"[1, 2]"
5023,[1]
5071,[0]
5119,[0]
5120,[1]
5121,[0]
5132,[1]
5133,[1]
5134,[1]
5139,[1]
5149,[1]
5150,[1]
5151,[1]
5152,[1]
5153,[1]
5158,[1]
5164,[1]
5165,[1]
5171,[1]
5179,[1]
5180,[1]
5187,[1]
5188,[1]
5190,[0]
5192,[1]
5199,[1]
5210,[0]
5211,[1]
5212,[1]
5213,[1]
5214,[0]
5227,[0]
5239,[1]
5240,[1]
5241,[1]
5249,[1]
5250,[1]
5284,[1]
5285,[1]
5292,[0]
5298,[1]
5301,[0]
5307,[1]
5317,[0]
5327,[1]
5328,[1]
5329,[1]
5330,[1]
5333,[1]
5338,[1]
5344,[1]
5348,[1]
5355,[1]
5360,[1]
5369,[1]
5377,[1]
5383,[1]
5386,[1]
5387,[1]
5388,[1]
5389,[1]
