ano_idx,exp_subspace
4,"[0, 4, 5, 7]"
5,"[1, 4, 5]"
7,"[1, 4]"
13,"[3, 6]"
15,"[3, 5, 6]"
17,"[0, 1, 3]"
34,"[0, 6]"
37,"[0, 5, 7]"
39,"[0, 7]"
40,"[0, 5, 7, 9]"
42,"[7, 9]"
43,"[2, 3, 5, 6]"
46,"[0, 4, 5, 7]"
48,"[1, 2, 5, 8, 9]"
50,"[0, 5, 6, 9]"
56,"[5, 6, 8]"
59,"[6, 9]"
62,"[0, 5, 6, 9]"
67,"[0, 4, 7, 9]"
69,"[0, 3, 5]"
75,"[0, 2, 3, 8]"
81,"[1, 2, 5, 9]"
88,"[5, 9]"
105,"[0, 2, 3, 4, 6, 9]"
109,"[3, 8]"
110,"[2, 5, 6]"
112,"[2, 3, 4, 9]"
114,"[0, 7, 9]"
120,"[0, 6, 9]"
125,"[6, 8]"
128,[0]
129,"[6, 9]"
131,"[0, 5]"
132,"[2, 3, 5]"
135,"[0, 5, 7]"
143,"[6, 9]"
145,"[4, 8]"
147,"[0, 3, 5, 6]"
150,"[3, 9]"
152,"[5, 8]"
155,"[0, 3, 4, 5]"
157,"[2, 5]"
159,"[0, 3, 4, 9]"
161,"[0, 7, 8, 9]"
176,"[3, 4]"
177,"[2, 3, 6]"
196,"[0, 5, 6, 9]"
