ano_idx,exp_subspace
4,"[0, 3, 7]"
5,"[0, 1, 5, 6]"
7,"[4, 5, 6, 7]"
13,"[3, 8, 9]"
15,"[3, 6, 7]"
17,"[1, 2]"
34,"[6, 8]"
37,[5]
39,[0]
40,"[4, 7, 9]"
42,"[7, 8, 9]"
43,"[4, 6]"
46,"[0, 4, 5, 6, 8]"
48,"[2, 5, 8, 9]"
50,"[6, 9]"
56,"[6, 7, 9]"
59,"[6, 9]"
62,"[6, 9]"
67,"[4, 6, 9]"
69,"[0, 5, 9]"
75,[2]
81,"[0, 4, 5, 9]"
88,[5]
105,"[0, 4, 5, 6, 8, 9]"
109,"[2, 3, 4, 8]"
110,"[2, 6, 9]"
112,"[2, 3, 4, 9]"
114,"[0, 7, 9]"
120,"[3, 6, 8]"
125,"[6, 8]"
128,"[0, 2, 6]"
129,"[6, 9]"
131,"[0, 2]"
132,"[2, 6]"
135,"[0, 5]"
143,"[3, 6, 8]"
145,"[4, 8]"
147,"[0, 3, 5, 6]"
150,"[3, 9]"
152,[8]
155,"[2, 3, 4, 9]"
157,"[5, 7, 9]"
159,"[0, 3, 4, 6, 9]"
161,[1]
176,"[1, 9]"
177,"[1, 4]"
196,"[0, 6, 8]"
