ano_idx,exp_subspace
4,"[4, 5, 7]"
5,"[0, 1, 4, 5, 6]"
7,"[4, 5, 6, 7, 9]"
13,"[1, 3, 9]"
15,"[5, 6, 7, 8, 9]"
17,[0]
34,"[0, 6]"
37,[5]
39,[1]
40,"[4, 7, 9]"
42,"[1, 2, 7, 8, 9]"
43,"[4, 6]"
46,"[4, 5]"
48,"[2, 5, 9]"
50,"[0, 5, 9]"
56,[6]
59,"[6, 9]"
62,"[0, 6, 7, 9]"
67,"[4, 7, 9]"
69,"[0, 5, 9]"
75,[0]
81,"[5, 9]"
88,"[5, 9]"
105,"[0, 2, 3, 4, 5]"
109,"[4, 8]"
110,"[2, 5, 6, 8, 9]"
112,"[2, 4, 9]"
114,"[0, 9]"
120,"[0, 3, 9]"
125,"[1, 6, 8, 9]"
128,[0]
129,"[6, 7, 8, 9]"
131,"[0, 5, 9]"
132,"[2, 6, 9]"
135,[0]
143,"[3, 6, 8]"
145,"[4, 8]"
147,"[3, 5, 6]"
150,"[0, 3, 9]"
152,[8]
155,"[3, 9]"
157,"[0, 2, 3, 5, 9]"
159,"[3, 4]"
161,"[0, 1]"
176,"[1, 2, 3, 4, 9]"
177,"[3, 4]"
196,[0]
