ano_idx,exp_subspace
4,"[3, 4, 5, 6, 7]"
5,"[0, 1, 2, 3, 4, 5, 6]"
7,"[4, 5, 6]"
13,"[3, 8, 9]"
15,"[3, 4, 5, 6, 7, 8]"
17,"[1, 2, 3]"
34,"[0, 6]"
37,"[0, 5]"
39,"[0, 1, 5]"
40,"[4, 5, 6, 7, 9]"
42,"[1, 6, 7, 8, 9]"
43,"[4, 5, 6]"
46,"[4, 5]"
48,"[2, 5, 6, 9]"
50,"[0, 6, 9]"
56,"[1, 5, 6, 7, 9]"
59,"[3, 4, 6, 9]"
62,"[5, 6, 9]"
67,"[2, 4, 9]"
69,"[0, 5]"
75,"[0, 2, 3, 8]"
81,"[0, 1, 5]"
88,"[5, 8]"
105,"[0, 3, 4, 5, 8]"
109,"[2, 3, 4, 8]"
110,"[2, 6]"
112,"[3, 9]"
114,"[0, 6, 8, 9]"
120,"[0, 6]"
125,"[3, 8]"
128,[0]
129,"[2, 6, 8, 9]"
131,"[0, 2, 3, 5, 6]"
132,"[2, 3, 6]"
135,"[0, 5]"
143,"[6, 8, 9]"
145,"[2, 4, 5, 8]"
147,"[3, 4, 5, 6]"
150,"[3, 4, 9]"
152,"[1, 8]"
155,"[0, 3, 4, 9]"
157,"[3, 4, 5, 6, 7, 9]"
159,"[3, 4, 6, 9]"
161,"[0, 1, 3]"
176,"[1, 3, 9]"
177,"[1, 3]"
196,"[0, 6, 8, 9]"
