ano_idx,exp_subspace
4,"[3, 5, 7]"
5,"[1, 2, 5]"
7,"[1, 3, 4]"
13,"[3, 4, 5, 8, 9]"
15,"[0, 3, 5, 6, 9]"
17,"[0, 1, 3, 4, 6, 7, 8]"
34,"[0, 6]"
37,"[1, 2, 5]"
39,"[0, 1, 2, 3, 5]"
40,[9]
42,"[6, 7, 8]"
43,"[1, 2, 3, 7]"
46,"[4, 5, 6]"
48,"[2, 5, 7, 9]"
50,"[0, 2, 3, 6, 9]"
56,"[1, 2, 7]"
59,"[3, 4, 6, 9]"
62,"[0, 5, 6, 7, 9]"
67,"[1, 4]"
69,"[1, 2, 5]"
75,"[0, 1, 2, 8]"
81,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
88,"[0, 3, 5, 8]"
105,"[0, 1, 3, 5, 7, 8]"
109,"[0, 2, 3, 4, 5, 6, 7, 8]"
110,"[2, 3, 5, 8, 9]"
112,"[0, 3, 4]"
114,"[3, 4, 5, 8, 9]"
120,"[0, 1, 2, 3, 4, 6, 7, 8, 9]"
125,"[0, 3, 6]"
128,"[0, 1, 2, 5]"
129,"[3, 5, 6]"
131,"[0, 2]"
132,"[0, 2]"
135,"[0, 2, 6]"
143,"[2, 3, 6, 8, 9]"
145,"[4, 8]"
147,"[1, 3, 4]"
150,"[0, 1, 3, 4, 9]"
152,"[1, 2, 3, 4, 6, 8, 9]"
155,"[0, 3, 4]"
157,"[2, 5, 7, 9]"
159,"[0, 3, 4]"
161,"[0, 1, 3]"
176,"[1, 9]"
177,"[1, 3, 4]"
196,"[0, 2]"
