ano_idx,exp_subspace
4,"[0, 3, 5]"
5,"[0, 1, 5]"
7,"[4, 5, 6, 8]"
13,[3]
15,"[0, 3, 5, 6]"
17,"[0, 1, 2, 5]"
34,"[0, 2, 3, 6]"
37,[5]
39,[0]
40,"[0, 1, 4, 7, 9]"
42,"[1, 2, 8]"
43,"[0, 3, 5, 6]"
46,"[0, 5]"
48,"[2, 5, 6, 8, 9]"
50,"[5, 6, 9]"
56,"[3, 5, 6]"
59,"[1, 4, 5, 6, 9]"
62,"[5, 6, 9]"
67,"[1, 4, 5, 6, 9]"
69,"[2, 5]"
75,[0]
81,"[0, 3, 5]"
88,[5]
105,"[0, 1, 2, 3, 4, 5, 9]"
109,"[2, 3, 8]"
110,"[2, 3, 5, 6, 8]"
112,"[1, 4, 5, 6, 9]"
114,"[0, 8, 9]"
120,"[0, 3, 6, 8]"
125,"[3, 6, 8]"
128,[0]
129,"[2, 5, 6, 8, 9]"
131,[0]
132,[2]
135,[0]
143,"[2, 3, 8]"
145,"[0, 3, 4, 8]"
147,"[0, 3, 5]"
150,"[3, 8, 9]"
152,"[2, 3, 8]"
155,"[0, 3, 4, 7, 8]"
157,"[2, 5]"
159,"[0, 1, 3, 4, 5, 8, 9]"
161,"[0, 8]"
176,"[3, 9]"
177,[3]
196,"[0, 6, 8, 9]"
