ano_idx,exp_subspace
4,"[0, 5, 7, 8]"
5,"[0, 3, 5, 6]"
7,"[0, 4, 5, 7]"
13,"[3, 7, 8, 9]"
15,"[3, 5, 6, 7]"
17,"[1, 2, 3, 9]"
34,"[5, 6]"
37,"[0, 1, 5, 9]"
39,"[0, 1, 5, 6]"
40,"[4, 7, 8, 9]"
42,"[1, 4, 6, 7]"
43,"[0, 5, 6, 7]"
46,"[0, 3, 5, 6]"
48,"[2, 5, 6, 9]"
50,"[0, 1, 2, 9]"
56,"[3, 5, 6, 7]"
59,"[3, 4, 6, 9]"
62,"[1, 6, 7, 9]"
67,"[1, 3, 4, 9]"
69,"[2, 3, 5, 9]"
75,"[0, 2, 3, 8]"
81,"[0, 4, 5, 9]"
88,"[0, 5, 7, 8]"
105,"[0, 3, 8, 9]"
109,"[2, 3, 4, 8]"
110,"[2, 4, 6, 8]"
112,"[0, 3, 4, 9]"
114,"[0, 3, 8, 9]"
120,"[0, 6, 8, 9]"
125,"[3, 6, 8, 9]"
128,"[0, 2, 6, 8]"
129,"[2, 4, 6, 8, 9]"
131,"[0, 2, 8, 9]"
132,"[2, 3, 6, 9]"
135,"[0, 2, 6, 8]"
143,"[2, 3, 8, 9]"
145,"[0, 2, 4, 8]"
147,"[0, 3, 5, 6]"
150,"[2, 3, 4, 9]"
152,"[1, 3, 6, 8]"
155,"[2, 3, 4, 9]"
157,"[1, 5, 7, 9]"
159,"[0, 3, 4, 9]"
161,"[0, 1, 3, 7]"
176,"[1, 2, 4, 9]"
177,"[1, 3, 4, 6]"
196,"[0, 6, 8, 9]"
