ano_idx,exp_subspace
4,[9]
5,[5]
7,"[3, 7, 8]"
13,[9]
15,"[4, 6, 8, 9]"
17,"[0, 1, 3]"
34,"[0, 4, 5, 6, 7, 8]"
37,"[0, 2, 3, 4, 5, 9]"
39,"[2, 4]"
40,"[2, 3, 4, 6, 7]"
42,"[4, 6, 7, 8]"
43,"[2, 3, 4, 5, 6, 8, 9]"
46,"[0, 2, 4, 5, 6, 7, 8]"
48,[9]
50,[5]
56,"[1, 7]"
59,"[0, 1, 6, 8]"
62,"[1, 2, 5, 7, 8]"
67,"[1, 3, 5, 8, 9]"
69,[9]
75,[2]
81,"[3, 6, 8, 9]"
88,"[0, 2, 5]"
105,[8]
109,"[1, 2, 4, 7, 8]"
110,[9]
112,"[3, 6, 8]"
114,[8]
120,"[2, 4]"
125,"[1, 2, 6]"
128,"[2, 3, 4, 6]"
129,"[2, 3, 4, 6, 7]"
131,"[2, 5]"
132,"[3, 5]"
135,"[0, 1, 3, 4, 5, 6, 7, 8, 9]"
143,"[4, 8]"
145,"[1, 3, 5]"
147,"[1, 2, 3, 5, 6]"
150,"[2, 4]"
152,[5]
155,"[1, 3, 6, 8, 9]"
157,[9]
159,"[0, 2, 3, 6, 9]"
161,[1]
176,"[1, 2, 3, 5]"
177,"[1, 3, 4, 5]"
196,[5]
