ano_idx,exp_subspace
10,[0]
19,[0]
27,[0]
43,[0]
84,[0]
105,[0]
115,[0]
116,[0]
145,[0]
147,[0]
155,[0]
208,[0]
215,[0]
258,[0]
289,[0]
343,[0]
358,[0]
387,[0]
406,[0]
429,[0]
462,[0]
487,[0]
497,[0]
517,[0]
519,[0]
544,[0]
559,[0]
567,[0]
568,[0]
569,[0]
600,[0]
604,[0]
608,[0]
639,[0]
662,[0]
686,[0]
690,[0]
695,[0]
732,[0]
745,[0]
766,[0]
772,[0]
777,[0]
781,[0]
787,[0]
794,[0]
821,[0]
838,[0]
860,[0]
867,[0]
893,[0]
907,[0]
908,[0]
920,[0]
935,[0]
942,[0]
957,[0]
964,[0]
1040,[0]
1042,[0]
1057,[0]
1104,[0]
1108,[0]
1130,[0]
1142,[0]
1145,[0]
1164,[0]
1165,[0]
1171,[0]
1188,[0]
1189,[0]
1209,[0]
1212,[0]
1225,[0]
1227,[0]
1233,[0]
1268,[0]
1269,[0]
1275,[0]
1295,[0]
1324,[0]
1336,[0]
1355,[0]
1360,[0]
1382,[0]
1405,[0]
1415,[0]
1420,[0]
1428,[0]
1462,[0]
1465,[0]
1468,[0]
1469,[0]
1500,[0]
1508,[0]
1513,[0]
1518,[0]
1523,[0]
1524,[0]
1537,[0]
1540,[0]
1555,[0]
1573,[0]
1582,[0]
1584,[0]
1601,[0]
1607,[0]
1620,[0]
1627,[0]
1633,[0]
1634,[0]
1659,[0]
1705,[0]
1706,[0]
1708,[0]
1728,[0]
1739,[0]
1742,[0]
1762,[0]
1772,[0]
1777,[0]
1790,[0]
1804,[0]
1808,[0]
1824,[0]
1833,[0]
1834,[0]
1836,[0]
1853,[0]
1867,[0]
1882,[0]
1899,[0]
1907,[0]
1912,[0]
1916,[0]
1934,[0]
1938,[0]
1942,[0]
1946,[0]
1964,[0]
1986,[0]
1988,[0]
2004,[0]
2039,[0]
2041,[0]
2045,[0]
2056,[0]
2075,[0]
2104,[0]
2119,[0]
2131,[0]
2136,[0]
2140,[0]
2146,[0]
2156,[0]
2170,[0]
2171,[0]
2175,[0]
2190,[0]
2206,[0]
2209,[0]
2216,[0]
2236,[0]
2240,[0]
2261,[0]
2298,[0]
2329,[0]
2331,[0]
2339,[0]
2344,[0]
2356,[0]
2374,[0]
2382,[0]
2413,[0]
2422,[0]
2444,[0]
2452,[0]
2455,[0]
2456,[0]
2458,[0]
2503,[0]
2512,[0]
2515,[0]
2553,[0]
2570,[0]
2587,[0]
2588,[0]
2601,[0]
2624,[0]
2628,[0]
2631,[0]
2641,[0]
2645,[0]
2667,[0]
2688,[0]
2690,[0]
2692,[0]
2702,[0]
2703,[0]
2728,[0]
2774,[0]
2812,[0]
2843,[0]
2854,[0]
2884,[0]
2895,[0]
2898,[0]
2921,[0]
2930,[0]
2931,[0]
2937,[0]
2938,[0]
2941,[0]
2945,[0]
2993,[0]
3006,[0]
3010,[0]
3037,[0]
3047,[0]
3055,[0]
3072,[0]
3075,[0]
3097,[0]
3147,[0]
3150,[0]
3152,[0]
3159,[0]
3164,[0]
3166,[0]
3174,[0]
3176,[0]
3196,[0]
3203,[0]
3205,[0]
3206,[0]
3222,[0]
3223,[0]
3240,[0]
3245,[0]
3254,[0]
3261,[0]
3263,[0]
3273,[0]
3274,[0]
3275,[0]
3280,[0]
3304,[0]
3306,[0]
3342,[0]
3371,[0]
3379,[0]
3387,[0]
3424,[0]
3429,[0]
3435,[0]
3436,[0]
3472,[0]
3475,[0]
3476,[0]
3512,[0]
3517,[0]
3518,[0]
3550,[0]
3551,[0]
3562,[0]
3563,[0]
3565,[0]
3570,[0]
3576,[0]
3589,[0]
3594,[0]
3596,[0]
3605,[0]
3625,[0]
3642,[0]
3649,[0]
3667,[0]
3675,[0]
3679,[0]
3728,[0]
3732,[0]
3754,[0]
3755,[0]
3769,[0]
3772,[0]
3782,[0]
3794,[0]
3798,[0]
3799,[0]
3826,[0]
3828,[0]
3841,[0]
3853,[0]
3862,[0]
3897,[0]
3907,[0]
3908,[0]
3919,[0]
3928,[0]
3938,[0]
3939,[0]
3943,[0]
3948,[0]
3966,[0]
4007,[0]
4054,[0]
4058,[0]
4076,[0]
4093,[0]
4114,[0]
4132,[0]
4155,[0]
4162,[0]
4178,[0]
4185,[0]
4192,[0]
4197,[0]
4215,[0]
4217,[0]
4267,[0]
4273,[0]
4276,[0]
4301,[0]
4327,[0]
4338,[0]
4360,[0]
4376,[0]
4395,[0]
4396,[0]
4400,[0]
4419,[0]
4439,[0]
4447,[0]
4479,[0]
4513,[0]
4542,[0]
4571,[0]
4600,[0]
4610,[0]
4612,[0]
4613,[0]
4620,[0]
4624,[0]
4636,[0]
4646,[0]
4671,[0]
4675,[0]
4695,[0]
4699,[0]
4700,[0]
4714,[0]
4721,[0]
4737,[0]
4740,[0]
4762,[0]
4863,[0]
4873,[0]
4900,[0]
4925,[0]
4942,[0]
4953,[0]
4967,[0]
4973,[0]
4981,[0]
4987,[0]
4997,[0]
4999,[0]
5001,[0]
5002,[0]
5003,[0]
5073,[0]
5081,[0]
5084,[0]
5112,[0]
5116,[0]
5124,[0]
5133,[0]
5153,[0]
5154,[0]
5163,[0]
5171,[0]
5175,[0]
5183,[0]
5184,[0]
5189,[0]
5211,[0]
5227,[0]
5233,[0]
5250,[0]
5257,[0]
5259,[0]
5263,[0]
5275,[0]
5280,[0]
5307,[0]
5319,[0]
5320,[0]
5321,[0]
5350,[0]
5355,[0]
5376,[0]
5389,[0]
5393,[0]
5406,[0]
5411,[0]
5432,[0]
5448,[0]
5457,[0]
5462,[0]
5471,[0]
5481,[0]
5507,[0]
5508,[0]
5518,[0]
5529,[0]
5530,[0]
5532,[0]
5542,[0]
5557,[0]
5565,[0]
5584,[0]
5604,[0]
5607,[0]
5611,[0]
5613,[0]
5618,[0]
5623,[0]
5647,[0]
5667,[0]
5685,[0]
5691,[0]
5693,[0]
5707,[0]
5719,[0]
5779,[0]
5781,[0]
5804,[0]
5853,[0]
5856,[0]
5861,[0]
5874,[0]
5876,[0]
5908,[0]
5912,[0]
5925,[0]
5930,[0]
5940,[0]
5949,[0]
5950,[0]
5956,[0]
5958,[0]
5969,[0]
5971,[0]
5978,[0]
6021,[0]
6024,[0]
6030,[0]
6038,[0]
6040,[0]
6051,[0]
6090,[0]
6147,[0]
6158,[0]
6169,[0]
6197,[0]
6208,[0]
6230,[0]
6232,[0]
6256,[0]
6269,[0]
6283,[0]
6289,[0]
6291,[0]
6293,[0]
6294,[0]
6295,[0]
6299,[0]
6302,[0]
6305,[0]
6327,[0]
6356,[0]
6373,[0]
6381,[0]
6401,[0]
6430,[0]
6440,[0]
6456,[0]
6469,[0]
6477,[0]
6481,[0]
6512,[0]
6537,[0]
6549,[0]
6573,[0]
6582,[0]
6591,[0]
6626,[0]
6627,[0]
6645,[0]
6654,[0]
6663,[0]
6668,[0]
6672,[0]
6701,[0]
6703,[0]
6713,[0]
6717,[0]
6738,[0]
6741,[0]
6768,[0]
6804,[0]
6817,[0]
6840,[0]
6876,[0]
6882,[0]
6890,[0]
6909,[0]
6911,[0]
6946,[0]
6972,[0]
6995,[0]
7007,[0]
7028,[0]
7050,[0]
7057,[0]
7058,[0]
7064,[0]
7067,[0]
7076,[0]
7102,[0]
7117,[0]
7178,[0]
7181,[0]
7196,[0]
