ano_idx,exp_subspace
10,"[1, 2]"
19,"[1, 4, 5]"
27,"[1, 2]"
43,"[1, 2]"
84,"[1, 5]"
105,"[1, 2]"
115,"[1, 3]"
116,"[1, 4, 5]"
145,"[1, 2]"
147,"[1, 2]"
155,"[1, 2]"
208,"[1, 3]"
215,"[1, 5]"
258,"[1, 3]"
289,"[1, 2]"
343,"[1, 2]"
358,"[1, 5]"
387,"[1, 2]"
406,"[1, 5]"
429,"[1, 2]"
462,"[1, 2]"
487,"[0, 1, 2, 4]"
497,"[1, 4]"
517,"[1, 5]"
519,"[1, 2]"
544,"[1, 5]"
559,"[1, 2]"
567,"[1, 4]"
568,"[1, 2]"
569,"[1, 2]"
600,"[1, 2]"
604,"[1, 2]"
608,"[1, 5]"
639,"[1, 4]"
662,"[1, 2]"
686,"[1, 2]"
690,"[1, 2]"
695,"[1, 2]"
732,[1]
745,"[0, 1]"
766,"[1, 3]"
772,"[1, 4]"
777,"[1, 2]"
781,"[1, 3]"
787,"[1, 4]"
794,"[1, 2]"
821,"[1, 2]"
838,"[1, 4]"
860,"[1, 2]"
867,"[1, 2, 4]"
893,"[1, 2, 4]"
907,"[1, 4]"
908,"[0, 1, 2]"
920,"[1, 4]"
935,"[1, 5]"
942,"[0, 1, 2]"
957,[1]
964,"[1, 5]"
1040,"[1, 2]"
1042,"[1, 2]"
1057,"[1, 2]"
1104,"[1, 4]"
1108,"[1, 2]"
1130,"[1, 2]"
1142,"[1, 2]"
1145,"[1, 4]"
1164,"[1, 2]"
1165,"[1, 2]"
1171,"[1, 2]"
1188,"[1, 2]"
1189,"[1, 2]"
1209,"[1, 2]"
1212,"[1, 4]"
1225,"[1, 4]"
1227,"[1, 2]"
1233,"[1, 4]"
1268,"[1, 4, 5]"
1269,"[1, 4, 5]"
1275,"[1, 2]"
1295,"[1, 2]"
1324,"[1, 3]"
1336,"[1, 4]"
1355,"[1, 2]"
1360,"[1, 2]"
1382,"[1, 2]"
1405,"[1, 5]"
1415,[1]
1420,"[1, 2]"
1428,"[1, 2]"
1462,"[1, 4]"
1465,"[1, 2]"
1468,"[1, 2]"
1469,"[1, 4]"
1500,"[1, 5]"
1508,"[1, 2]"
1513,"[1, 4]"
1518,"[0, 1, 4]"
1523,"[0, 1, 2]"
1524,"[0, 1]"
1537,"[0, 1, 2]"
1540,"[1, 2]"
1555,"[1, 2]"
1573,"[0, 1, 2]"
1582,"[1, 2]"
1584,"[1, 2]"
1601,"[1, 4]"
1607,"[1, 4]"
1620,"[1, 4]"
1627,[0]
1633,"[1, 2]"
1634,"[1, 2]"
1659,"[0, 1, 4, 5]"
1705,"[1, 2]"
1706,"[1, 3]"
1708,"[1, 3]"
1728,"[1, 2]"
1739,"[1, 2]"
1742,"[0, 1, 4]"
1762,[0]
1772,"[1, 4]"
1777,"[1, 3]"
1790,"[1, 2]"
1804,"[1, 4]"
1808,"[1, 4]"
1824,"[1, 2]"
1833,"[1, 4]"
1834,[0]
1836,"[1, 3]"
1853,"[1, 2]"
1867,"[1, 3]"
1882,"[1, 2]"
1899,"[1, 2]"
1907,"[1, 3]"
1912,"[1, 2]"
1916,"[1, 4]"
1934,"[1, 2]"
1938,"[1, 2]"
1942,"[0, 1, 2]"
1946,"[1, 2]"
1964,"[1, 5]"
1986,"[1, 2]"
1988,"[1, 3]"
2004,"[1, 4]"
2039,"[0, 1, 2]"
2041,"[0, 1, 3, 4]"
