ano_idx,exp_subspace
10,"[1, 2, 4]"
19,"[1, 3, 4, 5]"
27,"[0, 1, 2, 3]"
43,"[1, 2, 4]"
84,"[1, 5]"
105,"[1, 2]"
115,"[1, 3, 5]"
116,"[1, 3, 4, 5]"
145,"[0, 5]"
147,"[1, 2, 4]"
155,"[0, 1, 5]"
208,"[1, 3, 5]"
215,"[0, 1, 5]"
258,"[1, 3, 4]"
289,"[1, 2, 3]"
343,"[1, 2]"
358,"[0, 5]"
387,"[1, 2, 3]"
406,"[1, 3, 5]"
429,"[1, 3, 4]"
462,"[1, 2]"
487,"[1, 2, 4]"
497,"[0, 1, 5]"
517,"[1, 3, 4]"
519,"[1, 2]"
544,"[0, 1, 3, 5]"
559,"[1, 5]"
567,"[1, 4]"
568,"[1, 2, 4]"
569,"[1, 2, 4]"
600,"[0, 1, 2, 3]"
604,"[1, 5]"
608,"[1, 5]"
639,"[1, 4]"
662,"[1, 2]"
686,"[1, 2, 3]"
690,"[1, 2]"
695,"[0, 1, 2]"
732,"[1, 5]"
745,"[0, 1]"
766,"[1, 3, 4]"
772,"[1, 4]"
777,"[1, 2]"
781,"[1, 3, 4]"
787,"[1, 4, 5]"
794,"[1, 3, 4]"
821,"[1, 5]"
838,"[1, 2, 4]"
860,"[1, 2, 3]"
867,"[1, 2, 4]"
893,"[1, 2, 4]"
907,"[1, 2, 4]"
908,"[0, 1, 2]"
920,"[1, 4]"
935,"[0, 1, 5]"
942,"[0, 1, 2]"
957,"[0, 1, 5]"
964,"[1, 5]"
1040,"[1, 2]"
1042,"[1, 2, 3]"
1057,"[1, 2, 4]"
1104,"[1, 5]"
1108,"[1, 4]"
1130,"[1, 2, 4]"
1142,"[1, 2]"
1145,"[1, 4]"
1164,"[0, 1, 5]"
1165,[1]
1171,[1]
1188,"[1, 2]"
1189,"[1, 2, 4]"
1209,"[1, 5]"
1212,"[1, 3, 4]"
1225,"[1, 4]"
1227,"[1, 3, 4, 5]"
1233,"[0, 1, 3, 4]"
1268,"[1, 3, 4, 5]"
1269,"[1, 3, 4]"
1275,"[1, 2]"
1295,"[1, 2]"
1324,"[1, 3, 4, 5]"
1336,"[1, 3, 4]"
1355,"[0, 1, 4]"
1360,"[1, 5]"
1382,"[0, 1, 2]"
1405,"[1, 5]"
1415,"[1, 3, 4]"
1420,"[1, 2, 4]"
1428,"[1, 5]"
1462,"[0, 1, 4, 5]"
1465,"[1, 2, 3]"
1468,"[0, 1, 2, 3]"
1469,"[1, 4]"
1500,"[1, 5]"
1508,"[0, 1, 2]"
1513,"[1, 4]"
1518,"[0, 1, 4]"
1523,"[0, 1]"
1524,"[0, 1]"
1537,"[0, 1, 4]"
1540,"[1, 5]"
1555,"[0, 1, 2, 4]"
1573,[1]
1582,"[1, 2]"
1584,"[0, 1, 2]"
1601,"[1, 4]"
1607,"[1, 4]"
1620,"[1, 4]"
1627,"[0, 1, 4]"
1633,"[1, 2, 3]"
1634,"[1, 2]"
1659,"[1, 2, 4]"
1705,"[1, 3, 4, 5]"
1706,[3]
1708,"[1, 3, 4]"
1728,"[1, 2]"
1739,"[1, 2]"
1742,"[0, 1, 4]"
1762,[0]
1772,"[1, 4]"
1777,"[1, 3, 4, 5]"
1790,"[1, 2]"
1804,"[1, 4]"
1808,"[1, 4]"
1824,"[1, 3, 4]"
1833,"[1, 4]"
1834,"[0, 5]"
1836,"[1, 3, 4]"
1853,"[1, 2]"
1867,"[0, 5]"
1882,"[1, 2]"
1899,[1]
1907,"[1, 3]"
1912,"[1, 2]"
1916,"[1, 2, 4]"
1934,"[1, 5]"
1938,"[1, 2]"
1942,"[0, 1]"
1946,"[1, 2]"
1964,"[1, 5]"
1986,"[0, 1, 2]"
1988,"[1, 3, 4]"
2004,"[1, 4]"
2039,"[0, 1, 4, 5]"
2041,"[0, 1, 4]"
2045,"[0, 1, 4]"
2056,"[0, 1, 2]"
2075,"[1, 2, 3]"
2104,"[0, 1, 4, 5]"
2119,"[0, 1, 4]"
2131,"[0, 1, 4, 5]"
2136,"[1, 2]"
2140,"[1, 2]"
2146,[1]
2156,"[0, 1, 4]"
2170,"[0, 1, 4]"
2171,"[0, 1, 2]"
2175,"[0, 1, 4]"
2190,"[1, 2]"
2206,"[1, 2, 4]"
2209,"[1, 4]"
2216,"[1, 4]"
2236,"[1, 5]"
2240,"[0, 1, 2]"
2261,"[1, 2, 4]"
2298,"[1, 5]"
2329,"[1, 4]"
2331,"[0, 1]"
2339,"[1, 4]"
2344,"[1, 2, 4]"
2356,"[1, 2, 4]"
2374,"[1, 2]"
2382,"[1, 4]"
2413,"[0, 1, 2]"
2422,"[0, 1, 2]"
2444,"[1, 2]"
2452,"[0, 1, 3]"
2455,"[1, 2]"
2456,"[1, 2, 4]"
2458,"[1, 4]"
2503,[1]
2512,"[0, 1, 2]"
2515,"[1, 5]"
2553,[1]
2570,"[1, 2, 4]"
2587,"[1, 4]"
2588,"[0, 5]"
2601,"[1, 2]"
2624,"[0, 1, 2]"
2628,"[1, 2]"
2631,"[0, 1, 3, 4, 5]"
2641,"[1, 5]"
2645,"[0, 1, 3, 5]"
2667,"[1, 4]"
2688,"[1, 4]"
2690,"[0, 1, 2]"
2692,"[1, 2]"
2702,"[1, 3, 4]"
2703,"[1, 2, 3]"
2728,"[0, 5]"
2774,"[0, 1, 2]"
2812,"[1, 4]"
2843,"[1, 4]"
2854,"[0, 1, 2]"
2884,"[1, 2]"
2895,"[1, 4]"
2898,"[1, 2]"
2921,"[1, 2]"
2930,"[1, 2, 4]"
2931,"[1, 3, 4]"
2937,"[1, 4]"
2938,"[0, 1, 4, 5]"
2941,"[1, 4]"
2945,"[1, 2]"
2993,"[1, 4]"
3006,"[0, 1, 4, 5]"
3010,"[1, 2]"
3037,"[1, 4]"
3047,"[0, 1, 4]"
3055,"[1, 2, 4]"
3072,"[1, 4]"
3075,"[1, 2]"
3097,"[0, 1, 2, 4]"
3147,"[1, 3]"
3150,[0]
3152,"[0, 5]"
3159,"[1, 2, 4]"
3164,"[1, 3, 4]"
3166,"[1, 2]"
3174,"[1, 2]"
3176,"[1, 5]"
3196,"[1, 2, 4]"
3203,"[1, 2]"
3205,"[1, 4]"
3206,[1]
3222,"[0, 1, 2]"
3223,"[1, 5]"
3240,"[0, 1, 4, 5]"
3245,"[0, 1, 2]"
3254,"[1, 4]"
3261,"[1, 2, 4]"
3263,"[1, 5]"
