ano_idx,exp_subspace
10,[4]
19,"[1, 3, 5]"
27,[5]
43,[4]
84,[0]
105,[5]
115,"[1, 3, 5]"
116,[5]
145,[5]
147,"[0, 3, 4, 5]"
155,[0]
208,[5]
215,"[0, 2]"
258,[3]
289,[5]
343,"[0, 2]"
358,[0]
387,[5]
406,[5]
429,[5]
462,[2]
487,"[0, 3, 4]"
497,"[0, 2, 4]"
517,"[1, 3, 5]"
519,[5]
544,[5]
559,[5]
567,[4]
568,"[0, 3, 4, 5]"
569,[4]
600,"[1, 3, 5]"
604,[5]
608,[5]
639,[5]
662,[2]
686,"[1, 3, 5]"
690,"[0, 2]"
695,[2]
732,[0]
745,[0]
766,[0]
772,"[2, 4]"
777,"[0, 2]"
781,[2]
787,"[0, 2, 4]"
794,[5]
821,[0]
838,[5]
860,"[1, 3, 5]"
867,"[2, 4]"
893,"[2, 4]"
907,"[0, 2, 4]"
908,[0]
920,[4]
935,[5]
942,[0]
957,[0]
964,"[1, 3, 5]"
1040,[5]
1042,"[1, 3, 5]"
1057,"[0, 3, 4, 5]"
1104,"[2, 4]"
1108,[4]
1130,[4]
1142,"[1, 3, 5]"
1145,[4]
1164,[0]
1165,[0]
1171,[0]
1188,[0]
1189,[4]
1209,[5]
1212,"[1, 3, 5]"
1225,[4]
1227,"[1, 3, 5]"
1233,"[0, 2, 3, 4]"
1268,"[3, 4, 5]"
1269,[5]
1275,"[1, 3, 5]"
1295,[0]
1324,[3]
1336,"[1, 3, 5]"
1355,[2]
1360,[0]
1382,[2]
1405,[0]
1415,[2]
1420,[4]
1428,[0]
1462,[4]
1465,"[1, 3, 5]"
1468,[5]
1469,[4]
1500,"[1, 3, 5]"
1508,[0]
1513,"[0, 4]"
1518,[0]
1523,[0]
1524,[0]
1537,[0]
1540,[2]
1555,[4]
1573,[0]
1582,[0]
1584,[2]
1601,[1]
1607,[4]
1620,"[1, 3, 5]"
1627,[0]
1633,[5]
1634,[2]
1659,[5]
1705,"[1, 3, 5]"
1706,[5]
1708,[3]
1728,[0]
1739,[2]
1742,"[0, 4]"
1762,[0]
1772,"[2, 4]"
1777,[5]
1790,"[1, 3, 5]"
1804,"[0, 2, 4]"
1808,"[1, 5]"
1824,[3]
1833,[4]
1834,[0]
1836,[5]
1853,[5]
1867,[5]
1882,"[1, 3, 5]"
1899,[2]
1907,"[1, 3, 5]"
1912,[2]
1916,[5]
1934,[5]
1938,[2]
1942,[0]
1946,[2]
1964,"[0, 2, 4]"
1986,[2]
1988,[3]
2004,"[2, 4]"
2039,"[0, 4]"
2041,"[0, 4]"
2045,[0]
2056,[0]
2075,"[1, 3, 5]"
2104,"[0, 4]"
2119,"[0, 4]"
2131,[5]
2136,"[1, 3, 5]"
2140,[3]
2146,[0]
2156,"[0, 3, 4]"
2170,"[0, 4]"
2171,[1]
2175,"[0, 4]"
2190,[2]
2206,"[0, 4]"
2209,"[1, 3, 5]"
2216,[4]
2236,[5]
2240,"[0, 2]"
2261,[4]
2298,[5]
2329,"[0, 4]"
2331,[1]
2339,[4]
2344,[4]
2356,"[1, 5]"
2374,"[1, 3, 5]"
2382,[5]
2413,[2]
2422,[0]
2444,"[1, 3, 5]"
2452,[0]
2455,[2]
2456,[4]
2458,[4]
2503,"[1, 3, 5]"
2512,"[0, 4]"
2515,[5]
2553,[0]
2570,[4]
2587,"[0, 4]"
2588,[0]
2601,"[1, 5]"
2624,[5]
2628,"[1, 3, 5]"
2631,"[1, 3, 5]"
2641,[0]
2645,[5]
2667,[4]
2688,"[0, 2, 3, 4]"
2690,[0]
2692,[2]
2702,"[1, 3, 5]"
2703,[5]
2728,[0]
2774,"[1, 3, 5]"
2812,[4]
2843,"[0, 4]"
2854,[0]
2884,[2]
2895,[2]
2898,"[0, 2]"
2921,[0]
2930,[4]
2931,[1]
2937,"[1, 5]"
2938,"[0, 4]"
2941,[0]
2945,[5]
2993,"[0, 3, 4]"
3006,[5]
3010,"[0, 2, 4]"
3037,"[2, 4]"
3047,"[0, 4]"
3055,[2]
3072,[4]
3075,"[1, 3, 5]"
3097,"[0, 4]"
3147,"[1, 3, 5]"
3150,[0]
3152,[0]
3159,[4]
3164,"[1, 3, 5]"
3166,"[0, 2]"
3174,[5]
3176,[5]
3196,[4]
3203,[0]
3205,"[0, 2, 3, 4]"
3206,[0]
3222,"[0, 3, 4, 5]"
3223,[5]
3240,[0]
3245,[0]
3254,[4]
3261,"[0, 2, 4]"
3263,[2]
3273,[4]
3274,"[1, 3, 5]"
3275,"[1, 3, 5]"
3280,"[0, 3, 4]"
3304,[0]
3306,[0]
3342,[2]
3371,"[0, 4]"
3379,"[0, 2, 4]"
3387,[0]
3424,"[0, 2, 4]"
3429,"[0, 3, 4, 5]"
3435,[0]
3436,[2]
3472,[4]
3475,[0]
3476,"[1, 3, 5]"
3512,[5]
3517,[0]
3518,"[0, 3, 4, 5]"
3550,"[1, 3, 5]"
3551,[2]
3562,"[1, 3, 5]"
3563,"[0, 2, 3, 4]"
3565,"[0, 3, 4, 5]"
3570,"[0, 2]"
3576,[0]
3589,[5]
3594,"[0, 2, 4]"
3596,"[0, 2, 4]"
3605,[2]
3625,"[1, 3, 5]"
3642,[2]
3649,[0]
3667,"[0, 4]"
3675,[0]
3679,[5]
3728,[0]
3732,[0]
3754,"[0, 4]"
3755,[0]
3769,[0]
3772,"[0, 4]"
3782,"[1, 3, 5]"
3794,"[2, 4]"
3798,[2]
3799,"[0, 2]"
3826,[0]
3828,[3]
3841,[5]
3853,"[0, 3, 5]"
3862,"[1, 3, 5]"
3897,[2]
3907,[4]
3908,[5]
3919,[0]
3928,"[0, 4]"
3938,[2]
3939,"[1, 3, 5]"
3943,"[1, 3, 5]"
3948,"[1, 3, 5]"
3966,[5]
4007,"[1, 3, 5]"
4054,"[0, 4]"
4058,"[2, 3, 4]"
4076,"[1, 3, 5]"
4093,"[0, 2]"
4114,[5]
4132,[0]
4155,[0]
4162,[0]
4178,[2]
