ano_idx,exp_subspace
10,[2]
19,"[0, 1, 3, 5]"
27,[1]
43,[2]
84,[1]
105,"[1, 3]"
115,[5]
116,[5]
145,"[0, 3]"
147,"[1, 4]"
155,[1]
208,[5]
215,[1]
258,[1]
289,[5]
343,[1]
358,[1]
387,[5]
406,[5]
429,[1]
462,[1]
487,"[1, 2]"
497,[1]
517,[1]
519,[1]
544,"[1, 3]"
559,[5]
567,"[1, 4]"
568,"[0, 1, 4]"
569,"[2, 4]"
600,"[0, 1, 3, 5]"
604,[1]
608,[1]
639,"[3, 4]"
662,[1]
686,"[1, 2, 3, 5]"
690,[1]
695,[1]
732,[1]
745,[1]
766,[1]
772,[1]
777,[1]
781,[1]
787,[1]
794,"[1, 3]"
821,[1]
838,"[2, 4]"
860,"[1, 3, 5]"
867,"[2, 4]"
893,[4]
907,[1]
908,[0]
920,"[1, 4]"
935,[1]
942,"[0, 1]"
957,[1]
964,[1]
1040,[5]
1042,"[0, 1, 3, 5]"
1057,[2]
1104,[1]
1108,[1]
1130,[2]
1142,"[1, 2, 5]"
1145,[1]
1164,[1]
1165,[1]
1171,[1]
1188,[1]
1189,[1]
1209,"[1, 2]"
1212,[1]
1225,[1]
1227,"[1, 2, 4, 5]"
1233,"[0, 4]"
1268,[5]
1269,"[1, 3]"
1275,[1]
1295,[1]
1324,[5]
1336,[1]
1355,[1]
1360,[5]
1382,[1]
1405,[1]
1415,[1]
1420,"[1, 4]"
1428,[1]
1462,[1]
1465,"[1, 3]"
1468,[5]
1469,[4]
1500,[1]
1508,[1]
1513,[1]
1518,"[0, 1]"
1523,"[0, 1]"
1524,"[0, 1]"
1537,[1]
1540,[1]
1555,"[0, 1, 4]"
1573,[1]
1582,[1]
1584,[1]
1601,[1]
1607,[4]
1620,"[1, 2, 5]"
1627,"[0, 1]"
1633,[5]
1634,[1]
1659,[1]
1705,"[0, 1, 3, 5]"
1706,[5]
1708,[1]
1728,[1]
1739,[2]
1742,[1]
1762,[0]
1772,[1]
1777,[5]
1790,"[0, 1, 2, 3]"
1804,[1]
1808,[1]
1824,"[1, 4]"
1833,"[1, 4]"
1834,[0]
1836,"[1, 4]"
1853,"[1, 3]"
1867,"[0, 3]"
1882,[1]
1899,[1]
1907,[1]
1912,[2]
1916,"[2, 4]"
1934,[1]
1938,[1]
1942,[0]
1946,[1]
1964,[1]
1986,[1]
1988,[1]
2004,[1]
2039,[1]
2041,"[0, 1, 4]"
2045,"[0, 1, 3]"
2056,[1]
2075,"[1, 3]"
2104,[1]
2119,[1]
2131,[1]
2136,"[1, 2, 5]"
2140,"[1, 3]"
2146,[1]
2156,[4]
2170,"[0, 4]"
2171,[1]
2175,"[0, 1]"
2190,[1]
2206,"[1, 4]"
2209,"[1, 4]"
2216,[1]
2236,[1]
2240,[1]
2261,[2]
2298,[1]
2329,"[1, 4]"
2331,[1]
2339,"[0, 1, 4, 5]"
2344,[1]
2356,[1]
2374,"[1, 3]"
2382,"[1, 4]"
2413,[1]
2422,[0]
2444,[1]
2452,[1]
2455,[1]
2456,"[1, 4]"
2458,"[1, 4]"
2503,[1]
2512,[1]
2515,[1]
2553,[1]
2570,[2]
2587,[1]
2588,[0]
2601,[1]
2624,[2]
2628,"[1, 2, 4]"
2631,"[1, 3]"
2641,[1]
2645,"[1, 3]"
2667,[1]
2688,[1]
2690,[1]
2692,[2]
2702,"[0, 1, 2, 3]"
2703,[5]
2728,[0]
2774,"[0, 1, 2, 3, 4]"
2812,[4]
2843,[1]
2854,"[0, 1]"
2884,[1]
2895,[1]
2898,[1]
2921,[1]
2930,[2]
2931,"[1, 3]"
2937,[1]
2938,[1]
2941,[1]
2945,[2]
2993,[1]
3006,[5]
3010,[1]
3037,[1]
3047,[1]
3055,[2]
3072,[1]
3075,[1]
3097,"[0, 2, 4]"
3147,"[1, 2, 5]"
3150,[0]
3152,[0]
3159,[1]
3164,"[1, 3, 4, 5]"
3166,[1]
3174,[1]
3176,[1]
3196,[2]
3203,[1]
3205,"[1, 3]"
3206,[1]
3222,"[0, 1, 2, 4, 5]"
3223,[1]
3240,[1]
3245,[1]
3254,[4]
3261,[2]
3263,[1]
3273,"[1, 3, 4]"
3274,"[1, 2, 3, 5]"
3275,"[0, 1, 3, 5]"
3280,"[0, 2]"
3304,"[1, 2]"
3306,"[1, 3]"
3342,[1]
3371,"[0, 1, 4]"
3379,[1]
3387,[1]
3424,[1]
3429,[2]
3435,[1]
3436,[1]
3472,[1]
3475,"[1, 2]"
3476,[1]
3512,[5]
3517,"[1, 2]"
3518,[2]
3550,[1]
3551,[1]
3562,"[1, 2, 3, 5]"
3563,[1]
3565,"[1, 3]"
3570,[1]
3576,[1]
3589,"[1, 3]"
3594,[1]
3596,[1]
3605,"[1, 2]"
3625,"[1, 2, 3, 5]"
3642,[2]
3649,[1]
3667,"[0, 1, 4]"
3675,[2]
3679,"[1, 3]"
3728,[1]
3732,[0]
3754,"[0, 4]"
3755,[0]
3769,[0]
3772,[4]
3782,"[1, 3]"
3794,[1]
3798,[1]
3799,[1]
3826,[1]
3828,[1]
3841,[1]
3853,"[0, 1, 2]"
3862,"[0, 1, 4]"
3897,[2]
3907,[2]
3908,[5]
3919,[2]
3928,[1]
3938,[1]
3939,"[0, 1, 2, 3]"
3943,"[0, 1, 3, 4]"
3948,"[1, 3, 5]"
3966,[1]
4007,"[0, 1, 2, 3]"
4054,[1]
4058,[1]
4076,"[1, 3]"
4093,[1]
4114,[1]
4132,[1]
4155,"[1, 2]"
4162,[1]
4178,[1]
4185,[5]
4192,"[0, 2, 4]"
4197,[1]
4215,[1]
4217,[2]
4267,[4]
4273,[5]
4276,[1]
4301,"[1, 2, 3, 5]"
4327,[1]
4338,[1]
4360,[1]
4376,[1]
4395,[1]
4396,"[1, 3, 5]"
4400,[1]
4419,"[1, 3, 5]"
4439,[5]
4447,[1]
4479,"[3, 4]"
4513,"[0, 1, 3, 4]"
4542,[1]
4571,[1]
4600,[1]
4610,[1]
4612,[5]
4613,[1]
4620,[4]
4624,[0]
4636,"[1, 3]"
4646,"[1, 3]"
4671,[5]
4675,"[0, 1]"
4695,[1]
4699,[1]
4700,[5]
4714,[1]
4721,"[0, 1, 2, 3]"
4737,[1]
4740,[1]
4762,[0]
4863,[1]
4873,[1]
4900,[1]
4925,[1]
4942,[1]
4953,[1]
4967,[1]
4973,[5]
4981,[1]
4987,"[1, 3]"
4997,"[1, 4, 5]"
4999,"[1, 2]"
5001,"[0, 1, 2]"
5002,"[1, 4]"
5003,[0]
5073,[1]
5081,[1]
5084,[1]
5112,[1]
5116,[1]
5124,[1]
5133,[1]
5153,[1]
5154,"[0, 1]"
5163,[1]
5171,[1]
5175,[1]
5183,[1]
5184,[1]
5189,[2]
5211,[1]
5227,[1]
5233,"[0, 1, 3, 5]"
5250,[1]
5257,[2]
5259,[1]
5263,[1]
5275,"[1, 4]"
5280,"[0, 1]"
5307,[1]
