ano_idx,exp_subspace
10,"[1, 2, 3, 5]"
19,"[0, 2, 3]"
27,"[0, 4, 5]"
43,"[1, 2, 3, 5]"
84,"[1, 3, 4, 5]"
105,"[1, 2, 3, 5]"
115,"[0, 3]"
116,"[1, 2, 3, 5]"
145,"[0, 4, 5]"
147,"[3, 5]"
155,"[0, 2, 3]"
208,"[0, 1, 5]"
215,"[1, 3, 4, 5]"
258,"[1, 3, 4, 5]"
289,"[0, 4, 5]"
343,"[1, 3, 4, 5]"
358,"[1, 3, 4, 5]"
387,[3]
406,"[1, 3, 4, 5]"
429,"[1, 2, 3, 5]"
462,"[1, 3, 4, 5]"
487,"[1, 2, 3, 5]"
497,"[1, 3, 4, 5]"
517,"[1, 2, 4]"
519,"[1, 2]"
544,"[0, 5]"
559,"[1, 3, 4, 5]"
567,"[1, 2, 3, 5]"
568,"[0, 4, 5]"
569,"[1, 2, 3, 5]"
600,"[0, 1, 2, 3, 4, 5]"
604,"[0, 5]"
608,"[1, 3, 4, 5]"
639,"[3, 4]"
662,"[1, 3, 4, 5]"
686,"[0, 1, 2, 3, 4, 5]"
690,"[1, 3, 4, 5]"
695,"[1, 3, 4, 5]"
732,"[1, 3, 4, 5]"
745,"[1, 3, 4, 5]"
766,"[0, 1, 3, 4, 5]"
772,"[1, 3, 4, 5]"
777,"[1, 2, 3, 5]"
781,"[1, 3, 4, 5]"
787,"[1, 3, 4, 5]"
794,"[0, 1, 2, 3, 4, 5]"
821,"[0, 1, 3, 4, 5]"
838,"[0, 4, 5]"
860,"[0, 1, 5]"
867,"[1, 3, 4, 5]"
893,"[2, 3, 4]"
907,"[0, 2, 4]"
908,"[0, 2, 3]"
920,"[1, 3, 4, 5]"
935,"[1, 3, 4, 5]"
942,"[0, 2, 4]"
957,"[0, 1, 3, 4, 5]"
964,"[1, 3, 4, 5]"
1040,"[1, 3, 4, 5]"
1042,"[0, 1, 2, 3]"
1057,"[0, 2, 3]"
1104,"[1, 3, 4, 5]"
1108,"[1, 3, 4, 5]"
1130,"[0, 2, 3]"
1142,"[0, 1, 4, 5]"
1145,"[1, 3, 4, 5]"
1164,"[0, 1, 3, 4, 5]"
