ano_idx,exp_subspace
10,"[0, 1, 2, 3]"
19,"[0, 1, 2, 5]"
27,"[0, 1, 3, 5]"
43,"[0, 1, 2, 5]"
84,"[1, 3, 4, 5]"
105,"[0, 1, 3, 5]"
115,"[0, 1, 2, 3]"
116,"[0, 1, 2, 5]"
145,"[0, 1, 2, 5]"
147,"[0, 1, 2, 3]"
155,"[0, 1, 3, 5]"
208,"[0, 1, 2, 3]"
215,"[1, 3, 4, 5]"
258,"[0, 1, 3, 5]"
289,"[0, 1, 2, 3]"
343,"[0, 1, 2, 5]"
358,"[1, 3, 4, 5]"
387,"[0, 1, 2, 3]"
406,"[0, 1, 3, 5]"
429,"[0, 1, 3, 5]"
462,"[0, 1, 2, 5]"
487,"[1, 2, 3, 4]"
497,"[1, 3, 4, 5]"
517,"[0, 1, 3, 5]"
519,"[0, 1, 2, 5]"
544,"[0, 1, 3, 5]"
559,"[1, 3, 4, 5]"
567,"[0, 1, 3, 4]"
568,"[0, 1, 2, 3]"
569,"[0, 1, 2, 3]"
600,"[0, 1, 3, 5]"
604,"[1, 3, 4, 5]"
608,"[1, 3, 4, 5]"
639,"[1, 3, 4, 5]"
662,"[0, 1, 2, 5]"
686,"[0, 1, 2, 3]"
690,"[1, 3, 4, 5]"
695,"[0, 1, 2, 3]"
732,"[0, 1, 3, 5]"
745,"[0, 1, 3, 4]"
766,"[1, 3, 4, 5]"
772,"[1, 3, 4, 5]"
777,"[0, 1, 2, 5]"
781,"[1, 3, 4, 5]"
787,"[1, 3, 4, 5]"
794,"[0, 1, 3, 5]"
821,"[0, 1, 3, 5]"
838,"[0, 1, 2, 4]"
860,"[0, 1, 2, 3]"
867,"[0, 1, 2, 4]"
893,"[0, 1, 3, 4]"
907,"[1, 2, 3, 4]"
908,"[0, 1, 2, 3]"
920,"[1, 3, 4, 5]"
935,"[1, 3, 4, 5]"
942,"[1, 3, 4, 5]"
957,"[1, 3, 4, 5]"
964,"[1, 3, 4, 5]"
1040,"[0, 1, 2, 3]"
1042,"[0, 1, 2, 3]"
1057,"[1, 3, 4, 5]"
1104,"[1, 3, 4, 5]"
1108,"[1, 3, 4, 5]"
1130,"[0, 1, 2, 3]"
1142,"[0, 1, 2, 3]"
1145,"[1, 3, 4, 5]"
1164,"[1, 3, 4, 5]"
1165,"[1, 3, 4, 5]"
1171,"[1, 3, 4, 5]"
1188,"[1, 3, 4, 5]"
1189,"[1, 2, 3, 4]"
1209,"[1, 2, 3, 5]"
1212,"[0, 1, 3, 5]"
1225,"[1, 3, 4, 5]"
1227,"[0, 1, 2, 3]"
1233,"[0, 3, 4, 5]"
1268,"[0, 1, 2, 3]"
1269,"[1, 3, 4, 5]"
1275,"[1, 3, 4, 5]"
1295,"[1, 2, 3, 4]"
1324,"[1, 3, 4, 5]"
1336,"[0, 1, 3, 5]"
1355,"[0, 1, 3, 5]"
1360,"[1, 3, 4, 5]"
1382,"[0, 1, 2, 5]"
1405,"[0, 1, 3, 5]"
1415,"[0, 1, 3, 5]"
1420,"[0, 1, 2, 3]"
1428,"[0, 1, 3, 5]"
1462,"[1, 3, 4, 5]"
1465,"[0, 1, 2, 3]"
1468,"[0, 1, 2, 5]"
1469,"[0, 1, 3, 4]"
1500,"[1, 3, 4, 5]"
1508,"[1, 2, 3, 4]"
1513,"[0, 1, 4, 5]"
1518,"[0, 1, 4, 5]"
1523,"[0, 1, 4, 5]"
1524,"[0, 1]"
1537,"[1, 3, 4, 5]"
1540,"[0, 1, 3, 5]"
1555,"[0, 1, 2, 3]"
1573,"[1, 3, 4, 5]"
1582,"[1, 2, 3, 4]"
1584,"[0, 1, 2, 4]"
1601,"[1, 3, 4, 5]"
1607,"[0, 1, 3, 4]"
1620,"[0, 1, 4, 5]"
1627,"[0, 1, 2, 4]"
1633,"[0, 1, 2, 3]"
1634,"[0, 1, 3, 5]"
1659,"[1, 3, 4, 5]"
1705,"[0, 1, 2, 5]"
1706,[3]
1708,"[1, 3, 4, 5]"
1728,"[1, 2, 3, 4]"
1739,"[0, 1, 2, 5]"
1742,"[0, 1, 3, 4]"
1762,"[0, 1, 3, 5]"
1772,"[1, 3, 4, 5]"
1777,"[1, 3, 4, 5]"
1790,"[0, 1, 2, 3]"
1804,"[1, 3, 4, 5]"
1808,"[1, 3, 4, 5]"
1824,"[1, 3, 4, 5]"
1833,"[0, 1, 3, 4]"
1834,"[1, 3, 4, 5]"
1836,"[1, 3, 4, 5]"
1853,"[0, 1, 3, 5]"
1867,"[0, 1, 3, 5]"
1882,"[0, 1, 3, 5]"
1899,"[0, 1, 2, 5]"
1907,"[0, 1, 3, 5]"
