ano_idx,exp_subspace
10,"[0, 1, 2, 3, 4]"
19,"[1, 2, 4]"
27,"[1, 3, 5]"
43,"[0, 1, 2, 3]"
84,"[0, 4, 5]"
105,"[0, 1, 2, 3, 4, 5]"
115,"[1, 3]"
116,"[0, 4, 5]"
145,"[0, 1, 3, 4]"
147,"[1, 3, 5]"
155,"[0, 1, 2, 3, 4, 5]"
208,"[1, 5]"
215,"[0, 1, 2, 4, 5]"
258,"[0, 1, 3, 4]"
289,"[4, 5]"
343,"[1, 2, 4]"
358,"[0, 1, 2, 3, 4, 5]"
387,"[1, 4, 5]"
406,"[1, 2, 3, 4, 5]"
429,"[0, 1, 2, 3, 4, 5]"
462,"[0, 1, 2, 3, 5]"
487,"[0, 2, 4, 5]"
497,"[0, 1, 2, 3, 4, 5]"
517,"[1, 3, 4]"
519,"[0, 1, 2, 3, 4, 5]"
544,"[1, 3, 4, 5]"
559,"[0, 4, 5]"
567,"[1, 4, 5]"
568,"[0, 2, 3, 4]"
569,"[1, 4, 5]"
600,"[0, 1, 2, 3, 4, 5]"
604,"[0, 1, 3, 4, 5]"
608,"[1, 3, 4]"
639,"[0, 4, 5]"
662,"[0, 1, 2, 3, 4, 5]"
686,"[1, 2]"
690,"[0, 2, 3, 4]"
695,"[0, 1, 2, 3, 4]"
732,"[1, 3]"
745,"[0, 1, 3, 4, 5]"
766,"[0, 1, 2, 3, 4]"
772,"[0, 1, 3, 4]"
777,"[0, 4, 5]"
781,"[0, 1, 2, 4, 5]"
787,"[0, 4, 5]"
794,"[1, 3, 4, 5]"
821,"[0, 4, 5]"
838,"[0, 2, 4]"
860,"[1, 2]"
867,"[1, 3, 4, 5]"
893,"[1, 3, 4]"
907,"[0, 2, 4, 5]"
908,"[0, 2, 3, 4]"
920,"[1, 3, 4]"
935,"[0, 4, 5]"
942,"[0, 1, 2, 3, 4, 5]"
957,"[0, 1, 3, 4, 5]"
964,"[1, 4, 5]"
1040,"[1, 3]"
1042,"[1, 3]"
1057,"[0, 4, 5]"
1104,"[1, 2, 4]"
1108,"[1, 2, 4]"
1130,"[0, 2, 4, 5]"
1142,"[1, 5]"
