ano_idx,exp_subspace
1268,"[2, 5, 7, 9]"
1269,"[1, 2, 4, 5]"
1270,"[2, 3]"
1271,"[2, 3, 4]"
1272,"[3, 5]"
1273,"[2, 3, 4]"
1274,"[2, 3, 4, 7]"
1275,"[0, 1, 2, 6]"
1276,"[0, 1, 7]"
1277,"[0, 1, 7]"
1278,"[0, 3]"
1279,"[0, 3]"
1280,"[0, 3]"
1281,"[0, 3]"
1282,"[0, 3]"
1283,"[1, 2, 4, 5, 6]"
1284,"[1, 2, 6, 7]"
1285,"[1, 3, 4, 5, 8]"
1286,"[1, 4, 5, 8]"
1287,"[1, 2, 4]"
1288,"[3, 5]"
1289,"[0, 2, 7, 9]"
1290,"[5, 6]"
1291,"[1, 2, 5, 6]"
1292,"[1, 4, 6, 8]"
1293,"[3, 5, 6]"
1294,"[3, 5, 6]"
1295,"[3, 4, 6, 8, 9]"
1296,"[4, 6, 7, 9]"
1297,"[3, 5, 6]"
1298,"[5, 6]"
1299,"[3, 5, 6]"
1300,"[1, 5, 6]"
1301,"[1, 5, 6]"
1302,"[5, 6]"
1303,"[4, 5, 6, 8, 9]"
1304,"[1, 5, 6]"
1305,"[3, 5, 6]"
1306,"[1, 5, 6]"
1307,"[0, 2, 3, 6, 7]"
1308,"[0, 2, 3, 6, 7]"
1309,"[0, 4, 5, 6, 9]"
1310,"[0, 2, 3, 5, 6, 9]"
1311,"[3, 5, 6, 7]"
1312,"[3, 8]"
1313,"[0, 1, 2, 5, 8]"
1314,"[2, 8, 9]"
1315,"[1, 5, 8]"
1316,"[1, 2, 5]"
1317,"[1, 2, 4]"
1318,"[1, 2, 4, 8]"
1319,"[1, 2, 4, 8]"
1320,"[2, 3, 4, 6, 8]"
1321,"[1, 2, 4]"
1322,"[1, 2, 4, 8]"
1323,"[1, 2, 4, 7]"
1324,"[2, 3, 4, 5]"
1325,"[1, 2, 4, 5]"
1326,"[2, 4, 5]"
1327,"[3, 4, 6, 8]"
1328,"[1, 4, 8]"
1329,"[2, 3, 4, 6, 8]"
1330,"[2, 3, 5]"
1331,"[1, 2, 4]"
1332,"[1, 2, 4, 8]"
1333,"[1, 3, 4, 6]"
1334,"[1, 4, 5]"
1335,"[1, 4]"
1336,"[4, 5, 7, 9]"
1337,"[4, 5]"
1338,"[1, 4]"
1339,"[1, 2, 4]"
1340,"[1, 4, 5]"
1341,"[1, 2, 4]"
1342,"[2, 5, 8, 9]"
1343,"[2, 8, 9]"
1344,"[2, 3, 4, 8, 9]"
1345,"[2, 4, 5, 9]"
1346,"[5, 6, 7]"
1347,"[2, 6, 7]"
1348,"[5, 6, 7, 9]"
1349,"[0, 2, 8, 9]"
1350,"[5, 7, 9]"
1351,"[2, 5, 6, 9]"
1352,"[2, 3]"
1353,"[1, 2, 8]"
1354,"[0, 1]"
1355,"[1, 2, 4, 8]"
1356,"[2, 3, 4, 5, 9]"
1357,"[2, 4, 5, 7]"
1358,"[2, 4, 5, 7, 9]"
1359,"[0, 1, 4, 5, 8]"
1360,"[1, 2, 4, 5]"
1361,"[5, 6, 7]"
1362,"[2, 3, 4, 5, 6, 7]"
1363,"[0, 2, 3, 4, 6, 7, 8, 9]"
1364,"[2, 3, 4, 5, 6, 7]"
1365,"[2, 3, 4, 6, 8]"
1366,"[0, 1, 2, 4, 6]"
1367,"[1, 2, 4, 5]"
1368,"[0, 1, 2, 6, 7]"
1369,"[0, 1, 2, 5, 6]"
1370,"[0, 2, 3, 5, 6, 9]"
1371,"[0, 1, 2, 5, 6]"
1372,"[0, 1, 2, 6]"
1373,"[0, 1, 2, 8]"
1374,"[0, 1, 2, 6, 8]"
1375,"[4, 5, 7, 9]"
1376,"[1, 4]"
1377,"[4, 5, 7, 9]"
1378,"[0, 1, 3, 4, 6]"
1379,"[4, 5, 7, 9]"
1380,"[1, 2, 3, 4, 5, 6]"
1381,"[1, 2, 3, 4, 5, 6]"
1382,[1]
1383,"[1, 4, 5]"
1384,"[4, 5, 7, 9]"
1385,"[2, 4, 5, 7, 9]"
1386,"[4, 5, 7, 9]"
1387,"[4, 5, 7, 9]"
1388,"[2, 4, 5, 7, 9]"
1389,"[2, 4, 5, 7, 9]"
1390,"[5, 7, 9]"
1391,"[5, 7, 9]"
1392,"[2, 5, 8, 9]"
1393,"[2, 3]"
1394,"[2, 8, 9]"
1395,"[1, 2, 4, 8]"
1396,"[3, 4, 5, 6, 7]"
1397,"[3, 4, 5, 6, 7]"
1398,"[2, 3, 4, 6, 8]"
1399,[4]
1400,"[1, 2, 4]"
1401,"[0, 2, 3, 4, 6, 8]"
1402,"[2, 5, 8, 9]"
1403,"[2, 8, 9]"
1404,"[2, 4, 5]"
1405,"[0, 4, 5, 6, 7]"
1406,"[0, 2, 3, 6]"
1407,"[0, 1, 2, 4, 6]"
1408,"[0, 1, 2, 5, 6]"
1409,[0]
1410,"[0, 1, 2, 4, 6]"
1411,"[0, 5, 6, 7]"
1412,"[0, 2, 3, 5, 6]"
1413,"[0, 5, 6, 9]"
1414,"[0, 3, 6, 7]"
1415,"[0, 1, 6]"
1416,"[0, 1, 2, 4, 6]"
1417,"[0, 2, 3, 4, 6, 8]"
1418,"[0, 2, 4, 6]"
1419,"[0, 2, 3, 5, 6, 9]"
1420,"[2, 4, 5]"
1421,"[0, 5, 8, 9]"
1422,"[0, 1, 2, 8]"
1423,"[0, 5, 6, 9]"
1424,"[0, 4, 9]"
1425,"[0, 4, 9]"
1426,"[0, 1, 2, 4, 8]"
1427,"[0, 1, 2, 4, 8]"
1428,"[0, 5, 6, 9]"
1429,"[0, 4, 6]"
1430,"[0, 1, 2, 8]"
1431,"[0, 1, 2, 4, 8]"
1432,"[0, 1, 4, 5, 8]"
1433,"[0, 5, 8]"
1434,"[0, 2, 3, 6]"
1435,"[0, 1, 6]"
1436,"[0, 6]"
1437,"[0, 1, 2, 4, 6]"
1438,"[0, 2, 3, 4, 6, 8]"
1439,"[0, 5, 6]"
1440,"[0, 4, 5, 6, 8]"
1441,"[0, 2, 5, 6]"
1442,"[0, 5, 6, 7, 9]"
1443,"[0, 5, 6, 7, 9]"
1444,"[2, 3, 4, 5, 6]"
1445,"[0, 1, 2, 4, 6]"
1446,"[0, 2, 3, 5, 6, 9]"
1447,"[0, 2, 3, 6]"
1448,"[2, 3, 5, 7]"
1449,"[0, 1, 2, 5, 6]"
1450,"[0, 1, 6, 8]"
1451,"[0, 3, 6]"
1452,"[2, 3, 5, 7]"
1453,"[2, 3, 5, 7]"
1454,"[2, 3, 5, 7]"
1455,"[2, 4, 9]"
1456,"[2, 5, 8, 9]"
1457,"[2, 4, 5]"
1458,"[2, 5, 6, 9]"
1459,"[2, 3, 5, 6, 7]"
1460,"[1, 2, 4, 5]"
1461,"[2, 3, 4, 5]"
1462,"[3, 4, 5, 7]"
1463,"[3, 5]"
1464,"[0, 4, 5, 6, 7, 9]"
1465,"[2, 5, 6]"
1466,"[2, 5, 6, 9]"
1467,"[2, 3, 5, 6]"
1468,"[2, 4, 6, 7, 9]"
1469,"[2, 4, 6, 7, 9]"
1470,"[2, 6, 7]"
1471,"[2, 6, 9]"
1472,"[2, 5, 8, 9]"
1473,"[2, 5, 7, 9]"
1474,"[2, 5, 6, 7]"
1475,"[2, 8]"
1476,"[2, 4, 6, 7, 8, 9]"
1477,"[2, 3, 5, 6, 7]"
1478,"[0, 1, 8]"
1479,"[3, 6, 8]"
1480,"[0, 1, 4, 6, 8]"
1481,"[1, 2, 3, 5, 6, 8]"
1482,"[1, 5, 6, 8]"
1483,"[1, 4, 6, 8]"
1484,"[1, 4, 6, 8]"
1485,"[0, 1, 6, 8]"
1486,"[2, 3, 6, 9]"
1487,"[1, 4, 6, 8]"
1488,"[2, 3, 5, 6, 9]"
1489,"[2, 3, 6, 7]"
1490,"[0, 1, 4, 6, 8]"
1491,"[1, 4, 6, 8]"
1492,"[3, 6, 8]"
1493,"[3, 6, 7]"
1494,"[5, 6, 8]"
1495,"[3, 5, 6, 7]"
1496,"[0, 2, 3, 4, 6, 8, 9]"
1497,"[1, 6, 8]"
1498,"[1, 4, 6, 8]"
1499,[6]
1500,"[4, 6, 7, 9]"
1501,"[0, 5, 6, 8]"
1502,"[3, 6]"
1503,"[5, 8, 9]"
1504,"[4, 5, 7, 9]"
1505,"[4, 5, 6, 8, 9]"
1506,"[2, 3, 5, 7]"
1507,"[3, 7]"
1508,"[3, 7]"
1509,"[2, 3, 5, 6]"
1510,"[2, 3, 5, 6, 9]"
1511,[3]
1512,"[2, 3, 4, 5, 7]"
1513,"[2, 3, 5, 6]"
1514,"[1, 2, 6, 7]"
1515,"[2, 3, 5, 6, 7]"
1516,"[3, 6, 7]"
1517,"[2, 5, 6, 7]"
1518,"[2, 3, 4, 7]"
1519,"[2, 4, 7, 9]"
1520,"[2, 3, 4, 7]"
1521,"[0, 2, 5, 8, 9]"
1522,"[3, 4, 5, 7]"
1523,"[2, 3, 4, 5]"
1524,"[0, 2, 8]"
1525,"[5, 7, 9]"
1526,"[0, 2, 8]"
1527,"[2, 3, 4, 7]"
1528,"[0, 2, 3, 9]"
1529,[3]
1530,"[0, 3, 6, 7]"
1531,"[0, 2, 6, 7]"
1532,"[0, 2, 3]"
1533,"[3, 5]"
1534,"[0, 3, 4, 5, 7]"
1535,"[2, 3, 4, 7]"
1536,"[1, 5, 6]"
1537,"[0, 2, 3, 4, 8]"
1538,"[1, 2, 4, 5, 6]"
1539,"[1, 2, 4, 6, 8]"
1540,"[2, 4, 7, 9]"
1541,"[5, 7]"
1542,"[2, 3, 5, 7]"
1543,"[3, 5, 6]"
