ano_idx,exp_subspace
1268,"[2, 5, 6, 9]"
1269,"[0, 1, 2, 5]"
1270,"[0, 1, 3, 6]"
1271,"[0, 1, 3]"
1272,"[0, 1, 3, 5, 6]"
1273,"[1, 3, 4, 6]"
1274,"[0, 1, 3, 6]"
1275,"[0, 6]"
1276,"[0, 1, 7]"
1277,"[0, 1, 7]"
1278,"[0, 3, 4, 5, 8]"
1279,"[3, 4]"
1280,"[3, 4]"
1281,"[0, 2, 3, 7]"
1282,"[0, 3, 5]"
1283,"[1, 5, 6]"
1284,"[1, 2, 6, 7]"
1285,"[1, 7]"
1286,"[1, 2, 4, 5]"
1287,"[1, 2, 4, 6, 8]"
1288,"[0, 3, 5]"
1289,"[0, 2, 9]"
1290,"[0, 5, 6]"
1291,"[0, 1, 2, 5, 6]"
1292,"[3, 4, 6]"
1293,"[3, 4, 6]"
1294,"[3, 4, 6]"
1295,"[3, 4, 6]"
1296,"[3, 4, 6]"
1297,"[3, 4, 6]"
1298,"[3, 4, 5, 6]"
1299,"[3, 4, 6]"
1300,"[4, 5, 6]"
1301,"[3, 4, 5, 6]"
1302,"[4, 5, 6]"
1303,"[3, 4, 6]"
1304,"[4, 5, 6]"
1305,"[3, 4, 5, 6]"
1306,"[4, 5, 6]"
1307,"[0, 2, 3, 7]"
1308,"[0, 2, 3, 7]"
1309,"[4, 6]"
1310,"[2, 3, 4, 5, 6]"
1311,"[3, 4, 5, 6, 7, 9]"
1312,"[1, 7]"
1313,"[0, 1, 2, 5]"
1314,"[1, 2, 4, 7, 8]"
1315,"[0, 3, 5, 7]"
1316,"[1, 2, 8]"
1317,"[1, 2, 4, 8]"
1318,"[1, 2, 4, 8]"
1319,"[1, 2, 4, 8]"
1320,"[1, 6, 8]"
1321,"[2, 4, 7, 8]"
1322,"[1, 6, 8]"
1323,"[3, 5, 6, 9]"
1324,"[1, 4, 7, 8]"
1325,"[2, 5, 8]"
1326,"[0, 3, 5, 8]"
1327,"[0, 1, 4, 6, 8]"
1328,"[1, 4, 8]"
1329,"[1, 6, 8]"
1330,"[2, 3, 5, 7, 9]"
1331,"[1, 2, 8]"
