ano_idx,exp_subspace
1268,"[1, 2, 5, 6]"
1269,"[4, 5]"
1270,"[0, 1, 2, 3, 6]"
1271,"[0, 3]"
1272,"[0, 1, 2, 3, 6]"
1273,"[1, 2, 3, 4, 5]"
1274,"[1, 4]"
1275,"[0, 1, 2, 3, 6]"
1276,"[0, 6]"
1277,"[0, 6]"
1278,"[0, 3, 4, 5]"
1279,"[0, 1, 2, 3, 4, 5]"
1280,"[0, 3, 4, 5]"
1281,"[2, 3, 4]"
1282,"[0, 3, 4, 5]"
1283,"[1, 4]"
1284,"[1, 2, 6]"
1285,"[1, 3, 4, 5, 7]"
1286,"[1, 4]"
1287,"[1, 4]"
1288,"[0, 1, 3, 5]"
1289,"[0, 2, 9]"
1290,"[2, 6]"
1291,"[0, 1, 2, 5, 6]"
1292,"[3, 4, 6]"
1293,"[3, 5, 6]"
1294,"[3, 5, 6, 9]"
1295,"[3, 4, 5, 6]"
1296,"[3, 4, 5, 6]"
1297,"[3, 5, 6, 9]"
1298,"[0, 1, 3, 5, 6]"
1299,"[3, 5, 6, 9]"
1300,"[0, 5, 6]"
1301,"[0, 1, 3, 5, 6]"
1302,[6]
1303,"[3, 5, 6, 9]"
1304,"[3, 5, 6, 9]"
1305,"[0, 3, 5, 6]"
1306,"[0, 3, 5, 6]"
1307,"[0, 2, 3, 4, 5, 7]"
1308,"[0, 2, 3, 4, 5, 6]"
1309,"[0, 4, 6]"
1310,"[2, 3, 4, 5, 6, 9]"
1311,"[4, 5, 6, 7]"
1312,"[1, 3, 4, 5, 7]"
1313,"[0, 2, 5, 8]"
1314,"[1, 2, 4, 5]"
1315,"[2, 5]"
1316,"[1, 2, 5]"
1317,"[1, 4]"
1318,"[4, 8]"
1319,"[1, 4]"
1320,"[1, 2, 8]"
1321,"[0, 1, 2, 4]"
1322,"[1, 4, 6, 8, 9]"
1323,"[3, 4]"
1324,"[4, 8]"
1325,"[2, 5]"
1326,"[0, 1, 3, 5]"
1327,"[3, 4]"
1328,"[4, 8]"
1329,"[1, 4]"
1330,"[2, 7, 9]"
1331,"[1, 4]"
1332,"[3, 4]"
1333,"[1, 4]"
1334,"[1, 4]"
1335,"[4, 5]"
1336,"[4, 5, 6, 9]"
1337,"[0, 1, 2, 4, 5]"
1338,"[1, 4]"
1339,"[1, 4]"
1340,"[1, 4]"
1341,"[1, 2, 4]"
1342,"[2, 3, 5, 7, 9]"
1343,"[1, 2, 4, 7, 9]"
1344,"[1, 3, 4, 5, 7]"
1345,"[2, 4]"
1346,"[0, 5, 6, 7]"
1347,"[0, 6]"
1348,"[3, 5, 6, 9]"
1349,"[0, 2, 8, 9]"
1350,"[0, 9]"
1351,"[1, 5, 6]"
1352,"[0, 3]"
1353,[2]
1354,"[0, 5]"
1355,"[0, 1, 2, 4]"
1356,"[0, 9]"
1357,"[4, 5, 7]"
1358,"[0, 1, 2, 3, 4, 5, 6]"
1359,"[0, 1, 4, 8]"
1360,"[2, 4, 5]"
1361,"[0, 5, 6]"
1362,"[0, 3, 4, 6, 8]"
1363,"[0, 3, 4, 8]"
1364,"[0, 1, 4, 6, 8]"
1365,"[2, 8, 9]"
1366,"[1, 4, 5]"
1367,"[5, 9]"
1368,"[1, 2, 6, 7]"
1369,"[0, 2, 4, 5, 6]"
1370,"[0, 1, 2, 4, 5, 6, 9]"
1371,"[0, 1, 2, 4, 5, 6, 9]"
1372,"[1, 2, 4, 6]"
1373,"[1, 3, 4, 8]"
1374,"[0, 2, 6]"
1375,"[1, 2, 3, 4, 5, 7]"
1376,"[1, 2, 4, 9]"
1377,"[1, 2, 4]"
1378,"[1, 2, 3, 6]"
1379,"[1, 4]"
1380,"[0, 2, 3, 4, 6, 9]"
1381,"[0, 2, 3, 4, 6, 9]"
1382,[1]
1383,"[0, 1, 5]"
1384,"[0, 1, 2, 4, 8, 9]"
1385,"[0, 1, 5]"
1386,"[0, 1, 4, 5]"
1387,"[0, 1, 2, 4, 8, 9]"
1388,"[1, 2, 5, 8]"
1389,"[0, 2, 5, 8, 9]"
1390,"[0, 5, 9]"
1391,"[0, 2, 5, 8, 9]"
1392,"[0, 2, 5, 8, 9]"
1393,"[2, 4, 5]"
1394,"[2, 3, 5, 6]"
1395,"[2, 4, 8]"
1396,[4]
1397,"[1, 2, 3, 4, 5, 6]"
1398,"[0, 3, 4, 8]"
1399,[4]
1400,"[0, 1, 2, 4]"
1401,"[0, 1, 4]"
1402,"[5, 9]"
1403,"[5, 9]"
1404,"[2, 4, 5]"
1405,"[0, 3]"
1406,"[0, 1, 2, 4]"
1407,"[0, 2, 6, 9]"
1408,"[0, 1, 4]"
1409,[0]
1410,"[0, 1, 2, 4]"
1411,[0]
1412,"[0, 1, 4]"
1413,[0]
1414,"[0, 1, 2, 3, 6]"
1415,"[0, 1, 3, 5, 6]"
1416,"[0, 1, 2, 4, 5]"
1417,"[0, 1, 2, 4]"
1418,"[0, 2, 3, 4, 5, 6]"
1419,"[0, 6]"
1420,"[2, 4, 5]"
1421,"[0, 6]"
1422,"[0, 1, 2, 6]"
1423,"[0, 5, 6]"
1424,"[0, 4, 9]"
1425,"[0, 3, 4, 9]"
1426,"[0, 1, 4]"
1427,"[0, 1, 2, 3, 4]"
1428,"[0, 5, 6]"
1429,[4]
1430,"[0, 1, 2, 3, 6]"
1431,"[0, 1, 2, 4, 8]"
1432,"[0, 5, 7]"
1433,"[0, 5, 7]"
1434,"[0, 2, 3, 4, 6]"
1435,"[0, 6]"
1436,"[0, 1, 6]"
1437,"[0, 1, 2, 4, 6, 7]"
1438,"[0, 1, 4, 6, 8]"
1439,[0]
1440,"[1, 2, 3, 4, 5, 6]"
1441,[0]
1442,"[0, 3, 5, 6, 7, 9]"
1443,"[0, 3, 4, 5]"
1444,"[0, 3, 4, 5, 6, 9]"
1445,"[0, 1, 2, 3, 6]"
1446,"[0, 3, 4, 5]"
1447,"[1, 2, 3, 4, 5]"
1448,"[2, 3, 5, 7]"
1449,"[0, 1, 6]"
1450,"[0, 1, 6]"
1451,"[0, 1, 2, 3, 6]"
1452,"[0, 5, 7]"
1453,"[1, 3, 4, 5, 7]"
1454,"[1, 2, 4, 5, 7]"
1455,"[2, 4, 5, 6, 7, 9]"
1456,"[2, 4, 5]"
1457,"[2, 3, 4, 5, 6]"
1458,"[2, 5]"
1459,"[2, 3, 6, 7]"
1460,"[1, 2, 4]"
1461,"[1, 2, 3, 4, 5]"
1462,"[1, 4]"
1463,"[0, 5]"
1464,"[0, 2, 4, 5, 6, 9]"
1465,"[0, 2, 5, 6]"
1466,"[6, 9]"
1467,"[0, 1, 2, 5, 6]"
1468,"[2, 6, 9]"
1469,"[2, 6, 9]"
1470,"[2, 3, 6, 7]"
1471,"[2, 3, 6, 9]"
1472,"[0, 5]"
1473,"[1, 2, 4]"
1474,"[0, 2, 5, 6]"
1475,"[2, 6, 8]"
1476,"[1, 2, 4, 5, 6, 7]"
1477,"[0, 3, 6, 8]"
1478,"[0, 8]"
1479,"[1, 3, 4, 6]"
1480,"[2, 6]"
1481,"[0, 1, 2, 3, 6]"
1482,"[5, 6]"
1483,"[2, 6]"
1484,"[2, 6]"
1485,[6]
1486,"[0, 2, 3, 6, 8, 9]"
1487,"[2, 6]"
1488,"[1, 2, 3, 4, 6, 7]"
1489,"[1, 2, 3, 6, 7]"
1490,"[0, 6]"
1491,"[2, 6]"
1492,"[1, 3, 4, 6]"
1493,"[1, 2, 3, 6, 7]"
1494,"[5, 6]"
1495,"[0, 1, 3, 4, 5, 6]"
1496,"[1, 2, 4, 6]"
1497,[6]
1498,"[2, 6]"
1499,"[1, 6]"
1500,"[1, 6]"
1501,"[0, 5, 6]"
1502,"[0, 2, 3, 6]"
1503,"[0, 1, 2, 4, 5, 7, 8, 9]"
1504,"[5, 7]"
1505,"[0, 1, 2, 4, 5, 7, 8, 9]"
1506,"[1, 5, 7]"
1507,"[1, 2, 3, 4, 7]"
1508,"[1, 3, 4, 5, 7]"
1509,"[1, 2, 3, 4, 5]"
1510,"[2, 3, 9]"
1511,[3]
1512,"[1, 2, 3, 4, 5]"
1513,"[1, 2, 3, 4, 5]"
1514,"[1, 6]"
1515,"[0, 2, 5, 6]"
1516,[6]
1517,"[0, 2, 5, 6]"
1518,"[3, 4, 7, 8]"
1519,"[2, 4, 7]"
1520,"[0, 3, 4, 7]"
1521,"[0, 2, 5]"
1522,"[0, 3, 4, 5]"
1523,"[0, 3]"
1524,"[0, 2, 5]"
1525,"[0, 3]"
1526,"[0, 1, 2, 5]"
1527,"[0, 4]"
1528,"[0, 3]"
1529,[3]
1530,"[0, 2, 3, 5, 6, 7, 9]"
1531,"[0, 2, 7]"
1532,"[0, 3]"
1533,"[0, 3]"
1534,"[0, 3, 4, 5]"
1535,"[2, 3]"
1536,"[0, 1, 6, 9]"
1537,"[0, 3, 4, 5]"
1538,"[0, 1, 2, 4, 5, 6]"
1539,"[2, 4, 7]"
1540,"[2, 4, 5]"
1541,"[0, 2, 3, 4, 5, 7]"
1542,"[2, 4, 5]"
1543,"[0, 3, 6]"
1544,"[0, 1, 3, 6]"
1545,"[3, 4]"
1546,"[2, 4, 5]"
1547,"[1, 2, 3, 4, 5, 6]"
1548,"[3, 4]"
1549,"[1, 4, 8]"
