ano_idx,exp_subspace
1268,"[3, 4, 5]"
1269,"[2, 3, 4, 5, 6, 7, 9]"
1270,"[3, 7, 9]"
1271,"[0, 1, 3, 4, 7]"
1272,"[1, 2]"
1273,"[3, 4, 7]"
1274,"[0, 2, 3, 4, 5, 6, 7, 8]"
1275,"[0, 1, 3, 5, 6, 7, 9]"
1276,"[5, 6, 8]"
1277,"[7, 8, 9]"
1278,"[2, 4, 5, 7]"
1279,"[4, 6]"
1280,"[4, 5]"
1281,"[3, 4]"
1282,"[3, 4, 5]"
1283,"[0, 2, 3, 4, 5, 6, 7, 8]"
1284,"[0, 2, 3, 4, 5, 6, 7, 8]"
1285,"[1, 4]"
1286,"[0, 2, 4, 5, 6, 9]"
1287,"[0, 3, 4, 5, 6]"
1288,"[0, 3, 5, 7]"
1289,"[0, 1, 2, 5, 9]"
1290,"[0, 1, 3, 6, 7, 9]"
1291,"[0, 1, 3, 6, 7, 9]"
1292,"[4, 6]"
1293,"[5, 8, 9]"
1294,"[6, 7, 9]"
1295,"[3, 5, 6, 8, 9]"
1296,"[3, 5, 6, 8, 9]"
1297,"[6, 7, 9]"
1298,"[6, 7]"
1299,"[4, 6]"
1300,"[6, 9]"
1301,"[6, 9]"
1302,"[3, 6]"
1303,"[5, 6]"
1304,"[5, 9]"
1305,"[6, 9]"
1306,"[6, 9]"
1307,"[0, 5, 6]"
1308,"[3, 5, 6]"
1309,"[3, 4, 5, 9]"
1310,"[0, 1, 3, 5]"
1311,"[4, 6, 7]"
1312,"[0, 1, 2, 3, 4, 5, 8]"
1313,"[3, 5, 7]"
1314,"[3, 4, 5, 9]"
1315,"[3, 5, 6, 7]"
1316,"[0, 1, 2, 3, 4, 5, 8]"
1317,"[0, 1, 2, 3, 4, 5, 7, 8]"
1318,"[0, 1, 2, 3, 4, 5, 8]"
1319,"[0, 3, 4, 5, 6]"
1320,"[0, 1, 2, 3, 4, 5, 8]"
1321,"[0, 1, 2, 3, 4, 5, 8]"
1322,"[2, 3, 4, 5, 6]"
1323,"[0, 1, 2, 3, 5, 7, 9]"
1324,"[0, 1, 2, 3, 4, 5, 8]"
1325,"[2, 4, 5, 8]"
1326,"[0, 1, 2, 3, 4, 5, 8]"
1327,"[3, 4, 5]"
1328,"[2, 3, 5, 7, 8]"
1329,"[0, 1, 2, 3, 4, 5, 8]"
1330,"[1, 3, 4, 5, 7]"
1331,"[0, 1, 2, 3, 4, 5, 8]"
1332,"[0, 2, 3]"
1333,"[0, 1, 2, 3, 4, 5, 8]"
1334,"[0, 4, 5, 7]"
1335,"[0, 4, 5, 7]"
1336,"[2, 4, 5, 9]"
1337,"[0, 1, 2, 3, 4, 5, 8]"
1338,"[0, 3, 5]"
1339,"[0, 1, 4, 5]"
1340,"[1, 2, 4, 6]"
1341,"[2, 4, 5]"
1342,"[1, 3, 4, 5, 7]"
1343,"[2, 3, 4, 5, 6]"
1344,"[2, 3, 5, 6]"
1345,"[1, 5, 7, 8]"
1346,"[1, 5, 6, 7]"
1347,"[1, 2, 3, 4, 5, 6, 7, 9]"
1348,"[0, 2, 3, 4]"
1349,"[2, 3, 6, 8, 9]"
1350,"[0, 5, 6]"
1351,"[0, 1, 6]"
1352,"[0, 1, 3, 6, 7, 9]"
1353,"[2, 3, 4, 7]"
1354,"[1, 2]"
1355,"[0, 1, 2, 3, 5, 7, 9]"
1356,"[0, 2, 4, 7, 8, 9]"
1357,"[0, 1, 3, 6, 7]"
1358,"[0, 2, 4, 5, 6]"
1359,"[0, 3, 8]"
1360,"[1, 2, 3, 5, 7, 9]"
1361,"[0, 1, 2, 5, 6, 7]"
1362,"[0, 1, 2, 4, 5, 6, 7]"
1363,"[0, 2, 3, 4, 5, 6, 7]"
1364,"[0, 1, 2, 4, 5, 6, 7]"
1365,"[0, 1, 2, 3, 5, 6, 8, 9]"
1366,"[1, 2]"
1367,"[0, 2, 4, 7, 8, 9]"
1368,"[0, 2, 7]"
1369,"[1, 5, 6, 8]"
1370,"[1, 2, 3, 4, 5, 6, 7, 9]"
1371,"[0, 2, 3, 4, 5, 6, 7, 8]"
1372,"[1, 3, 4, 5, 6, 8]"
1373,"[0, 1, 3, 4, 6, 7, 8]"
