ano_idx,exp_subspace
1268,"[2, 6, 7, 9]"
1269,"[1, 4, 5, 6]"
1270,"[1, 3, 4, 6]"
1271,"[0, 1, 3, 6]"
1272,"[1, 3, 4, 6]"
1273,"[1, 3, 4, 6]"
1274,"[1, 3, 6, 8]"
1275,"[0, 1, 6]"
1276,"[0, 1, 6]"
1277,"[0, 1, 6]"
1278,"[0, 3, 4, 5]"
1279,"[1, 3, 4, 7]"
1280,"[0, 3, 4, 5]"
1281,"[0, 3, 4, 9]"
1282,"[0, 3, 4, 5]"
1283,"[4, 5, 6, 8]"
1284,"[0, 1, 6, 7]"
1285,"[1, 5, 7, 8]"
1286,"[1, 3, 4, 5]"
1287,"[4, 6, 8, 9]"
1288,"[0, 1, 3, 8]"
1289,"[0, 2, 6, 9]"
1290,"[0, 1, 5, 6]"
1291,"[0, 1, 5, 6]"
1292,"[3, 4, 6, 9]"
1293,"[0, 1, 3, 6]"
1294,"[3, 4, 6, 9]"
1295,"[3, 4, 6, 9]"
1296,"[3, 4, 6, 9]"
1297,"[3, 4, 6, 9]"
1298,"[0, 1, 4, 5, 6]"
1299,"[0, 1, 3, 6]"
1300,"[0, 1, 5, 6]"
1301,"[0, 1, 5, 6]"
1302,"[0, 3, 6, 8]"
1303,"[3, 4, 6, 9]"
1304,"[5, 6]"
1305,"[0, 1, 3, 6]"
1306,"[0, 1, 5, 6]"
1307,"[0, 2, 3, 7]"
1308,"[0, 2, 3, 7]"
1309,"[0, 3, 4, 6]"
1310,"[2, 3, 5, 9]"
1311,"[0, 3, 6, 7]"
1312,"[1, 3, 7, 8]"
1313,"[2, 5, 7, 8]"
1314,"[5, 7, 8, 9]"
1315,"[1, 5, 7, 8]"
1316,"[0, 5, 7, 8]"
1317,"[0, 4, 8, 9]"
1318,"[4, 5, 8, 9]"
1319,"[4, 5, 8, 9]"
1320,"[0, 6, 7, 8]"
1321,"[1, 2, 4, 8]"
1322,"[4, 5, 8, 9]"
1323,"[1, 5, 8, 9]"
1324,"[5, 6, 7, 8]"
1325,"[0, 5, 7, 8]"
1326,"[1, 3, 5, 8]"
1327,"[1, 3, 8, 9]"
1328,"[4, 5, 8, 9]"
1329,"[1, 3, 6, 8]"
1330,"[1, 2, 7, 9]"
1331,"[1, 4, 6, 8]"
1332,"[1, 5, 8, 9]"
1333,"[1, 3, 6, 9]"
1334,"[2, 4, 8, 9]"
1335,"[0, 4, 6, 9]"
1336,"[1, 5, 8, 9]"
1337,"[1, 4, 5, 7]"
1338,"[0, 4, 6, 9]"
1339,"[0, 4, 6, 9]"
1340,"[0, 3, 6, 8]"
1341,"[2, 3, 4, 6]"
1342,"[6, 7, 8, 9]"
1343,"[1, 7, 8, 9]"
1344,"[3, 7, 8, 9]"
1345,"[0, 1, 2, 4]"
1346,"[0, 1, 6, 7]"
1347,"[4, 6, 7, 9]"
1348,"[0, 3, 6, 7]"
1349,"[2, 7, 8, 9]"
1350,"[0, 5, 8, 9]"
1351,"[0, 5, 6, 9]"
1352,"[0, 3, 6, 7]"
1353,"[1, 2, 8, 9]"
1354,"[0, 1, 6]"
1355,"[1, 2, 4, 8]"
1356,"[4, 5, 8, 9]"
1357,"[0, 3, 4, 5, 7]"
1358,"[4, 5, 7, 9]"
1359,"[0, 3, 4, 5, 8]"
1360,"[0, 1, 2, 5]"
1361,"[1, 4, 5, 6]"
1362,"[1, 3, 6, 8]"
1363,"[0, 3, 5, 6, 7]"
1364,"[1, 3, 6, 8]"
1365,"[1, 2, 8, 9]"
1366,"[1, 4, 8, 9]"
1367,"[0, 1, 5, 9]"
1368,"[1, 3, 6, 7]"
1369,"[0, 3, 5, 6]"
1370,"[1, 5, 6, 9]"
1371,"[1, 5, 6, 9]"
1372,"[1, 3, 6, 7]"
1373,"[1, 6, 7, 8]"
1374,"[1, 6, 7, 8]"
1375,"[0, 1, 5, 9]"
1376,"[1, 2, 3, 4, 5, 6]"
1377,"[0, 1, 3, 5, 9]"
1378,"[0, 3, 6, 9]"
1379,"[0, 1, 3, 4, 9]"
1380,"[1, 2, 3, 4, 6]"
1381,"[0, 4, 5, 6, 9]"
1382,[1]
1383,"[1, 4, 5]"
1384,"[4, 5, 8, 9]"
1385,"[0, 5, 7, 9]"
1386,"[4, 5, 8, 9]"
1387,"[4, 5, 8, 9]"
1388,"[4, 5, 8, 9]"
1389,"[0, 5, 8, 9]"
1390,"[0, 5, 8, 9]"
1391,"[0, 5, 8, 9]"
1392,"[0, 5, 8, 9]"
1393,"[1, 2, 6, 7]"
1394,"[1, 2, 8, 9]"
1395,"[2, 3, 4, 8]"
1396,"[0, 3, 4, 6]"
1397,"[0, 3, 4, 6]"
1398,"[1, 3, 8, 9]"
1399,[4]
1400,"[0, 1, 2, 4]"
1401,"[0, 1, 3, 8]"
1402,"[2, 6, 7, 9]"
1403,"[2, 6, 8, 9]"
1404,"[0, 1, 2, 4, 5]"
1405,"[0, 6, 7]"
1406,"[0, 3, 4, 9]"
1407,"[0, 1, 6]"
