ano_idx,exp_subspace
1268,"[1, 2, 3, 4]"
1269,"[0, 1, 4, 5, 6, 8]"
1270,"[0, 1, 2, 4, 9]"
1271,"[0, 1, 7]"
1272,"[0, 1, 2, 4, 9]"
1273,"[0, 1, 4]"
1274,"[1, 5, 6]"
1275,"[0, 2, 3, 4, 5, 9]"
1276,"[0, 3, 4, 6]"
1277,"[0, 3, 4, 6]"
1278,"[0, 1, 4, 7, 8]"
1279,"[0, 1, 4, 5, 6, 9]"
1280,"[0, 1, 4, 5, 6, 9]"
1281,"[0, 1, 4, 5, 6, 9]"
1282,"[0, 1, 4, 7, 8, 9]"
1283,"[1, 3, 5, 7, 9]"
1284,"[1, 2, 3, 5]"
1285,"[1, 5, 7]"
1286,"[1, 5, 7]"
1287,"[0, 1, 2, 3, 6, 8, 9]"
1288,"[0, 1, 2, 3, 4, 6, 8]"
1289,"[0, 1, 4, 5, 9]"
1290,"[0, 1, 3, 5, 8, 9]"
1291,"[0, 1, 4, 5, 8]"
1292,"[1, 3, 4]"
1293,"[0, 1, 3, 4, 5, 8]"
1294,"[0, 1, 3, 4, 5, 8]"
1295,"[1, 3, 4]"
1296,"[1, 3, 4]"
1297,"[1, 3, 4]"
1298,"[0, 1, 3, 4, 5, 8]"
1299,"[0, 1, 3, 4, 5, 8]"
1300,"[0, 1, 3, 4, 5, 8]"
1301,"[0, 1, 3, 4, 5, 8]"
1302,"[0, 1, 3, 4, 5, 8]"
1303,"[1, 3, 4]"
1304,"[0, 1, 3, 5, 8]"
1305,"[0, 1, 3, 4, 5, 8]"
1306,"[0, 1, 3, 4, 5, 8]"
1307,"[0, 1, 3, 4, 9]"
1308,"[0, 1, 3, 4, 9]"
1309,"[0, 1, 3, 4, 6, 7, 8]"
1310,"[3, 5, 6, 7]"
1311,"[0, 1, 2, 3, 4, 6, 9]"
1312,"[1, 2, 4, 5, 7]"
1313,"[0, 3, 5, 7, 9]"
1314,"[0, 1, 2, 4, 5, 7]"
1315,"[0, 1, 2, 3, 5]"
1316,"[0, 1, 2, 6, 7, 8]"
1317,"[0, 1, 2, 3, 6, 8, 9]"
1318,"[0, 1, 2, 3, 6, 8, 9]"
1319,"[0, 1, 2, 3, 6, 8, 9]"
1320,"[0, 1, 6, 7, 9]"
1321,"[0, 2, 5, 6, 7, 9]"
1322,"[0, 1, 6, 7, 9]"
1323,"[0, 1, 3, 5, 6, 8]"
1324,"[0, 1, 6, 7, 9]"
1325,"[1, 2, 3, 4, 7, 8]"
1326,"[0, 1, 2, 3, 4, 6, 8]"
1327,"[0, 1, 6, 7, 9]"
1328,"[0, 1, 3, 4, 5, 6, 8]"
1329,"[0, 1, 6, 7, 9]"
1330,"[0, 1, 2, 3, 4, 6, 7, 9]"
1331,"[0, 1, 2, 3, 6, 8, 9]"
1332,"[0, 1, 3, 4, 5, 6, 8]"
1333,"[0, 1, 6, 7, 9]"
1334,"[0, 1, 7]"
1335,"[0, 1, 3, 4, 5, 6, 8]"
1336,"[1, 3, 5, 7, 9]"
1337,"[0, 1, 7]"
1338,"[0, 1, 3, 4, 5, 6, 8]"
1339,"[0, 1, 7]"
1340,"[0, 1, 3, 4, 5, 6, 8]"
1341,"[1, 2, 3]"
1342,"[0, 1, 2, 6, 7, 8]"
1343,"[0, 1, 2, 6, 7, 8]"
1344,"[0, 1, 4]"
1345,"[1, 2, 3, 4]"
1346,"[0, 1, 2, 3, 4, 8, 9]"
1347,"[0, 1, 3, 4, 5, 9]"
1348,"[0, 1, 2, 3, 4, 8, 9]"
1349,"[0, 1, 3, 4, 5, 7]"
1350,"[0, 5, 6, 8, 9]"
1351,"[0, 2, 3, 5, 9]"
1352,"[0, 2, 5, 6]"
1353,"[2, 3, 9]"
