ano_idx,exp_subspace
541,"[5, 6, 8]"
623,"[0, 3, 5]"
4920,"[1, 7, 9]"
6108,"[1, 7, 9]"
6329,"[0, 9]"
6331,"[5, 9]"
6334,"[5, 6]"
6336,"[5, 9]"
6338,"[5, 6]"
6427,"[4, 6, 9]"
6446,"[4, 6, 9]"
6472,"[6, 9]"
6529,"[6, 9]"
6609,"[6, 9]"
6641,"[5, 6]"
6717,"[0, 3, 6, 9]"
6719,"[5, 6]"
6734,"[4, 6, 9]"
6774,"[4, 6, 9]"
6820,"[6, 9]"
6870,"[6, 9]"
6882,"[2, 6, 7, 9]"
6899,"[5, 8, 9]"
6903,"[5, 8, 9]"
6971,"[5, 6, 9]"
8296,[6]
8312,"[5, 9]"
8335,"[0, 4, 6, 7, 9]"
8615,"[0, 5, 7, 8, 9]"
8617,"[5, 9]"
8842,"[0, 5, 7, 9]"
8845,"[0, 5, 7, 9]"
8972,"[6, 8, 9]"
9035,"[0, 5, 7, 8, 9]"
9179,"[0, 4, 6, 7, 9]"
9252,"[0, 5, 7, 8, 9]"
9487,"[0, 5, 7, 8, 9]"
9509,"[0, 5, 7, 8, 9]"
10204,"[2, 6, 7, 8, 9]"
10484,"[5, 9]"
10497,"[5, 9]"
10498,[9]
10568,"[0, 5, 7, 8, 9]"
10630,"[0, 5, 7, 8, 9]"
10690,"[5, 6, 7]"
10801,"[5, 6, 7, 8]"
10891,"[5, 6, 7, 8]"
10897,"[5, 6, 7, 8]"
11343,"[5, 6]"
11710,"[5, 6, 7, 8]"
11841,"[0, 5, 7, 8, 9]"
11880,"[0, 5, 7, 8, 9]"
12070,"[0, 5, 7, 8, 9]"
12108,"[0, 5, 7, 8, 9]"
12261,"[0, 5, 7, 8, 9]"
12369,"[0, 5, 7, 8, 9]"
14104,[9]
14170,"[2, 6, 7, 9]"
14197,"[5, 6, 7, 8]"
14211,"[5, 6, 7, 8]"
14338,"[0, 6]"
15166,"[5, 6, 7, 8]"
15204,"[5, 6, 7, 8]"
15225,"[5, 6, 7, 8]"
15451,"[5, 6, 7, 8]"
15476,"[5, 6, 7, 8]"
15506,"[5, 6, 7, 8]"
15539,"[5, 6, 7, 8]"
15566,"[5, 6, 7, 8]"
15736,"[5, 6, 7, 8]"
15751,"[5, 6, 7, 8]"
15781,"[5, 6, 7, 8]"
15810,"[5, 6, 7, 8]"
