ano_idx,exp_subspace
541,"[6, 8]"
623,"[3, 7]"
4920,"[7, 9]"
6108,"[1, 6, 7, 9]"
6329,"[0, 7, 9]"
6331,"[5, 9]"
6334,"[5, 6, 8]"
6336,"[4, 5, 6, 9]"
6338,"[5, 6]"
6427,"[4, 6, 9]"
6446,"[6, 9]"
6472,"[6, 9]"
6529,"[6, 9]"
6609,"[6, 9]"
6641,"[5, 6]"
6717,"[5, 6, 8]"
6719,"[5, 6, 8]"
6734,"[6, 9]"
6774,"[4, 6, 9]"
6820,"[6, 9]"
6870,"[6, 9]"
6882,"[6, 7, 9]"
6899,"[5, 6, 8]"
6903,"[5, 6, 8]"
6971,"[5, 6, 9]"
8296,[6]
8312,"[5, 9]"
8335,"[6, 7]"
8615,"[0, 5, 6, 7, 8, 9]"
8617,"[5, 9]"
8842,"[5, 6, 7]"
8845,"[5, 6, 7]"
8972,"[6, 9]"
9035,"[5, 6]"
9179,"[6, 7]"
9252,"[0, 6, 7, 8]"
9487,"[5, 6, 7, 8]"
9509,"[5, 6, 7, 8]"
10204,"[1, 6, 7, 9]"
10484,"[5, 9]"
10497,"[5, 9]"
10498,[4]
10568,"[5, 6, 7, 8]"
10630,"[5, 6, 7, 8]"
10690,"[5, 6, 7]"
10801,"[5, 6, 7, 8]"
10891,"[5, 6, 7, 8]"
10897,"[5, 6, 8]"
11343,"[5, 6, 8]"
11710,"[5, 6, 8]"
11841,"[5, 6, 8]"
11880,"[5, 6, 8]"
12070,"[5, 6, 8]"
12108,"[5, 6, 8]"
12261,"[5, 6, 8]"
12369,"[5, 6, 8]"
14104,[9]
14170,"[5, 6, 7]"
14197,"[5, 6, 7, 8]"
14211,"[5, 6, 7, 8]"
14338,"[4, 6]"
15166,"[5, 6, 7, 8]"
15204,"[5, 6, 7, 8]"
15225,"[5, 6, 7, 8]"
15451,"[5, 6, 7, 8]"
15476,"[5, 6, 7, 8]"
15506,"[5, 6, 7, 8]"
15539,"[5, 6, 7, 8]"
15566,"[5, 6, 7, 8]"
15736,"[5, 6, 7, 8]"
15751,"[5, 6, 7, 8]"
15781,"[5, 6, 7, 8]"
15810,"[5, 6, 7, 8]"
16415,"[3, 6, 7, 9]"
16780,"[5, 6, 7, 8]"
16863,"[7, 9]"
17317,"[5, 6, 7, 8]"
17366,"[5, 6, 7, 8]"
17407,"[5, 6, 7, 8]"
17453,"[5, 6, 7, 8]"
17480,"[5, 6, 7, 8]"
18466,"[4, 6, 7]"
18472,"[4, 8]"
18773,"[5, 6, 8]"
18809,"[4, 6]"
20198,[3]
23308,"[7, 9]"
23422,"[3, 6, 7, 9]"
26802,[6]
27362,"[5, 9]"
27627,[9]
27738,"[6, 7, 9]"
27749,"[5, 6, 7, 8]"
29687,[3]
30100,"[6, 7, 9]"
30314,"[5, 7, 8, 9]"
30384,"[5, 7, 8, 9]"
30398,"[5, 7, 8, 9]"
30442,"[5, 7, 8, 9]"
30473,"[4, 7, 8, 9]"
30496,"[5, 7, 8, 9]"
31002,"[5, 7, 8, 9]"
33276,"[4, 6]"
39183,[4]
40085,[6]
40525,"[4, 5, 6, 7, 8]"
41395,"[5, 6, 8]"
41569,"[5, 6, 8]"
41943,"[6, 7]"
42007,"[6, 7]"
42009,"[5, 6, 7]"
42473,"[6, 7, 8]"
42528,"[4, 6, 7, 8]"
42549,"[5, 6, 7, 8]"
42590,"[4, 6, 7, 8]"
42609,"[6, 7, 8]"
42635,"[4, 6, 7, 8]"
42674,"[5, 6, 7, 8]"
42696,"[5, 6, 7, 8]"
42700,"[4, 6, 7, 8]"
42741,"[5, 6, 7, 8]"
42756,"[5, 6, 7, 8]"
42769,"[5, 6, 7, 8]"
42784,"[4, 5, 6, 7, 8]"
42856,[7]
42887,"[5, 6, 7, 8]"
42936,"[4, 5, 6, 7, 8]"
42945,"[0, 7, 8, 9]"
42958,"[4, 8]"
43061,"[6, 7, 8]"
43160,"[5, 6, 7, 8]"
43204,"[0, 7, 8, 9]"
43428,"[5, 6, 7, 8]"
43624,[6]
43681,"[0, 7, 8, 9]"
43773,"[6, 7]"
44001,[6]
44091,"[6, 7, 9]"
44223,"[5, 6, 7, 8]"
44270,"[6, 7, 8]"
44556,"[6, 7]"
45203,"[5, 6, 8]"
45732,"[5, 6, 8]"
46909,"[2, 6, 7]"
46918,"[2, 5, 6, 7, 8, 9]"
46998,[6]
47802,"[1, 6, 7, 9]"
48094,"[4, 6, 9]"
50211,"[6, 7]"
50537,"[1, 9]"
52466,"[1, 6, 9]"
52521,"[0, 5]"
52584,[6]
53591,"[6, 9]"
53794,"[6, 9]"
55401,"[0, 6, 7]"
56703,[6]
57248,[4]
57470,"[6, 7]"
57615,"[6, 7]"
58422,[4]
58761,[3]
59539,"[6, 9]"
61787,"[3, 6]"
63421,"[6, 7, 9]"
63634,"[6, 7, 9]"
64329,"[5, 7, 9]"
64411,"[5, 7, 9]"
64460,"[5, 7, 9]"
68067,[2]
68320,"[2, 3, 5, 7]"
68522,"[5, 6]"
68633,[2]
69498,[6]
69980,[9]
70141,[9]
70589,"[1, 6, 9]"
72757,[3]
73784,"[5, 6, 7, 8]"
73857,"[5, 6, 7, 8]"
74496,"[2, 5, 6, 7, 8, 9]"
74507,"[5, 6, 7, 8]"
74794,[2]
75511,"[6, 7]"
76555,"[5, 6, 7, 8]"
76609,"[5, 6, 7, 8]"
76929,"[6, 9]"
77099,"[2, 6, 7]"
77348,"[0, 7, 9]"
77387,"[0, 7, 9]"
77682,"[5, 6, 7, 8]"
79525,"[2, 6, 8]"
79536,"[4, 8]"
79835,"[6, 9]"
79874,"[3, 4]"
79883,"[4, 6]"
80760,"[2, 6, 7]"
81186,"[7, 9]"
81609,[6]
82400,"[5, 6]"
83053,"[6, 9]"
83297,[9]
83417,"[6, 7]"
84543,"[6, 7]"
86155,"[1, 9]"
87354,"[1, 6, 7]"
88258,"[8, 9]"
88307,[9]
88876,"[4, 5, 6, 7]"
88897,"[4, 5, 6, 7, 9]"
89190,"[5, 6, 7, 8]"
91671,[3]
92777,"[3, 6, 7, 9]"
93424,[9]
93486,"[2, 6, 7]"
93788,"[4, 6]"
94218,"[3, 5, 6, 7, 9]"
95534,"[1, 9]"
95597,[9]
96341,[4]
96789,"[0, 7, 9]"
96994,"[5, 6, 9]"
99506,"[4, 6]"
100623,[1]
101509,"[4, 6]"
102441,"[2, 6, 7]"
102442,"[2, 6, 7]"
102443,"[2, 6, 7]"
102444,"[2, 6, 7]"
102445,"[2, 6, 7]"
102446,"[2, 6, 7]"
102782,"[0, 6, 7]"
105178,"[2, 6, 7]"
106679,"[6, 9]"
106998,"[5, 7, 9]"
107067,"[4, 7, 9]"
107637,"[4, 6]"
108258,[3]
108708,"[6, 9]"
111690,"[6, 9]"
112840,[2]
114271,[6]
116139,"[6, 9]"
116404,"[1, 6, 7, 9]"
118308,[4]
119714,"[4, 8]"
119781,"[7, 9]"
120505,"[6, 7, 8]"
120837,"[6, 7, 8, 9]"
122479,"[7, 8, 9]"
123141,"[7, 8, 9]"
123201,"[4, 5, 6, 7]"
123238,"[2, 5, 7, 9]"
123270,"[2, 6, 7]"
123301,"[4, 7, 9]"
124036,"[2, 6, 7]"
124087,"[4, 6]"
124115,[6]
124176,"[0, 7]"
125342,"[7, 8, 9]"
128479,"[1, 6, 9]"
131272,[5]
135718,[9]
137705,[9]
140786,"[5, 6, 7]"
141257,"[1, 6, 7, 9]"
141258,"[1, 6, 7, 9]"
141259,"[1, 5, 6, 7, 8, 9]"
141260,"[1, 5, 6, 7, 8, 9]"
142405,"[6, 7, 8]"
142557,"[1, 6]"
143188,"[5, 6, 7]"
143333,"[1, 5, 6, 7, 8, 9]"
143334,"[1, 5, 6, 7, 8, 9]"
143335,"[1, 5, 6, 7, 8, 9]"
143336,"[1, 5, 6, 7, 8, 9]"
143728,"[4, 6, 8]"
143731,"[4, 6, 8]"
144104,"[4, 6, 8]"
144108,"[0, 7, 8, 9]"
144754,"[5, 9]"
145800,[4]
146790,"[3, 5]"
147548,"[3, 6, 7, 9]"
147605,"[3, 5]"
149145,"[7, 8]"
149357,[9]
149522,"[6, 9]"
149577,"[7, 9]"
149587,"[6, 7]"
149600,"[6, 9]"
149869,[9]
149874,"[1, 6, 9]"
150601,"[6, 7, 9]"
150644,[9]
150647,"[5, 9]"
150654,"[5, 9]"
