ano_idx,exp_subspace
541,[9]
623,[5]
4920,[9]
6108,[7]
6329,"[0, 4, 7, 9]"
6331,"[6, 9]"
6334,"[6, 9]"
6336,[9]
6338,[6]
6427,[6]
6446,[9]
6472,[9]
6529,[6]
6609,[9]
6641,[6]
6717,[6]
6719,[6]
6734,"[6, 9]"
6774,"[6, 9]"
6820,"[6, 9]"
6870,"[6, 9]"
6882,[9]
6899,[6]
6903,[6]
6971,[9]
8296,[6]
8312,[9]
8335,[6]
8615,[6]
8617,[9]
8842,[9]
8845,[9]
8972,[9]
9035,[6]
9179,[6]
9252,[6]
9487,[6]
9509,[6]
10204,[9]
10484,[4]
10497,[9]
10498,[4]
10568,[6]
10630,"[0, 4, 5, 6, 7, 8]"
10690,[7]
10801,[6]
10891,"[6, 7, 8]"
10897,"[5, 6, 8]"
11343,"[5, 6, 8]"
11710,"[5, 6, 8]"
11841,"[5, 6, 8]"
11880,"[5, 6, 8]"
12070,"[5, 6, 8]"
12108,"[5, 6, 8]"
12261,"[5, 6, 8]"
12369,"[5, 6, 8]"
14104,[9]
14170,"[6, 9]"
14197,"[6, 9]"
14211,"[6, 9]"
14338,[4]
15166,"[6, 9]"
15204,"[6, 9]"
15225,"[6, 9]"
15451,[6]
15476,[6]
15506,[6]
15539,[7]
15566,[7]
15736,[7]
15751,[7]
15781,[7]
15810,[7]
16415,[9]
16780,[7]
16863,[7]
17317,[7]
17366,[7]
17407,[7]
17453,[7]
17480,[7]
18466,[6]
18472,[7]
18773,[6]
18809,[4]
20198,[5]
23308,[7]
23422,[7]
26802,[6]
27362,[5]
27627,[9]
27738,[9]
27749,[9]
29687,[2]
30100,[9]
30314,[7]
30384,[7]
30398,[7]
30442,[8]
30473,[7]
30496,[8]
31002,[8]
33276,[4]
39183,[5]
40085,[6]
40525,[7]
41395,[6]
41569,"[5, 6]"
41943,[7]
42007,[7]
42009,[7]
42473,[7]
42528,[7]
42549,[7]
42590,"[1, 4, 6, 7, 8]"
42609,[7]
42635,[7]
42674,[7]
42696,"[1, 4, 6, 7, 8]"
42700,"[1, 4, 6, 7, 8]"
42741,[7]
42756,[7]
42769,[7]
42784,[7]
42856,[7]
42887,"[6, 7, 8]"
42936,[7]
42945,[7]
42958,[7]
43061,[7]
43160,"[6, 7, 8]"
43204,[7]
43428,[7]
43624,[6]
43681,[7]
43773,[7]
44001,[6]
44091,[9]
44223,[7]
44270,"[7, 8]"
44556,[7]
45203,[9]
45732,[9]
46909,"[6, 9]"
46918,"[6, 9]"
46998,[6]
