ano_idx,exp_subspace
541,[6]
623,[3]
4920,[9]
6108,[7]
6329,"[0, 5, 7, 9]"
6331,"[5, 6, 8, 9]"
6334,[6]
6336,"[0, 5, 6, 9]"
6338,[6]
6427,[6]
6446,[9]
6472,[9]
6529,[6]
6609,[9]
6641,[6]
6717,[9]
6719,"[5, 6, 8, 9]"
6734,[6]
6774,[6]
6820,[6]
6870,[6]
6882,[9]
6899,[6]
6903,"[5, 6, 8, 9]"
6971,[9]
8296,[5]
8312,[9]
8335,[6]
8615,[5]
8617,"[5, 6, 9]"
8842,"[5, 6, 7, 9]"
8845,"[5, 6, 7, 9]"
8972,[9]
9035,[5]
9179,[6]
9252,[5]
9487,[5]
9509,[5]
10204,[9]
10484,"[4, 5, 9]"
10497,"[5, 9]"
10498,[4]
10568,[5]
10630,[5]
10690,[5]
10801,[5]
10891,[5]
10897,[5]
11343,[5]
11710,[5]
11841,[5]
11880,[5]
12070,[5]
12108,[5]
12261,[5]
12369,[5]
14104,[9]
14170,"[5, 6, 7, 9]"
14197,[7]
14211,[7]
14338,"[0, 4, 5, 6, 7]"
15166,[7]
15204,[7]
15225,[7]
15451,[7]
15476,[7]
15506,[7]
15539,[7]
15566,[7]
15736,[7]
15751,[7]
15781,[7]
15810,[7]
16415,[9]
16780,[7]
16863,[7]
17317,[7]
17366,[7]
17407,[7]
17453,[7]
17480,[7]
18466,"[4, 6, 7]"
18472,[4]
18773,"[2, 5, 9]"
18809,[4]
20198,"[0, 3, 5]"
23308,"[7, 9]"
23422,"[7, 9]"
26802,[6]
27362,[5]
27627,[9]
27738,[9]
27749,[7]
29687,"[2, 3]"
30100,[9]
30314,[7]
30384,[7]
30398,[7]
30442,[7]
30473,[7]
30496,[7]
31002,[7]
33276,"[4, 6]"
39183,"[2, 4]"
40085,[6]
40525,[4]
41395,[6]
41569,[5]
41943,[7]
42007,[7]
42009,[7]
42473,[7]
42528,[4]
42549,[7]
42590,[4]
42609,[7]
42635,[4]
42674,[7]
42696,[7]
42700,[4]
42741,[7]
42756,[5]
42769,[5]
42784,[4]
42856,[7]
42887,[5]
42936,[5]
42945,[5]
42958,[4]
43061,[7]
43160,[7]
43204,[5]
43428,[5]
43624,[6]
43681,[5]
43773,[7]
44001,[6]
44091,[9]
44223,[7]
44270,[7]
44556,[7]
45203,"[8, 9]"
45732,"[8, 9]"
46909,"[2, 4, 5, 6, 7, 9]"
46918,[7]
46998,[6]
47802,[9]
48094,[9]
50211,[7]
50537,"[1, 3, 5, 8, 9]"
52466,[6]
52521,"[0, 2, 5]"
52584,[6]
53591,[9]
53794,[9]
55401,"[0, 6, 7]"
56703,[6]
57248,[4]
57470,[7]
57615,"[7, 9]"
58422,"[2, 4]"
58761,"[0, 3]"
59539,[9]
61787,"[3, 9]"
63421,[9]
63634,[9]
64329,[9]
64411,[9]
64460,[9]
68067,"[2, 3]"
68320,"[2, 5]"
68522,[6]
68633,"[0, 2]"
69498,[6]
69980,[9]
70141,[9]
70589,[6]
72757,"[1, 3]"
73784,[7]
73857,[7]
74496,[7]
74507,[7]
74794,"[2, 3, 4]"
75511,[7]
76555,"[8, 9]"
76609,[7]
76929,[9]
77099,[6]
77348,[7]
77387,[9]
77682,"[8, 9]"
79525,"[8, 9]"
79536,"[2, 4, 7, 8]"
79835,[9]
79874,"[3, 4]"
79883,"[4, 6]"
80760,"[2, 4, 5, 6, 7, 9]"
81186,"[7, 9]"
81609,[6]
82400,[6]
83053,[6]
83297,[9]
83417,[7]
84543,[7]
86155,[9]
87354,"[1, 6, 7]"
88258,[9]
88307,[9]
88876,"[4, 5, 7]"
88897,[7]
89190,"[3, 5, 6, 7, 9]"
91671,[3]
92777,[7]
93424,[9]
93486,[2]
93788,"[4, 6]"
94218,"[3, 5, 6, 7, 9]"
95534,[1]
95597,[9]
96341,[4]
96789,[9]
96994,[9]
99506,"[4, 6, 9]"
100623,[0]
101509,"[0, 4, 6]"
102441,[7]
102442,[7]
102443,[7]
102444,[7]
102445,[7]
102446,[7]
102782,"[0, 3, 4, 7]"
105178,[7]
106679,[6]
106998,"[7, 9]"
107067,"[4, 7, 9]"
107637,"[4, 6]"
108258,"[0, 3, 5]"
108708,[6]
111690,[6]
112840,"[2, 8]"
114271,[6]
116139,[9]
116404,"[1, 6, 7]"
118308,[4]
119714,[4]
119781,[7]
120505,"[8, 9]"
120837,"[7, 9]"
122479,[7]
123141,[7]
123201,[5]
123238,"[2, 5, 7]"
123270,[6]
123301,"[4, 7]"
124036,"[2, 4, 6, 7]"
124087,[5]
124115,[6]
124176,"[0, 5, 7]"
125342,[7]
128479,[9]
131272,[5]
135718,[9]
137705,[9]
140786,[9]
141257,"[1, 6, 7, 9]"
141258,"[1, 6, 7, 9]"
141259,"[1, 5, 7, 8, 9]"
141260,"[1, 5, 7, 8, 9]"
142405,[7]
142557,"[2, 4]"
143188,"[7, 9]"
143333,"[1, 5, 6, 7, 9]"
143334,"[1, 5, 6, 7, 9]"
143335,"[1, 6, 7, 9]"
143336,"[1, 6, 7, 9]"
143728,"[4, 8, 9]"
143731,"[8, 9]"
144104,"[4, 6, 9]"
144108,"[4, 6, 9]"
144754,[5]
145800,[4]
146790,"[3, 5, 8]"
147548,"[3, 9]"
147605,"[3, 5, 7]"
149145,"[7, 8]"
149357,[9]
149522,[9]
149577,"[7, 9]"
149587,"[7, 9]"
149600,[9]
149869,[9]
149874,[9]
150601,[7]
150644,[7]
150647,[5]
150654,[5]
150660,[7]
150661,[7]
150662,[4]
150663,[4]
150665,[5]
150666,[4]
150667,[4]
150668,[4]
150669,[4]
150677,[5]
150678,[5]
150679,[9]
150680,[9]
150684,[4]
150687,[7]
150692,[5]
150697,[9]
150715,[7]
150925,[7]
151006,[5]
151007,[5]
151008,[5]
151009,[5]
151011,[7]
151103,[3]
151196,"[2, 4, 5, 9]"
151462,[5]
151519,[5]
151730,[9]
151807,[9]
152019,[9]
152223,[5]
152295,[5]
153823,[5]
153835,[7]
153885,[6]
154234,[5]
154286,"[3, 4, 7, 8]"
154371,[5]
154454,[6]
154587,[5]
154633,[6]
154668,"[3, 6, 7]"
154670,[4]
154676,"[3, 5, 6]"
154684,[5]
154693,"[4, 6, 9]"
154694,[6]
154697,"[2, 5, 6, 7]"
154718,"[2, 6, 8, 9]"
154719,"[2, 5, 6]"
154720,"[2, 5, 6]"
154960,[9]
156988,[9]
156990,"[5, 6, 8, 9]"
157585,"[4, 5, 9]"
157868,[4]
157871,[9]
