ano_idx,exp_subspace
541,"[4, 5, 8, 9]"
623,"[3, 5, 6, 7]"
4920,"[2, 4, 7, 9]"
6108,"[4, 9]"
6329,"[0, 1, 5, 7, 9]"
6331,"[2, 3, 5, 6, 7]"
6334,"[0, 1, 4, 6]"
6336,"[0, 4, 5, 6, 9]"
6338,"[7, 8, 9]"
6427,"[0, 5, 6, 9]"
6446,"[0, 3, 4, 6]"
6472,"[0, 3, 6, 7, 8, 9]"
6529,"[5, 8, 9]"
6609,"[5, 6, 8, 9]"
6641,"[0, 3, 6, 7, 9]"
6717,"[0, 1, 9]"
6719,"[3, 5, 6, 9]"
6734,"[0, 4, 5, 6]"
6774,"[1, 3, 6, 9]"
6820,"[0, 4, 5, 6, 9]"
6870,"[0, 4, 5, 6, 9]"
6882,"[2, 3, 4, 6, 7, 8, 9]"
6899,[9]
6903,"[0, 2, 4, 6, 9]"
6971,"[3, 4, 5, 6]"
8296,"[0, 6]"
8312,"[0, 5, 8]"
8335,"[3, 4, 5, 6, 7, 9]"
8615,"[1, 4, 6]"
8617,"[0, 1, 2, 5, 6, 7, 8]"
8842,"[2, 6]"
8845,"[2, 3, 7, 8, 9]"
8972,"[0, 6, 7, 8, 9]"
9035,"[4, 5, 6]"
9179,"[3, 7, 9]"
9252,"[1, 5, 9]"
9487,"[7, 9]"
9509,"[6, 7]"
10204,"[0, 1, 4, 5, 6, 7, 8]"
10484,"[0, 3, 5, 6, 9]"
10497,"[0, 6, 9]"
10498,"[3, 4, 5, 9]"
10568,[5]
10630,"[0, 5]"
10690,"[0, 7, 8, 9]"
10801,"[3, 5]"
10891,"[0, 1, 3, 5, 7]"
10897,"[0, 7, 8]"
11343,"[3, 6, 9]"
11710,"[7, 9]"
11841,"[0, 6, 9]"
11880,[7]
12070,"[6, 7]"
12108,"[3, 9]"
12261,"[2, 5]"
12369,"[2, 6, 7]"
14104,"[3, 4, 6, 9]"
14170,"[5, 6]"
14197,"[5, 6]"
