ano_idx,exp_subspace
541,"[0, 5, 6, 9]"
623,"[0, 3, 7, 9]"
4920,"[4, 6, 7, 9]"
6108,"[3, 4, 6, 7]"
6329,"[0, 1, 5, 7]"
6331,"[0, 2, 5, 6]"
6334,"[0, 1, 5, 6]"
6336,"[0, 2, 5, 6]"
6338,"[0, 2, 5, 6]"
6427,"[1, 4, 5, 9]"
6446,"[0, 3, 6, 9]"
6472,"[0, 5, 6, 9]"
6529,"[0, 1, 6, 9]"
6609,"[0, 6, 7, 9]"
6641,"[0, 2, 5, 6]"
6717,"[2, 3, 5, 6]"
6719,"[0, 2, 5, 6]"
6734,"[0, 1, 6, 9]"
6774,"[1, 4, 5, 6]"
6820,"[0, 1, 6, 9]"
6870,"[0, 1, 6, 9]"
6882,"[2, 5, 6, 7]"
6899,"[0, 2, 5, 6]"
6903,"[0, 2, 5, 6]"
6971,"[2, 3, 6, 9]"
8296,[6]
8312,"[0, 2, 5, 6]"
8335,"[1, 2, 4, 6]"
8615,"[0, 1, 5, 6]"
8617,"[3, 5, 6, 7]"
8842,"[0, 1, 6, 7]"
8845,"[0, 2, 5, 6]"
8972,"[5, 6, 8, 9]"
9035,"[0, 2, 5, 6]"
9179,"[0, 1, 5, 6]"
9252,"[0, 1, 5, 6]"
9487,"[0, 2, 5, 6]"
9509,"[0, 2, 5, 6]"
10204,"[0, 4, 7, 9]"
10484,"[2, 4, 5, 9]"
10497,"[4, 5, 8, 9]"
10498,"[4, 6, 8, 9]"
10568,"[0, 2, 5, 6]"
10630,"[0, 2, 5, 6]"
10690,"[0, 1, 5, 6]"
10801,"[0, 2, 5, 6]"
10891,"[0, 1, 5, 6]"
10897,"[0, 2, 5, 6]"
11343,"[0, 2, 5, 6]"
11710,"[0, 2, 5, 6]"
11841,"[0, 2, 5, 6]"
11880,"[0, 2, 5, 6]"
12070,"[0, 2, 5, 6]"
12108,"[0, 2, 5, 6]"
12261,"[0, 2, 5, 6]"
12369,"[0, 2, 5, 6]"
14104,"[4, 5, 6, 9]"
14170,"[0, 2, 5, 6]"
14197,"[0, 2, 5, 6]"
14211,"[0, 2, 5, 6]"
14338,"[0, 4, 5, 6]"
15166,"[0, 2, 5, 6]"
15204,"[0, 2, 5, 6]"
15225,"[0, 2, 5, 6]"
15451,"[0, 2, 5, 6]"
15476,"[0, 2, 5, 6]"
15506,"[0, 2, 5, 6]"
15539,"[0, 2, 5, 6]"
15566,"[0, 2, 5, 6]"
15736,"[0, 2, 5, 6]"
15751,"[2, 3, 5, 6]"
15781,"[0, 4, 5, 6]"
15810,"[3, 4, 5, 6]"
16415,"[3, 6, 7, 9]"
16780,"[0, 2, 5, 7]"
16863,"[0, 5, 7, 9]"
17317,"[0, 2, 5, 7]"
17366,"[0, 2, 5, 7]"
17407,"[0, 2, 5, 7]"
17453,"[0, 2, 5, 7]"
17480,"[0, 2, 5, 7]"
18466,"[0, 4, 5, 6]"
18472,"[2, 4, 5, 7]"
18773,"[0, 1, 5, 6]"
18809,"[2, 4, 6, 9]"
20198,"[3, 5, 6, 7]"
23308,"[5, 7, 8, 9]"
23422,"[3, 5, 7, 9]"
26802,"[0, 5, 6, 9]"
27362,"[3, 5, 6, 9]"
27627,"[0, 6, 8, 9]"
27738,"[1, 6, 7, 9]"
27749,"[2, 3, 5, 6]"
29687,"[1, 2, 3, 6]"
30100,"[1, 6, 7, 9]"
30314,"[0, 2, 5, 7]"
30384,"[2, 4, 5, 6]"
30398,"[0, 2, 5, 7]"
30442,"[0, 2, 5, 7]"
30473,"[0, 2, 4, 7]"
30496,"[2, 3, 5, 7]"
31002,"[0, 2, 5, 7]"
33276,"[1, 4, 5, 9]"
39183,"[3, 4, 5, 8]"
40085,"[5, 6, 7, 9]"
40525,"[2, 4, 5, 6]"
41395,"[0, 2, 5, 6]"
41569,"[0, 2, 5, 6]"
41943,"[0, 4, 5, 7]"
42007,"[0, 5, 6, 7]"
42009,"[2, 5, 6, 7]"
42473,"[0, 2, 5, 6]"
42528,"[0, 2, 4, 5]"
42549,"[0, 2, 5, 6]"
42590,"[1, 2, 4, 6]"
42609,"[0, 2, 5, 6]"
42635,"[0, 2, 4, 5]"
42674,"[0, 1, 4, 6]"
42696,"[0, 1, 4, 6]"
42700,"[1, 2, 4, 6]"
42741,"[0, 1, 5, 6]"
42756,"[0, 1, 4, 6]"
42769,"[0, 2, 5, 6]"
42784,"[0, 2, 4, 5]"
42856,"[0, 1, 5, 6]"
42887,"[1, 2, 4, 6]"
42936,"[0, 2, 4, 5]"
42945,"[0, 2, 4, 5]"
42958,"[0, 3, 4, 5]"
43061,"[0, 2, 5, 6]"
43160,"[1, 2, 5, 6]"
43204,"[0, 1, 4, 5]"
43428,"[0, 2, 5, 6]"
43624,"[0, 5, 6, 9]"
43681,"[1, 2, 4, 5]"
43773,"[0, 5, 6, 7]"
44001,"[2, 7, 8, 9]"
44091,"[0, 5, 6, 9]"
44223,"[1, 2, 4, 6]"
44270,"[0, 4, 5, 6]"
44556,"[0, 2, 7, 9]"
45203,"[2, 5, 6, 8]"
45732,"[3, 4, 5, 8]"
46909,"[2, 4, 5, 6]"
46918,"[0, 3, 6, 7]"
46998,"[1, 6, 7, 9]"
47802,"[3, 6, 7, 9]"
48094,"[4, 5, 6, 9]"
50211,"[0, 5, 6, 9]"
50537,"[1, 2, 8, 9]"
52466,"[2, 6, 8, 9]"
52521,"[0, 2, 8, 9]"
52584,"[2, 6, 8, 9]"
53591,"[2, 6, 8, 9]"
53794,"[2, 4, 6, 9]"
55401,"[2, 6, 7, 8]"
56703,"[1, 3, 5, 6]"
