ano_idx,exp_subspace
1093,"[3, 5]"
1094,"[0, 1, 2, 3]"
1095,"[2, 4, 5]"
1096,[4]
1097,[4]
1098,"[1, 2, 4]"
1099,"[2, 4, 5]"
1100,"[0, 2]"
1101,"[2, 4, 5]"
1102,"[0, 2, 4]"
1103,"[3, 5]"
1104,"[1, 3]"
1105,"[2, 4, 5]"
1106,"[2, 4, 5]"
1107,"[2, 4, 5]"
1108,"[2, 4, 5]"
1109,"[2, 4, 5]"
1110,"[3, 5]"
1111,"[2, 4, 5]"
1112,"[3, 5]"
1113,"[3, 5]"
1114,"[2, 4, 5]"
1115,"[2, 4, 5]"
1116,"[2, 4, 5]"
1117,"[2, 4, 5]"
1118,"[2, 4, 5]"
2212,"[2, 4, 5]"
2213,"[2, 4, 5]"
2214,"[3, 5]"
2215,"[2, 4, 5]"
2216,"[2, 4, 5]"
2217,"[2, 4, 5]"
2218,"[2, 4, 5]"
2219,[3]
2220,[4]
2221,[4]
2222,"[3, 5]"
2223,"[2, 4, 5]"
2224,[0]
2225,[3]
2226,"[2, 4, 5]"
2227,"[2, 4, 5]"
2228,"[2, 4, 5]"
2229,"[3, 5]"
2230,"[1, 2, 3, 5]"
2231,"[2, 4, 5]"
2232,"[3, 5]"
2233,[4]
2234,"[2, 4, 5]"
2235,"[2, 4, 5]"
2236,"[2, 4, 5]"
2237,"[3, 5]"
3331,"[0, 1, 2]"
3332,"[2, 4, 5]"
3333,[4]
3334,"[2, 4, 5]"
3335,[3]
3336,"[0, 1, 2]"
3337,"[1, 2, 4]"
3338,"[0, 2]"
3339,"[0, 2, 3, 5]"
3340,"[2, 4, 5]"
3341,"[2, 4, 5]"
3342,"[0, 2, 4]"
3343,"[2, 4, 5]"
3344,"[2, 4, 5]"
3345,"[2, 4, 5]"
3346,"[3, 5]"
3347,"[2, 4, 5]"
3348,"[2, 4, 5]"
3349,"[3, 5]"
3350,"[2, 4, 5]"
3351,"[2, 4, 5]"
3352,[3]
3353,"[3, 5]"
3354,[0]
3355,"[2, 4, 5]"
3356,"[0, 2, 3, 5]"
4449,"[0, 1, 2]"
4450,"[2, 4, 5]"
4451,"[3, 5]"
4452,"[2, 4, 5]"
4453,"[0, 2, 5]"
4454,"[1, 2, 4, 5]"
4455,"[2, 4, 5]"
4456,"[2, 4, 5]"
4457,"[3, 5]"
4458,"[2, 4, 5]"
4459,"[1, 2, 4, 5]"
4460,"[2, 4, 5]"
4461,"[2, 4, 5]"
4462,"[3, 5]"
4463,"[2, 4, 5]"
4464,"[2, 4, 5]"
4465,"[3, 5]"
4466,"[3, 5]"
4467,"[2, 4, 5]"
4468,"[2, 4, 5]"
4469,[4]
4470,"[0, 2, 3]"
4471,"[2, 4, 5]"
4472,"[2, 3, 5]"
4473,"[2, 4, 5]"
4474,"[2, 4, 5]"
5567,"[2, 4, 5]"
5568,"[0, 2, 3, 5]"
5569,"[0, 2]"
5570,"[0, 1, 2, 3]"
5571,"[2, 4, 5]"
5572,"[2, 4, 5]"
5573,"[3, 5]"
5574,[4]
5575,"[0, 1, 2]"
5576,"[2, 4, 5]"
5577,"[2, 4, 5]"
5578,"[2, 4, 5]"
5579,"[2, 4, 5]"
5580,"[3, 5]"
5581,"[0, 1, 2]"
5582,"[2, 4, 5]"
