ano_idx,exp_subspace
1093,"[1, 2, 3, 5]"
1094,"[0, 1, 3]"
1095,"[4, 5]"
1096,[4]
1097,[4]
1098,"[1, 2, 4]"
1099,"[4, 5]"
1100,"[0, 2]"
1101,"[4, 5]"
1102,"[0, 2, 4]"
1103,"[3, 5]"
1104,"[1, 3]"
1105,"[2, 4, 5]"
1106,"[4, 5]"
1107,"[4, 5]"
1108,"[2, 4, 5]"
1109,"[2, 4, 5]"
1110,"[3, 5]"
1111,"[4, 5]"
1112,"[3, 5]"
1113,"[3, 5]"
1114,"[4, 5]"
1115,"[2, 4, 5]"
1116,"[4, 5]"
1117,"[2, 4, 5]"
1118,"[4, 5]"
2212,"[2, 4, 5]"
2213,"[4, 5]"
2214,"[3, 5]"
2215,"[2, 4, 5]"
2216,"[2, 4, 5]"
2217,"[2, 4, 5]"
2218,"[2, 4, 5]"
2219,[3]
2220,[4]
2221,[4]
2222,"[3, 5]"
2223,"[0, 2, 5]"
2224,"[0, 1, 2]"
2225,[3]
2226,"[2, 4, 5]"
2227,"[2, 4, 5]"
2228,"[2, 4, 5]"
2229,"[3, 5]"
2230,"[1, 3, 5]"
2231,[4]
2232,"[3, 5]"
2233,[4]
2234,"[4, 5]"
2235,"[4, 5]"
2236,"[2, 4, 5]"
2237,"[3, 5]"
3331,"[0, 1, 2]"
3332,"[2, 4, 5]"
3333,[4]
3334,"[4, 5]"
3335,[3]
3336,"[0, 1, 2]"
3337,"[1, 2, 4]"
3338,"[0, 2]"
3339,"[0, 1, 2, 3]"
3340,"[4, 5]"
3341,"[4, 5]"
3342,"[0, 2, 4]"
3343,"[0, 2, 5]"
3344,"[4, 5]"
3345,"[2, 4, 5]"
3346,"[3, 5]"
3347,"[2, 4, 5]"
3348,"[2, 4, 5]"
3349,"[3, 5]"
3350,"[2, 4, 5]"
3351,[4]
3352,[3]
3353,"[3, 5]"
3354,"[0, 1, 2]"
3355,"[2, 4, 5]"
3356,"[0, 3, 5]"
4449,"[0, 1, 2]"
4450,"[4, 5]"
4451,"[3, 5]"
4452,"[2, 4, 5]"
4453,"[0, 2, 5]"
4454,"[1, 2, 4, 5]"
4455,"[2, 4, 5]"
4456,"[4, 5]"
4457,"[3, 5]"
4458,"[2, 4, 5]"
4459,"[1, 4, 5]"
4460,"[2, 4, 5]"
4461,"[2, 4, 5]"
4462,"[3, 5]"
4463,"[2, 4, 5]"
4464,[4]
4465,"[3, 5]"
4466,"[3, 5]"
4467,"[2, 4, 5]"
4468,"[4, 5]"
4469,[4]
4470,"[0, 1, 3]"
4471,"[2, 4, 5]"
4472,"[2, 3, 5]"
4473,"[4, 5]"
4474,"[2, 4, 5]"
5567,"[2, 4, 5]"
5568,"[0, 3, 5]"
5569,"[0, 2]"
5570,"[0, 1, 3]"
5571,"[4, 5]"
5572,"[4, 5]"
5573,"[3, 5]"
5574,[4]
5575,"[1, 2]"
5576,"[2, 4, 5]"
5577,"[4, 5]"
5578,"[2, 4, 5]"
5579,"[4, 5]"
5580,"[3, 5]"
5581,"[0, 1]"
5582,"[4, 5]"
5583,[5]
5584,"[4, 5]"
5585,"[4, 5]"
5586,"[4, 5]"
5587,"[4, 5]"
5588,"[4, 5]"
5589,"[2, 4, 5]"
5590,"[0, 2]"
5591,"[4, 5]"
5592,"[3, 5]"
6685,"[3, 5]"
6686,[3]
6687,[4]
6688,"[4, 5]"
6689,"[2, 4, 5]"
6690,"[3, 5]"
6691,"[0, 1, 2, 3]"
6692,"[4, 5]"
6693,"[4, 5]"
6694,"[3, 5]"
6695,"[3, 5]"
6696,"[2, 4, 5]"
6697,"[0, 1, 3]"
6698,"[0, 1]"
6699,"[4, 5]"
6700,"[2, 4, 5]"
6701,"[4, 5]"
6702,"[4, 5]"
6703,"[3, 5]"
6704,"[2, 4, 5]"
6705,"[3, 5]"
6706,"[4, 5]"
6707,"[0, 1, 2, 3]"
6708,"[0, 5]"
6709,"[0, 2, 5]"
6710,"[0, 1, 2, 3]"
7803,"[0, 1, 2]"
7804,"[4, 5]"
7805,"[1, 2]"
7806,"[4, 5]"
7807,"[4, 5]"
7808,[3]
7809,"[4, 5]"
7810,"[0, 2, 4]"
7811,"[4, 5]"
7812,"[1, 2, 4]"
7813,[3]
7814,"[2, 4, 5]"
7815,[4]
7816,"[2, 4, 5]"
7817,"[0, 1, 2]"
7818,"[0, 1, 3]"
7819,"[2, 4, 5]"
7820,[3]
7821,"[2, 4, 5]"
7822,[4]
7823,"[3, 5]"
7824,[3]
7825,"[2, 4, 5]"
7826,"[1, 2, 4, 5]"
7827,"[4, 5]"
7828,"[0, 1, 2]"
8921,"[0, 1, 2, 3]"
8922,"[2, 4, 5]"
8923,"[4, 5]"
8924,"[2, 4, 5]"
8925,"[3, 5]"
8926,"[2, 4, 5]"
8927,"[2, 4, 5]"
8928,"[0, 2]"
8929,"[0, 1, 3]"
8930,"[3, 5]"
8931,"[4, 5]"
8932,"[2, 4, 5]"
8933,"[3, 5]"
8934,"[0, 1, 2]"
8935,"[2, 4, 5]"
8936,[3]
8937,"[2, 4, 5]"
8938,"[4, 5]"
8939,"[2, 4, 5]"
8940,"[4, 5]"
8941,[4]
8942,"[0, 2, 4]"
8943,"[1, 2, 5]"
8944,[4]
8945,"[4, 5]"
8946,"[3, 5]"
10039,"[4, 5]"
10040,"[4, 5]"
10041,"[4, 5]"
10042,"[4, 5]"
10043,"[4, 5]"
10044,"[3, 5]"
10045,"[3, 5]"
10046,"[0, 1, 2, 4]"
10047,"[2, 4, 5]"
10048,"[0, 1, 2]"
10049,"[1, 3, 5]"
10050,"[4, 5]"
10051,"[2, 4, 5]"
10052,"[2, 4, 5]"
10053,"[2, 4, 5]"
10054,"[4, 5]"
10055,[4]
10056,"[3, 5]"
10057,"[4, 5]"
10058,"[4, 5]"
10059,"[0, 2, 4]"
10060,"[3, 5]"
10061,"[0, 1, 2]"
10062,"[0, 2, 4]"
10063,"[2, 4, 5]"
10064,"[2, 4, 5]"
11157,"[2, 4, 5]"
11158,"[1, 4]"
11159,[3]
11160,"[4, 5]"
11161,"[0, 1, 2]"
11162,"[2, 4, 5]"
11163,"[4, 5]"
11164,"[4, 5]"
11165,"[2, 4, 5]"
11166,"[3, 5]"
11167,"[4, 5]"
11168,"[0, 2, 4]"
11169,"[3, 5]"
