ano_idx,exp_subspace
1093,[5]
1094,[0]
1095,"[2, 4]"
1096,[4]
1097,[4]
1098,"[2, 4]"
1099,"[2, 4]"
1100,[0]
1101,[5]
1102,[0]
1103,[5]
1104,[1]
1105,[5]
1106,"[2, 4]"
1107,"[2, 4]"
1108,"[2, 4]"
1109,"[2, 4]"
1110,[3]
1111,"[2, 4]"
1112,"[2, 4]"
1113,[3]
1114,"[2, 4]"
1115,"[2, 4]"
1116,"[2, 4]"
1117,"[2, 4]"
1118,"[2, 4]"
2212,[5]
2213,"[2, 4]"
2214,"[3, 5]"
2215,[5]
2216,[5]
2217,"[2, 4]"
2218,"[2, 4]"
2219,[3]
2220,"[2, 4]"
2221,"[2, 4]"
2222,[3]
2223,[5]
2224,[0]
2225,[3]
2226,"[2, 4]"
2227,[5]
2228,[5]
2229,"[2, 4]"
2230,"[1, 3, 5]"
2231,"[2, 4]"
2232,"[3, 5]"
2233,"[2, 4]"
2234,"[2, 4]"
2235,[5]
2236,"[2, 4]"
2237,[3]
3331,[0]
3332,"[2, 4]"
3333,"[2, 4]"
3334,[5]
3335,[4]
3336,[0]
3337,[4]
3338,[0]
3339,[3]
3340,[5]
3341,"[2, 4]"
3342,"[2, 4]"
3343,[5]
3344,"[2, 4]"
3345,"[2, 4]"
3346,[3]
3347,"[2, 4]"
3348,"[2, 4]"
3349,[3]
3350,[5]
3351,"[2, 4]"
3352,[3]
3353,"[3, 5]"
3354,[0]
3355,[5]
3356,[3]
4449,[1]
4450,"[2, 4]"
4451,[5]
4452,"[2, 4]"
4453,[5]
4454,"[2, 4]"
4455,"[2, 4]"
4456,"[2, 4]"
4457,"[3, 5]"
4458,"[2, 4]"
4459,"[2, 4]"
4460,[3]
4461,"[2, 4]"
4462,"[3, 5]"
4463,[5]
4464,"[2, 4]"
4465,"[3, 5]"
4466,[3]
4467,"[2, 4]"
4468,"[2, 4]"
4469,[4]
4470,[3]
4471,"[2, 4]"
4472,"[3, 5]"
4473,"[2, 4]"
4474,"[2, 4]"
5567,"[2, 4]"
5568,[3]
5569,[0]
5570,"[0, 5]"
5571,[5]
5572,"[2, 4]"
5573,"[2, 4]"
5574,"[2, 4]"
5575,[0]
5576,"[2, 4]"
5577,"[2, 4]"
5578,[5]
5579,"[2, 4]"
5580,[5]
5581,[1]
5582,"[2, 4]"
5583,[5]
5584,"[2, 4]"
5585,"[2, 4]"
5586,"[2, 4]"
5587,"[2, 4]"
5588,"[3, 5]"
5589,"[2, 4]"
5590,[0]
5591,"[2, 4]"
5592,"[3, 5]"
6685,"[3, 5]"
6686,[3]
6687,"[2, 4]"
6688,"[2, 4]"
6689,"[2, 4]"
6690,[5]
6691,[3]
6692,"[2, 4]"
6693,"[2, 4]"
6694,[5]
6695,[3]
6696,[5]
6697,[3]
6698,[1]
6699,"[2, 4]"
6700,"[2, 4]"
6701,"[2, 4]"
6702,"[2, 4]"
6703,[3]
6704,"[2, 4]"
6705,"[3, 5]"
6706,"[2, 4]"
6707,[3]
6708,[3]
6709,[5]
6710,[3]
7803,[1]
7804,"[2, 4]"
7805,[1]
7806,"[2, 4]"
7807,"[2, 4]"
7808,[3]
7809,"[2, 4]"
7810,"[2, 4]"
7811,"[3, 5]"
7812,"[2, 4]"
7813,[3]
7814,"[2, 4]"
7815,"[2, 4]"
7816,"[2, 4]"
7817,[0]
7818,[0]
7819,"[2, 4]"
7820,[3]
7821,"[2, 4]"
7822,[4]
7823,"[3, 5]"
7824,[3]
7825,"[2, 4]"
7826,[5]
7827,"[2, 4]"
7828,[0]
8921,[3]
8922,"[2, 4]"
8923,"[2, 4]"
8924,[5]
8925,[3]
8926,"[2, 4]"
8927,"[2, 4]"
8928,[0]
8929,[3]
8930,[3]
8931,[5]
8932,"[2, 4]"
8933,"[3, 5]"
8934,[0]
8935,"[2, 4]"
8936,[3]
8937,"[2, 4]"
8938,"[3, 5]"
8939,"[2, 4]"
8940,"[2, 4]"
8941,"[2, 4]"
8942,"[2, 4]"
8943,[5]
8944,[4]
8945,[5]
8946,[3]
10039,"[3, 5]"
10040,"[2, 4]"
10041,"[3, 5]"
10042,"[2, 4]"
10043,"[2, 4]"
10044,"[1, 3, 5]"
10045,"[3, 5]"
10046,"[2, 4]"
10047,"[2, 4]"
10048,[0]
10049,[1]
10050,"[2, 4]"
10051,"[2, 4]"
10052,"[2, 4]"
10053,"[2, 4]"
10054,[5]
10055,"[2, 4]"
10056,"[3, 5]"
10057,"[3, 5]"
10058,[3]
10059,"[2, 4]"
10060,[3]
10061,[0]
10062,"[2, 4]"
10063,"[2, 4]"
10064,"[2, 4]"
11157,[5]
11158,[1]
11159,[3]
11160,"[2, 4]"
11161,[0]
11162,"[2, 4]"
11163,"[2, 4]"
11164,"[2, 4]"
11165,"[2, 4]"
11166,[3]
11167,"[4, 5]"
11168,"[2, 4]"
11169,"[3, 5]"
11170,"[2, 4]"
11171,"[2, 4]"
11172,"[2, 4]"
11173,[1]
11174,[3]
11175,"[2, 4]"
11176,[3]
11177,[1]
11178,"[2, 4]"
11179,"[2, 4]"
11180,"[1, 4]"
11181,[3]
11182,"[2, 4]"
