ano_idx,exp_subspace
1093,"[2, 5]"
1094,"[0, 1]"
1095,[4]
1096,[4]
1097,[4]
1098,"[1, 4]"
1099,"[1, 4]"
1100,[0]
1101,[5]
1102,[0]
1103,[5]
1104,"[1, 3]"
1105,"[2, 4]"
1106,[4]
1107,[4]
1108,[4]
1109,[4]
1110,"[1, 3]"
1111,[4]
1112,"[1, 3, 4]"
1113,"[1, 3, 4]"
1114,"[1, 4]"
1115,"[0, 4]"
1116,"[2, 4, 5]"
1117,[4]
1118,[4]
2212,[4]
2213,[4]
2214,"[3, 5]"
2215,[4]
2216,[4]
2217,[4]
2218,"[2, 4]"
2219,[3]
2220,"[2, 4]"
2221,"[4, 5]"
2222,[3]
2223,"[2, 4]"
2224,"[3, 5]"
2225,[3]
2226,[4]
2227,"[2, 4]"
2228,"[1, 4]"
2229,"[1, 3, 4]"
2230,"[1, 5]"
2231,[4]
2232,[5]
2233,[4]
2234,[4]
2235,"[1, 4]"
2236,[4]
2237,"[1, 3, 4]"
3331,"[1, 5]"
3332,[4]
3333,"[2, 4]"
3334,[4]
3335,[3]
3336,[0]
3337,"[1, 4]"
3338,"[1, 5]"
3339,"[0, 3]"
3340,"[1, 2, 4, 5]"
3341,[4]
3342,"[0, 4]"
3343,[5]
3344,[4]
3345,[4]
3346,[3]
3347,[4]
3348,[4]
3349,"[1, 3]"
3350,[4]
3351,[4]
3352,[3]
3353,"[3, 5]"
3354,"[3, 5]"
3355,[5]
3356,[3]
4449,"[1, 5]"
4450,[4]
4451,[5]
4452,"[1, 4]"
4453,"[2, 3]"
4454,"[1, 4]"
4455,[4]
4456,[4]
4457,"[2, 3, 4]"
4458,[4]
4459,"[1, 4]"
4460,"[1, 4]"
4461,[4]
4462,[5]
4463,[5]
4464,"[2, 4]"
4465,[5]
4466,"[1, 3]"
4467,[4]
4468,[4]
4469,"[2, 4]"
4470,[3]
4471,[4]
4472,"[3, 5]"
4473,"[2, 4, 5]"
4474,[4]
5567,[4]
5568,"[1, 3]"
5569,"[0, 5]"
5570,"[0, 1, 2, 3]"
5571,[4]
5572,[4]
5573,"[1, 3, 4]"
5574,[4]
5575,"[1, 5]"
5576,[4]
5577,[4]
5578,[4]
5579,[4]
5580,[5]
5581,"[1, 5]"
5582,[4]
5583,[5]
5584,[4]
5585,[4]
5586,[4]
5587,[4]
5588,"[0, 4, 5]"
5589,[4]
5590,"[0, 5]"
5591,[4]
5592,[5]
6685,[5]
6686,[3]
6687,[4]
6688,[4]
6689,"[2, 4]"
6690,[5]
6691,"[0, 2, 3, 5]"
6692,[5]
6693,"[1, 4]"
6694,[5]
6695,"[1, 3]"
6696,"[2, 4]"
6697,[3]
6698,"[1, 5]"
6699,[4]
6700,"[1, 4]"
6701,[4]
6702,[4]
6703,[3]
6704,[4]
6705,[5]
6706,[4]
6707,[3]
6708,[4]
6709,"[2, 5]"
6710,[3]
7803,"[1, 5]"
7804,"[4, 5]"
7805,"[1, 5]"
7806,[4]
7807,[4]
7808,[3]
7809,"[4, 5]"
7810,"[0, 4]"
7811,[5]
7812,"[1, 4]"
7813,[3]
7814,[4]
7815,"[2, 4]"
7816,[4]
7817,"[3, 5]"
7818,[0]
7819,[4]
7820,[3]
7821,[4]
7822,"[2, 4]"
7823,"[3, 5]"
7824,[3]
7825,"[1, 4]"
7826,"[1, 4]"
7827,"[1, 3, 4]"
7828,"[3, 5]"
8921,[3]
8922,"[4, 5]"
8923,[5]
8924,[5]
8925,"[3, 5]"
8926,"[2, 4]"
8927,[4]
8928,"[1, 5]"
8929,[3]
8930,"[3, 5]"
8931,[5]
8932,[4]
8933,[5]
8934,"[3, 5]"
8935,"[2, 3, 4]"
8936,[3]
8937,[4]
8938,[5]
8939,[4]
8940,[4]
8941,"[1, 4]"
8942,"[2, 4]"
8943,"[1, 5]"
8944,"[2, 4]"
8945,"[2, 4, 5]"
8946,[3]
10039,[4]
10040,[4]
10041,[5]
10042,[4]
10043,[4]
10044,[5]
10045,"[2, 3, 4, 5]"
10046,"[1, 4]"
10047,"[1, 4]"
10048,"[1, 5]"
10049,[1]
10050,[4]
10051,"[4, 5]"
10052,[4]
10053,[4]
10054,[5]
10055,[4]
10056,"[1, 5]"
10057,[5]
10058,[4]
10059,"[0, 4]"
10060,"[1, 3, 4]"
10061,"[3, 5]"
10062,"[0, 4]"
10063,"[2, 4, 5]"
10064,[4]
11157,[5]
11158,[1]
11159,[3]
11160,[4]
11161,"[3, 5]"
11162,"[2, 4, 5]"
11163,"[4, 5]"
11164,[4]
11165,"[2, 4]"
11166,[3]
11167,"[4, 5]"
11168,"[0, 4]"
11169,"[3, 5]"
11170,"[4, 5]"
11171,[4]
11172,"[1, 4]"
11173,"[0, 3]"
11174,[3]
11175,[4]
11176,[3]
11177,"[1, 5]"
11178,[4]
11179,[4]
11180,"[1, 4]"
11181,"[1, 3]"
11182,[4]
