ano_idx,exp_subspace
1093,"[0, 2, 5]"
1094,"[0, 1, 2, 4]"
1095,[4]
1096,"[1, 3, 4, 5]"
1097,"[0, 2, 4, 5]"
1098,"[0, 4, 5]"
1099,"[0, 1, 3, 4]"
1100,[0]
1101,"[0, 4, 5]"
1102,"[0, 1, 4]"
1103,"[3, 5]"
1104,"[1, 3]"
1105,"[2, 3, 4]"
1106,"[0, 4, 5]"
1107,[4]
1108,"[0, 4, 5]"
1109,"[0, 4, 5]"
1110,"[3, 5]"
1111,"[4, 5]"
1112,"[3, 4, 5]"
1113,"[4, 5]"
1114,"[3, 5]"
1115,"[0, 4, 5]"
1116,"[3, 5]"
1117,"[1, 4, 5]"
1118,"[0, 4, 5]"
2212,"[4, 5]"
2213,"[0, 4, 5]"
2214,"[3, 5]"
2215,"[3, 5]"
2216,"[3, 5]"
2217,"[1, 3, 4]"
2218,"[0, 4, 5]"
2219,"[1, 3, 5]"
2220,"[0, 4, 5]"
2221,"[0, 3, 4, 5]"
2222,"[3, 4, 5]"
2223,"[2, 3, 4, 5]"
2224,[0]
2225,"[3, 4, 5]"
2226,"[0, 4, 5]"
2227,"[2, 4, 5]"
2228,"[3, 5]"
2229,"[3, 5]"
2230,"[1, 5]"
2231,"[0, 4, 5]"
2232,"[3, 5]"
2233,"[3, 5]"
2234,"[0, 4, 5]"
2235,"[3, 5]"
2236,"[0, 4, 5]"
2237,"[3, 5]"
3331,"[0, 1, 2]"
3332,[4]
3333,"[0, 1, 2, 3, 4]"
3334,"[1, 5]"
3335,"[0, 1]"
3336,"[0, 1, 3]"
3337,"[0, 1, 3, 4, 5]"
3338,"[0, 1]"
3339,"[3, 5]"
3340,"[3, 4, 5]"
3341,"[1, 3, 4]"
3342,"[0, 4, 5]"
3343,"[0, 4, 5]"
3344,"[3, 5]"
3345,[4]
3346,"[3, 5]"
3347,"[0, 4, 5]"
3348,"[1, 3, 4]"
3349,"[3, 5]"
3350,"[3, 5]"
3351,"[0, 4, 5]"
3352,"[1, 3]"
3353,"[3, 4, 5]"
3354,[0]
3355,"[1, 4, 5]"
3356,"[1, 3, 5]"
4449,"[0, 1, 2]"
4450,"[0, 4, 5]"
4451,"[0, 4, 5]"
4452,"[0, 4, 5]"
4453,"[3, 5]"
4454,"[1, 3, 4]"
4455,"[0, 4, 5]"
4456,"[3, 5]"
4457,"[3, 5]"
4458,"[0, 4, 5]"
4459,"[1, 3, 4]"
4460,"[3, 5]"
4461,"[3, 5]"
4462,"[3, 5]"
4463,"[3, 5]"
4464,"[0, 4, 5]"
4465,"[3, 5]"
4466,"[3, 5]"
4467,"[0, 4, 5]"
4468,"[0, 4, 5]"
4469,"[0, 4, 5]"
4470,"[0, 4, 5]"
4471,"[3, 4]"
4472,"[3, 5]"
4473,[4]
4474,"[0, 4, 5]"
5567,"[0, 4, 5]"
5568,"[3, 5]"
5569,"[0, 1, 2]"
5570,"[0, 2, 4]"
5571,"[3, 5]"
5572,"[0, 4, 5]"
5573,"[3, 5]"
5574,"[0, 4, 5]"
5575,"[0, 1, 2]"
5576,"[3, 4]"
5577,"[1, 2, 4, 5]"
5578,"[3, 5]"
5579,"[0, 4, 5]"
5580,"[0, 4, 5]"
5581,"[0, 1]"
5582,"[0, 4, 5]"
5583,"[1, 5]"
5584,"[0, 4, 5]"
5585,[4]
5586,"[0, 4, 5]"
5587,"[4, 5]"
5588,"[0, 5]"
5589,"[0, 4, 5]"
5590,"[0, 1, 2]"
5591,"[1, 4, 5]"
5592,"[3, 5]"
6685,"[1, 5]"
6686,"[1, 3, 4]"
6687,[4]
6688,"[4, 5]"
6689,"[0, 4, 5]"
6690,"[1, 4, 5]"
6691,"[0, 1, 5]"
6692,"[4, 5]"
6693,"[4, 5]"
6694,"[3, 5]"
6695,"[3, 5]"
6696,"[2, 3, 4, 5]"
6697,"[0, 1, 3]"
6698,"[0, 1]"
6699,[4]
6700,[4]
6701,"[3, 5]"
6702,"[3, 5]"
6703,"[1, 3, 4]"
6704,[4]
6705,"[3, 5]"
6706,"[3, 5]"
6707,"[0, 1, 4]"
6708,"[0, 5]"
6709,"[3, 5]"
6710,"[0, 1, 3]"
7803,"[0, 1]"
7804,"[3, 5]"
7805,"[1, 2]"
7806,"[0, 3, 4, 5]"
7807,"[3, 5]"
7808,"[2, 3, 4]"
7809,"[3, 5]"
7810,"[0, 4, 5]"
7811,"[1, 5]"
7812,"[1, 3, 4]"
7813,"[0, 3]"
7814,"[1, 3, 4]"
7815,"[0, 4, 5]"
7816,[4]
7817,[0]
7818,"[0, 4, 5]"
7819,"[1, 3, 4]"
7820,"[3, 4, 5]"
7821,"[3, 5]"
7822,"[0, 4, 5]"
7823,"[3, 4, 5]"
7824,"[1, 3, 5]"
7825,"[4, 5]"
7826,"[1, 3]"
7827,"[3, 4]"
7828,[0]
8921,"[1, 3, 4, 5]"
8922,"[1, 5]"
8923,"[4, 5]"
8924,"[3, 5]"
8925,"[0, 3, 4]"
8926,"[2, 4]"
8927,"[1, 3, 4]"
8928,"[0, 1, 2]"
8929,"[1, 3, 4]"
8930,"[3, 4, 5]"
8931,"[4, 5]"
8932,"[1, 4, 5]"
8933,"[3, 5]"
8934,[0]
8935,"[0, 2, 3, 4]"
8936,"[3, 5]"
8937,[4]
8938,"[0, 4, 5]"
8939,"[3, 5]"
8940,"[0, 3, 4, 5]"
8941,"[0, 1, 2, 3, 4, 5]"
8942,"[0, 3, 4]"
8943,"[3, 5]"
8944,"[0, 1, 4]"
8945,"[3, 5]"
8946,"[0, 2, 3, 4]"
10039,"[4, 5]"
10040,"[2, 4]"
10041,"[0, 4, 5]"
10042,"[3, 5]"
10043,"[3, 5]"
10044,"[1, 5]"
10045,"[3, 4, 5]"
10046,"[0, 1, 2, 4]"
10047,"[1, 4, 5]"
10048,"[0, 1, 2]"
10049,"[1, 3]"
10050,"[0, 4, 5]"
10051,"[1, 5]"
10052,"[0, 4, 5]"
10053,"[0, 4, 5]"
10054,"[3, 5]"
10055,"[3, 4, 5]"
10056,"[3, 5]"
10057,"[3, 5]"
10058,"[0, 3, 4, 5]"
10059,"[0, 4, 5]"
10060,"[0, 4, 5]"
10061,[0]
10062,"[0, 4, 5]"
10063,"[1, 3, 4]"
10064,"[0, 4, 5]"
11157,"[3, 5]"
11158,"[1, 5]"
11159,"[0, 1, 3]"
11160,"[0, 4, 5]"
11161,[0]
11162,"[1, 3, 4]"
11163,"[0, 4, 5]"
11164,[4]
11165,"[4, 5]"
11166,"[1, 3, 5]"
11167,"[1, 3, 4]"
11168,"[0, 4, 5]"
11169,"[3, 4, 5]"
11170,"[3, 4, 5]"
11171,"[4, 5]"
11172,"[0, 4, 5]"
11173,"[3, 5]"
11174,"[0, 3, 5]"
11175,"[1, 3, 4]"
11176,"[1, 3, 4]"
11177,"[0, 1]"
11178,"[3, 4, 5]"
11179,"[0, 4, 5]"
11180,"[1, 2, 3, 4]"
11181,"[3, 5]"
11182,"[0, 4, 5]"
