ano_idx,exp_subspace
1093,[3]
1094,[3]
1095,[3]
1096,[3]
1097,[3]
1098,[3]
1099,[3]
1100,[3]
1101,[3]
1102,[3]
1103,[3]
1104,[3]
1105,[3]
1106,[3]
1107,[3]
1108,[3]
1109,[3]
1110,[3]
1111,[3]
1112,[3]
1113,[3]
1114,[3]
1115,[3]
1116,[3]
1117,[3]
1118,[3]
2212,[3]
2213,[3]
2214,[3]
2215,[3]
2216,[3]
2217,[3]
2218,[3]
2219,[3]
2220,[3]
2221,[3]
2222,[3]
2223,[3]
2224,[3]
2225,[3]
2226,[3]
2227,[3]
2228,[3]
2229,[3]
2230,[3]
2231,[3]
2232,[3]
2233,[3]
2234,[3]
2235,[3]
2236,[3]
2237,[3]
3331,[3]
3332,[3]
3333,[3]
3334,[3]
3335,[3]
3336,[3]
3337,[3]
3338,[3]
3339,[3]
3340,[3]
3341,[3]
3342,[3]
3343,[3]
3344,[3]
3345,[3]
3346,[3]
3347,[3]
3348,[3]
3349,[3]
3350,[3]
3351,[3]
3352,[3]
3353,[3]
3354,[3]
3355,[3]
3356,[3]
4449,[3]
4450,[3]
4451,[3]
4452,[3]
4453,[3]
4454,[3]
4455,[3]
4456,[3]
4457,[3]
4458,[3]
4459,[3]
4460,[3]
4461,[3]
4462,[3]
4463,[3]
4464,[3]
4465,[3]
4466,[3]
4467,[3]
4468,[3]
4469,[3]
4470,[3]
4471,[3]
4472,[3]
4473,[3]
4474,[3]
5567,[3]
5568,[3]
5569,[3]
5570,[3]
5571,[3]
5572,[3]
5573,[3]
5574,[3]
5575,[3]
5576,[3]
5577,[3]
5578,[3]
5579,[3]
5580,[3]
5581,[3]
5582,[3]
5583,[3]
5584,[3]
5585,[3]
5586,[3]
5587,[3]
5588,[3]
5589,[3]
5590,[3]
5591,[3]
5592,[3]
6685,[3]
6686,[3]
6687,[3]
6688,[3]
6689,[3]
6690,[3]
6691,[3]
6692,[3]
6693,[3]
6694,[3]
6695,[3]
6696,[3]
6697,[3]
6698,[3]
6699,[3]
6700,[3]
6701,[3]
6702,[3]
6703,[3]
6704,[3]
6705,[3]
6706,[3]
6707,[3]
6708,[3]
6709,[3]
6710,[3]
7803,[3]
7804,[3]
7805,[3]
7806,[3]
7807,[3]
7808,[3]
7809,[3]
7810,[3]
7811,[3]
7812,[3]
7813,[3]
7814,[3]
7815,[3]
7816,[3]
7817,[3]
7818,[3]
7819,[3]
7820,[3]
7821,[3]
7822,[3]
7823,[3]
7824,[3]
7825,[3]
7826,[3]
7827,[3]
7828,[3]
8921,[3]
8922,[3]
8923,[3]
8924,[3]
8925,[3]
8926,[3]
8927,[3]
8928,[3]
8929,[3]
8930,[3]
8931,[3]
8932,[3]
8933,[3]
8934,[3]
8935,[3]
8936,[3]
8937,[3]
8938,[3]
8939,[3]
8940,[3]
8941,[3]
8942,[3]
8943,[3]
8944,[3]
8945,[3]
8946,[3]
10039,[3]
10040,[3]
10041,[3]
10042,[3]
10043,[3]
10044,[3]
10045,[3]
10046,[3]
10047,[3]
10048,[3]
10049,[3]
10050,[3]
10051,[3]
10052,[3]
10053,[3]
10054,[3]
10055,[3]
10056,[3]
10057,[3]
10058,[3]
10059,[3]
10060,[3]
10061,[3]
10062,[3]
10063,[3]
10064,[3]
11157,[3]
11158,[3]
11159,[3]
11160,[3]
11161,[3]
11162,[3]
11163,[3]
11164,[3]
11165,[3]
11166,[3]
11167,[3]
11168,[3]
11169,[3]
11170,[3]
11171,[3]
11172,[3]
11173,[3]
11174,[3]
11175,[3]
11176,[3]
11177,[3]
11178,[3]
11179,[3]
11180,[3]
11181,[3]
11182,[3]
