ano_idx,exp_subspace
1093,"[1, 2]"
1094,"[0, 2]"
1095,"[1, 2, 4]"
1096,[4]
1097,[4]
1098,"[0, 4]"
1099,"[0, 1, 2, 3, 4, 5]"
1100,"[0, 2]"
1101,"[0, 1, 3, 4]"
1102,"[0, 2]"
1103,"[1, 2]"
1104,"[0, 2, 4]"
1105,"[0, 1, 2]"
1106,"[0, 4]"
1107,"[0, 1, 4]"
1108,"[2, 4]"
1109,"[0, 1, 4]"
1110,"[1, 2]"
1111,"[2, 4]"
1112,"[0, 1, 2, 3, 4]"
1113,"[0, 1, 2, 3, 4, 5]"
1114,"[0, 1, 2, 4]"
1115,"[0, 1, 2, 3, 4, 5]"
1116,"[1, 2, 4]"
1117,"[2, 4]"
1118,"[2, 4]"
2212,"[0, 1, 3, 4]"
2213,"[0, 1, 3, 4]"
2214,"[0, 1, 2, 3, 4]"
2215,"[0, 1, 3, 4]"
2216,"[0, 1, 2]"
2217,"[0, 1, 4]"
2218,"[0, 1, 3, 4]"
2219,"[0, 2]"
2220,"[0, 4]"
2221,"[0, 2]"
2222,"[0, 2, 4]"
2223,"[0, 1, 2]"
2224,[3]
2225,"[0, 1, 2, 3, 4]"
2226,"[0, 1, 4]"
2227,"[0, 1, 3, 4]"
2228,[1]
2229,"[0, 1, 2, 3, 4]"
2230,[4]
2231,"[0, 1, 4]"
2232,[4]
2233,"[0, 1, 2, 4]"
2234,"[0, 4]"
2235,"[0, 1, 3, 4]"
2236,"[1, 2, 4]"
2237,"[0, 1, 2, 3, 4, 5]"
3331,[3]
3332,"[1, 4]"
3333,"[0, 4]"
3334,"[0, 1, 2, 3, 4, 5]"
3335,"[0, 2]"
3336,"[0, 2]"
3337,[4]
3338,[3]
3339,"[0, 2, 4]"
3340,"[0, 1, 2, 3, 4, 5]"
3341,"[1, 2, 4]"
3342,"[0, 1, 2, 3, 4, 5]"
3343,[1]
3344,"[0, 1, 3, 4]"
3345,"[1, 4]"
3346,"[0, 1, 2, 3, 4]"
3347,"[0, 1, 4]"
3348,"[0, 1, 3, 4]"
3349,[4]
3350,[1]
3351,"[0, 2, 4]"
3352,"[0, 1, 2, 3, 4]"
3353,[1]
3354,[3]
3355,[1]
3356,"[0, 2]"
4449,[3]
4450,"[0, 1, 4]"
4451,"[1, 2]"
4452,"[0, 4]"
4453,"[1, 2]"
4454,"[0, 1, 3, 4]"
4455,"[0, 4]"
4456,"[2, 4]"
4457,"[0, 1, 3, 4]"
4458,"[2, 4]"
4459,"[0, 1, 2, 3, 4, 5]"
4460,"[0, 1, 3, 4]"
4461,"[2, 4]"
4462,[2]
4463,[1]
4464,"[0, 4]"
4465,[4]
4466,[4]
4467,"[2, 4]"
4468,"[1, 2, 4]"
4469,[4]
4470,"[0, 2]"
4471,"[0, 1, 4]"
4472,[1]
4473,"[0, 1, 3, 4]"
4474,"[1, 4]"
5567,"[0, 1, 2, 3, 4, 5]"
5568,[4]
5569,[3]
5570,[0]
5571,"[0, 1, 2, 3, 4]"
5572,"[2, 4]"
5573,"[0, 1, 2, 3, 4]"
5574,"[1, 4]"
5575,[3]
5576,"[2, 4]"
5577,[4]
5578,[1]
5579,"[1, 2, 4]"
5580,"[1, 2]"
5581,[3]
