ano_idx,exp_subspace
6903,"[0, 2, 6]"
6904,"[0, 3, 5, 6]"
6905,"[0, 4, 5, 6, 7, 9]"
6906,"[0, 1, 4, 5, 6, 9]"
6907,"[0, 1, 2]"
6908,"[0, 2, 6]"
6909,"[0, 1, 4, 5, 7, 8]"
6910,"[0, 2, 3, 4, 6, 9]"
6911,"[0, 1, 3, 5, 6]"
6912,"[0, 1, 2, 7]"
6913,"[0, 3, 4, 5, 6, 9]"
6914,"[0, 2, 6]"
6915,"[0, 1, 2]"
6916,"[0, 1, 2, 4, 6]"
6917,"[0, 1, 5, 6]"
6918,"[0, 1, 2]"
6919,"[0, 2, 6]"
6920,"[0, 1, 5, 9]"
6921,"[0, 2, 8, 9]"
6922,"[5, 8]"
6923,"[0, 5, 6]"
6924,"[1, 2, 6, 7, 8]"
6925,"[1, 2, 4, 6, 8]"
6926,"[0, 2, 7]"
6927,"[5, 8]"
6928,"[0, 2]"
6929,"[0, 2, 3, 4, 7, 9]"
6930,"[0, 2, 9]"
6931,"[0, 4, 5, 6, 8]"
6932,"[0, 4, 6, 8]"
6933,"[2, 6, 7, 8]"
6934,"[2, 4, 6, 8]"
6935,"[0, 5, 6]"
6936,"[1, 2, 3, 4, 5, 8]"
6937,"[0, 1, 4, 6, 8]"
6938,"[1, 2, 3, 4, 6, 7, 8]"
6939,"[0, 2, 6]"
6940,"[6, 7, 8]"
6941,"[0, 1, 5, 6, 8]"
6942,"[0, 5, 6]"
6943,"[0, 2, 6]"
6944,"[0, 1, 4, 5, 6, 9]"
6945,"[0, 2, 6]"
6946,"[0, 1, 4, 5, 7]"
6947,"[1, 2, 6, 7, 8]"
6948,"[0, 1, 3, 6, 7]"
6949,"[0, 1, 3, 4, 5]"
6950,"[0, 1, 5, 6]"
6951,"[0, 2]"
6952,"[0, 2, 6]"
6953,"[0, 1, 5, 8, 9]"
6954,"[0, 1, 4, 8]"
6955,"[0, 2, 6]"
6956,"[0, 1, 5, 6]"
6957,"[1, 7, 8]"
6958,"[2, 4, 6, 8]"
6959,"[0, 2, 6]"
6960,"[0, 1, 5, 8, 9]"
6961,"[0, 1, 2, 4, 6, 8]"
6962,"[0, 2, 4, 5]"
6963,"[0, 1, 5, 8, 9]"
6964,"[0, 1, 3, 5]"
6965,"[0, 5, 6]"
6966,"[2, 4, 6, 8]"
6967,"[1, 2, 4, 6, 8]"
6968,"[0, 2, 6]"
6969,"[1, 4, 5, 6, 7]"
6970,"[0, 2, 4, 6]"
6971,"[0, 2, 6]"
6972,"[0, 3, 5, 6, 8, 9]"
6973,"[0, 3, 5, 6]"
6974,"[0, 1, 5, 7]"
6975,"[0, 2, 4, 6, 8]"
6976,"[0, 3, 5]"
6977,"[0, 5, 6, 7]"
6978,"[0, 2, 9]"
6979,"[2, 4, 6, 8]"
6980,"[0, 2, 4, 7]"
6981,"[2, 4, 6, 8]"
6982,"[0, 1, 3, 5]"
