ano_idx,exp_subspace
6903,"[0, 2, 5, 6]"
6904,"[0, 5, 6]"
6905,"[0, 3, 4, 5, 6, 7]"
6906,"[0, 2, 7, 9]"
6907,"[0, 2, 4]"
6908,"[0, 2, 4]"
6909,"[0, 1, 4, 5, 8]"
6910,"[0, 2, 4, 5, 9]"
6911,"[0, 1, 3, 5]"
6912,"[0, 2, 7, 9]"
6913,"[0, 1, 3, 4, 5]"
6914,"[0, 2, 4, 6]"
6915,"[0, 1, 2, 3, 4, 5, 8]"
6916,"[0, 1, 4, 6]"
6917,"[0, 1, 5, 6]"
6918,"[0, 2]"
6919,"[0, 2, 4, 7]"
6920,"[0, 5, 7, 9]"
6921,"[0, 1, 2, 5, 8]"
6922,"[1, 3, 5, 8]"
6923,"[0, 5, 6, 7, 9]"
6924,"[2, 6, 7, 8]"
6925,"[6, 8]"
6926,"[0, 1, 2, 7]"
6927,"[5, 8]"
6928,"[0, 2]"
6929,"[3, 4, 5, 7, 9]"
6930,"[2, 7, 9]"
6931,"[0, 1, 4, 5, 6, 7]"
6932,"[0, 3, 4, 6, 8]"
6933,"[1, 3, 5, 6, 7, 8]"
6934,"[2, 4, 7, 8]"
6935,"[0, 2, 4, 5, 6]"
6936,"[1, 2, 3, 5]"
6937,"[0, 1, 4, 8]"
6938,"[1, 3, 4, 5, 7]"
6939,"[0, 2]"
6940,"[1, 3, 5, 6, 7, 8]"
6941,"[0, 1, 5, 6]"
6942,"[0, 1, 5, 6]"
6943,"[0, 2, 6]"
6944,"[0, 3, 4, 5, 6, 7]"
6945,"[0, 2]"
6946,"[4, 5, 7]"
6947,"[1, 2, 6, 7, 8]"
6948,"[0, 1, 5, 6]"
6949,"[0, 1, 2, 3, 4, 5, 8]"
6950,"[0, 1, 5, 6]"
6951,"[0, 5, 7]"
6952,"[0, 2]"
6953,"[0, 1, 5, 6]"
6954,"[0, 2, 3, 4, 9]"
6955,"[0, 2, 6]"
6956,"[0, 1, 5, 6]"
6957,"[0, 1]"
6958,"[2, 4, 5, 8]"
6959,"[0, 2]"
6960,"[0, 3, 5, 9]"
6961,"[0, 1, 4, 6]"
6962,"[0, 2, 4, 5, 6]"
6963,"[0, 1, 5, 8, 9]"
6964,"[0, 1, 3, 5]"
6965,"[0, 1, 5, 6]"
6966,"[2, 4, 8]"
6967,"[1, 4, 8]"
6968,"[0, 2]"
6969,"[1, 3, 4, 5, 6, 7]"
6970,"[4, 7]"
6971,"[0, 2]"
6972,"[0, 2, 5, 6, 8, 9]"
6973,"[0, 3, 4, 5, 6, 7]"
6974,"[0, 1, 2, 7]"
6975,"[0, 5, 6]"
6976,"[0, 1, 3, 5]"
6977,"[0, 3, 4, 5, 6, 7]"
6978,"[0, 5, 6, 9]"
6979,"[2, 4, 6]"
6980,"[0, 2, 4, 5]"
6981,"[2, 4, 8]"
6982,"[0, 3, 5]"
6983,"[4, 7]"
6984,"[4, 5, 6]"
6985,"[1, 3, 5, 7, 8, 9]"
6986,"[0, 5, 8]"
6987,"[0, 1, 5, 6]"
6988,"[0, 1, 3]"
6989,"[0, 1, 3, 5, 6, 8]"
6990,"[0, 4, 5, 8]"
6991,[4]
6992,"[2, 3, 4, 7, 9]"
6993,"[0, 3, 4, 5, 6, 7]"
6994,"[3, 4, 5]"
6995,"[0, 1, 5, 6]"
6996,"[0, 3, 5, 6, 7]"
6997,"[0, 1, 5, 6]"
6998,"[0, 2, 4, 5, 7, 8]"
6999,"[1, 3, 4, 8]"
7000,"[0, 1, 3, 5]"
7001,"[0, 5, 6, 7]"
7002,"[1, 3, 4, 6, 7]"
7003,"[0, 1, 3, 5, 9]"
7004,"[3, 4, 5, 7]"
7005,"[0, 1, 5, 6]"
7006,"[0, 2, 4, 5, 8]"
7007,"[1, 3, 5, 6, 7, 8]"
7008,"[0, 1, 5, 7]"
7009,"[6, 8]"
7010,"[0, 4, 6, 7]"
7011,"[0, 2]"
7012,"[0, 1, 5, 6]"
7013,"[0, 5, 8, 9]"
7014,"[0, 2, 6, 7, 9]"
7015,"[0, 2, 3, 6, 8]"
7016,"[0, 5, 8]"
7017,"[0, 1, 5, 6]"
7018,"[2, 4, 6]"
7019,"[0, 1, 2, 3, 5]"
7020,"[0, 1, 5, 6]"
7021,"[0, 1, 5, 8, 9]"
7022,"[0, 5, 8, 9]"
7023,"[0, 6, 9]"
7024,"[0, 1, 3, 5, 9]"
7025,"[0, 1, 5, 7]"
7026,"[0, 4, 5, 7, 8]"
7027,"[0, 1, 4, 5, 6, 7]"
7028,"[0, 2, 6, 7]"
7029,"[3, 5, 8]"
7030,"[0, 5, 8, 9]"
7031,"[0, 3, 5, 9]"
7032,"[1, 3, 5, 6, 7, 8]"
7033,"[0, 1, 5, 6]"
7034,"[1, 5, 6]"
7035,"[0, 1, 3, 5]"
7036,"[0, 2, 5, 6]"
7037,"[2, 6, 8]"
7038,"[0, 2, 5, 6]"
7039,"[1, 3, 5, 6, 7, 8]"
7040,"[0, 2, 4, 5, 6]"
7041,"[2, 4, 5, 8]"
7042,"[0, 1, 5, 6]"
7043,"[0, 2, 4, 9]"
7044,"[0, 1, 2, 3, 4, 8]"
7045,"[0, 1, 4, 5, 8]"
7046,"[0, 3, 5, 6, 8]"
7047,"[0, 5, 7]"
7048,"[6, 8]"
7049,"[0, 1, 2, 6, 9]"
7050,"[0, 1, 2, 5, 8]"
7051,"[0, 2]"
7052,"[2, 3, 4, 8]"
7053,"[0, 2]"
7054,"[0, 5, 7, 8]"
7055,"[0, 5, 6]"
7056,"[0, 1, 4, 5, 6, 7]"
7057,"[0, 2, 4, 6]"
7058,"[0, 6]"
7059,"[3, 4, 5, 7]"
7060,"[1, 2, 3, 4, 5, 6]"
7061,"[0, 2, 4, 6]"
7062,"[4, 5, 7]"
7063,"[0, 1, 5, 6]"
7064,"[0, 3, 4, 5, 6, 7]"
7065,"[0, 1, 2, 5, 6, 8, 9]"
7066,"[1, 2, 8]"
7067,"[0, 1, 2, 5, 8]"
7068,"[0, 2, 3, 4, 7]"
7069,"[0, 2, 5, 8]"
7070,"[1, 3, 5, 6, 7, 8]"
7071,"[4, 5, 7]"
7072,"[3, 4, 7]"
7073,"[0, 2, 6]"
7074,"[1, 2, 6]"
7075,"[0, 2, 4, 5]"
7076,"[0, 1, 5, 6]"
7077,"[1, 4, 5, 7, 8]"
7078,"[0, 2, 4]"
7079,"[4, 5, 6, 7]"
7080,"[0, 1, 4, 5, 8]"
7081,"[0, 3, 5]"
7082,"[0, 5, 7]"
7083,"[0, 2, 4]"
7084,"[0, 1, 5, 7]"
7085,"[0, 6]"
7086,"[0, 3, 4, 5, 6, 7]"
7087,"[0, 1, 4, 5, 8]"
7088,"[0, 1, 5, 8, 9]"
7089,"[0, 1, 5, 8, 9]"
7090,"[0, 2]"
7091,"[0, 3, 5]"
7092,"[0, 2, 4, 6]"
7093,"[0, 1, 4, 5, 6, 7]"
7094,"[0, 2, 7, 9]"
7095,"[0, 5, 6]"
7096,"[0, 2, 4, 5, 6]"
7097,"[0, 1, 4, 5, 8]"
7098,"[0, 1, 2, 5, 8]"
7099,"[2, 4, 6]"
7100,"[4, 7]"
7101,"[0, 3, 4, 5, 6, 7]"
7102,"[0, 2, 7]"
7103,"[1, 3, 5, 8]"
7104,[4]
7105,"[0, 1, 3, 8]"
7106,"[0, 2, 4]"
7107,"[0, 2, 4, 6]"
7108,"[1, 4, 5, 8]"
7109,"[0, 1, 5, 6]"
7110,"[0, 5, 7]"
7111,"[0, 2, 4, 9]"
7112,"[0, 2]"
