ano_idx,exp_subspace
6903,[0]
6904,"[0, 5]"
6905,"[0, 4, 5, 7]"
6906,[9]
6907,[0]
6908,[0]
6909,[0]
6910,"[0, 4, 9]"
6911,"[0, 1, 3, 5]"
6912,"[0, 1, 2, 4, 7, 9]"
6913,"[0, 4, 5]"
6914,[0]
6915,"[0, 2, 4]"
6916,"[0, 1, 4]"
6917,[0]
6918,[0]
6919,[0]
6920,"[0, 1, 4, 5, 7, 9]"
6921,"[0, 2, 5, 8]"
6922,[5]
6923,"[0, 6, 7]"
6924,"[1, 2, 6, 8]"
6925,[8]
6926,[0]
6927,[8]
6928,[0]
6929,"[0, 4, 5, 7, 9]"
6930,[9]
6931,"[0, 4, 6]"
6932,"[0, 6, 8]"
6933,"[7, 8]"
6934,"[4, 7, 8]"
6935,"[0, 1, 4, 5]"
6936,"[0, 3, 5, 8]"
6937,"[0, 4, 8]"
6938,"[1, 3]"
6939,[0]
6940,[8]
6941,"[0, 1, 5, 8]"
6942,[0]
6943,[0]
6944,"[0, 1, 3, 4, 6, 8]"
6945,[0]
6946,[4]
6947,[8]
6948,"[0, 1, 6, 7, 8]"
6949,"[0, 1, 3, 4, 5]"
6950,"[0, 1, 5, 6]"
6951,[0]
6952,[0]
6953,"[0, 1, 5]"
6954,[0]
6955,[0]
6956,"[0, 5, 6]"
6957,[1]
6958,"[0, 1, 2, 4, 5, 8]"
6959,[0]
6960,"[0, 1, 5, 9]"
6961,[4]
6962,"[0, 5]"
6963,"[1, 5, 8, 9]"
6964,[0]
6965,[0]
6966,[8]
6967,[8]
6968,[0]
6969,"[1, 4, 6, 7]"
6970,[4]
6971,[0]
6972,"[0, 5]"
6973,"[0, 3, 4, 6]"
6974,[0]
6975,"[0, 6, 8]"
6976,[0]
6977,"[0, 1, 3, 4, 5, 7]"
6978,[0]
6979,[4]
6980,"[0, 2, 4]"
6981,[4]
6982,[0]
6983,"[1, 4, 7]"
6984,[5]
6985,"[3, 5, 8]"
6986,[8]
6987,"[0, 1, 6, 8]"
6988,[0]
