ano_idx,exp_subspace
6903,"[0, 2, 6]"
6904,"[0, 6]"
6905,"[0, 4, 5, 7]"
6906,"[1, 9]"
6907,"[0, 4]"
6908,"[0, 4]"
6909,"[0, 1, 3, 4, 8]"
6910,"[1, 2, 4, 7, 9]"
6911,"[0, 1, 3]"
6912,"[0, 2, 4, 7]"
6913,"[0, 4, 5]"
6914,"[0, 4, 5]"
6915,"[0, 2, 4]"
6916,"[0, 1, 3, 4]"
6917,"[0, 1, 5]"
6918,"[0, 2, 6]"
6919,"[0, 4, 5]"
6920,"[1, 4, 5, 7, 9]"
6921,"[0, 2, 6, 8]"
6922,"[1, 3, 5, 8]"
6923,"[0, 3, 5, 6, 7]"
6924,"[0, 1, 2, 6, 7, 8]"
6925,"[2, 6, 8]"
6926,[0]
6927,[8]
6928,"[0, 2]"
6929,"[1, 4, 5, 7, 9]"
6930,"[1, 9]"
6931,"[0, 3, 4, 6]"
6932,"[0, 3, 4, 6]"
6933,"[0, 3, 4, 7, 8]"
6934,"[7, 8]"
6935,"[0, 4, 5]"
6936,"[1, 3, 4, 5, 8]"
6937,"[0, 1, 3, 4, 8]"
6938,"[0, 1, 3]"
6939,[0]
6940,"[1, 6, 7, 8]"
6941,"[0, 1]"
6942,"[0, 4, 5]"
6943,"[0, 2, 6]"
6944,"[0, 1, 3, 4, 5, 6, 9]"
6945,"[0, 4, 5]"
6946,"[4, 7]"
6947,"[0, 1, 2, 6, 7, 8]"
6948,"[1, 6, 9]"
6949,"[0, 2, 3, 4, 5, 8]"
6950,"[0, 1, 3, 4, 5, 6]"
6951,"[0, 2, 4, 7]"
6952,"[0, 4, 5]"
6953,"[0, 1, 5, 8]"
6954,"[0, 2, 3, 4, 8, 9]"
6955,[0]
6956,"[0, 1, 3, 4, 5, 6]"
6957,[1]
6958,"[2, 4, 8]"
6959,[0]
6960,"[0, 3, 5, 9]"
6961,"[1, 4]"
6962,"[0, 1, 4, 5]"
6963,"[1, 3, 8, 9]"
6964,"[0, 1, 3]"
6965,"[0, 4, 5]"
6966,"[1, 2, 8, 9]"
6967,"[1, 4, 8]"
6968,"[0, 2]"
6969,"[1, 3, 4, 5, 6, 7]"
6970,"[1, 2, 4, 7, 9]"
6971,"[0, 2, 6]"
6972,"[0, 5, 6, 8, 9]"
6973,"[0, 3, 4, 6]"
6974,"[0, 7]"
6975,"[0, 5, 6]"
6976,"[0, 1, 3]"
6977,"[3, 4, 7]"
6978,"[0, 5, 9]"
6979,"[2, 4]"
6980,"[0, 2, 4]"
6981,"[1, 4]"
6982,"[0, 1, 3]"
6983,"[1, 2, 4, 7, 9]"
6984,[5]
6985,"[1, 3, 5, 7, 8, 9]"
6986,"[0, 2, 6, 8]"
6987,"[0, 1, 6, 8]"
6988,"[0, 3, 6]"
6989,"[0, 1, 2, 5, 8]"
6990,"[0, 4, 5]"
6991,[4]
6992,"[2, 7, 9]"
6993,"[0, 3, 4, 5, 6, 7]"
6994,"[1, 2, 3, 4, 5]"
6995,"[0, 1, 5, 6, 8]"
6996,"[0, 3, 5, 6, 7]"
