ano_idx,exp_subspace
6903,"[0, 3, 4, 5, 7]"
6904,"[1, 2, 4, 5, 6, 7]"
6905,"[0, 1, 2, 4, 5, 8]"
6906,"[0, 4, 5, 6, 7, 9]"
6907,"[0, 1, 2, 3, 5]"
6908,"[0, 4]"
6909,"[1, 2, 3, 4, 5, 6, 8]"
6910,"[4, 5, 7, 9]"
6911,"[1, 2, 3, 4, 5, 6, 8]"
6912,"[0, 2, 9]"
6913,"[0, 1, 2, 3, 4, 5, 6]"
6914,"[0, 4]"
6915,"[1, 2, 3, 4]"
6916,"[0, 1, 4, 5]"
6917,"[0, 1, 6]"
6918,"[0, 1, 2, 3, 4, 5]"
6919,"[0, 2, 7, 9]"
6920,"[0, 1, 3, 4, 5, 7, 9]"
6921,"[4, 8]"
6922,"[0, 3, 5, 7, 8]"
6923,"[0, 1, 6]"
6924,"[1, 2, 4, 6, 7, 8, 9]"
6925,"[0, 2, 6, 7, 8, 9]"
6926,"[0, 6, 7]"
6927,"[1, 6, 7, 8]"
6928,"[1, 3, 5, 6, 7, 8]"
6929,"[4, 5, 7, 9]"
6930,"[0, 1, 4, 6, 9]"
6931,"[0, 4]"
6932,"[0, 5, 8]"
6933,"[1, 3, 4, 5, 6, 7, 8]"
6934,"[0, 1, 7, 8, 9]"
6935,"[0, 3, 4, 6]"
6936,"[0, 3, 4, 5, 6, 8]"
6937,"[0, 1, 2, 4, 7, 8, 9]"
6938,"[0, 1, 3, 4, 5, 7, 8, 9]"
6939,"[0, 3, 7, 8]"
6940,"[0, 1, 4, 6, 8]"
6941,"[0, 1, 6]"
6942,"[0, 4]"
6943,"[0, 5, 6, 7]"
6944,"[0, 1, 2, 4, 7, 9]"
6945,"[0, 4, 7]"
6946,"[0, 1, 2, 4, 6]"
6947,"[0, 1, 2, 3, 4, 6, 7, 8, 9]"
6948,"[1, 3, 5, 8]"
6949,"[0, 1, 5, 7, 8]"
6950,"[0, 1, 6]"
6951,"[0, 2, 6, 7, 8, 9]"
6952,"[0, 4, 9]"
6953,"[1, 2, 6, 8]"
6954,"[0, 3, 4, 8, 9]"
6955,"[0, 4]"
6956,"[0, 1, 3, 6]"
6957,"[1, 5, 8]"
6958,"[2, 4, 5, 6, 7, 8]"
6959,"[0, 4]"
6960,"[0, 1, 2, 3, 4, 9]"
6961,"[1, 2, 4, 5]"
6962,"[0, 1, 2, 3, 5]"
6963,"[1, 2, 3, 4, 5, 6, 8]"
6964,"[0, 1, 8, 9]"
6965,"[0, 4, 6, 7, 8]"
6966,"[2, 4, 5, 6, 8, 9]"
6967,"[0, 1, 4, 5, 8]"
6968,"[0, 1, 2, 3, 8]"
6969,"[1, 4, 6, 7, 9]"
6970,"[0, 4, 7, 9]"
6971,"[0, 1, 2, 4, 9]"
6972,"[0, 1, 2, 3, 4, 5, 7]"
6973,"[0, 3, 4, 8]"
6974,"[0, 5, 6, 7]"
6975,"[0, 1, 4, 5, 6, 8]"
6976,"[0, 1, 3, 9]"
6977,"[0, 3, 4, 6, 7]"
6978,"[0, 1, 4, 6, 9]"
6979,"[2, 3, 4, 5, 9]"
6980,"[0, 1, 4, 5]"
6981,"[1, 2, 3, 4, 5, 6, 8]"
6982,"[0, 1, 5, 6, 8, 9]"
6983,"[1, 4, 7]"
6984,"[0, 1, 2, 4, 5, 7]"
6985,"[0, 3, 4, 5, 8, 9]"
6986,"[0, 9]"
6987,"[1, 2, 6, 8, 9]"
6988,"[0, 1, 2, 3, 4, 5, 6, 7, 9]"
6989,"[0, 1, 6, 8, 9]"
6990,"[0, 4]"
6991,"[0, 1, 4]"
6992,"[0, 2, 3, 6, 9]"
6993,"[0, 1, 4, 6, 8]"
6994,"[1, 3, 4, 5, 7]"
6995,"[1, 3, 8, 9]"
6996,"[0, 1, 6]"
6997,"[1, 2, 3, 4, 5, 6, 8]"
6998,"[0, 2, 4, 5, 6, 8]"
6999,"[0, 1, 2, 3, 9]"
7000,"[0, 3, 6, 9]"
7001,"[0, 1, 2, 4, 6]"
7002,"[2, 3, 4, 5, 6, 8, 9]"
7003,"[0, 2, 3, 4]"
7004,"[0, 1, 2, 3, 4, 5, 6]"
7005,"[0, 1, 2, 3, 4, 5, 7]"
7006,"[0, 2, 4, 5, 7, 8, 9]"
7007,"[0, 2, 3, 4, 7, 8]"
7008,"[0, 2, 5, 7]"
7009,"[0, 1, 2, 4, 5, 6, 8]"
7010,"[0, 3, 4, 6, 8]"
7011,"[0, 4]"
7012,"[0, 1, 2, 3, 4, 5, 7]"
7013,"[0, 1, 3, 5, 6, 7, 9]"
7014,"[0, 5, 6, 7]"
7015,"[0, 1, 6]"
7016,"[5, 8]"
7017,"[1, 3, 5, 8]"
7018,"[1, 4, 7]"
7019,"[0, 1, 2, 4, 9]"
7020,"[0, 1, 2, 3, 6]"
7021,"[1, 2, 3, 4, 5, 6, 8]"
7022,"[0, 2, 4, 6, 7, 8]"
7023,"[0, 6]"
7024,"[0, 2, 3, 4, 5]"
7025,"[0, 1, 5, 7, 8]"
7026,"[2, 3, 4, 5, 7, 8]"
7027,"[0, 2, 5, 7]"
7028,"[0, 3, 5, 6, 7]"
7029,"[0, 1, 3, 4, 7, 8]"
7030,"[0, 4, 7, 8, 9]"
7031,"[0, 2, 3, 4, 8, 9]"
7032,"[0, 3, 6, 7]"
7033,"[0, 1, 4, 5, 6]"
7034,"[1, 4, 5, 6]"
7035,"[0, 1, 3, 7]"
7036,"[0, 1, 2, 7, 8]"
7037,"[0, 1, 2, 3, 5, 7, 8]"
7038,"[0, 1, 2, 7, 8]"
7039,"[1, 3, 4, 6, 9]"
7040,"[0, 1, 4, 5, 6]"
7041,"[0, 1, 3, 5, 6, 8]"
7042,"[0, 6]"
7043,"[0, 4, 9]"
7044,"[0, 1, 3, 4, 5, 8]"
7045,"[0, 1, 4, 5, 6, 8]"
7046,"[0, 1, 6, 7, 8]"
7047,"[0, 1, 6, 8]"
7048,"[2, 3, 4, 5, 6, 8]"
7049,"[0, 1, 3, 5, 6, 9]"
7050,"[0, 6]"
7051,"[0, 6]"
7052,"[0, 1, 2, 3, 8]"
7053,"[0, 3, 7]"
7054,"[2, 6, 7, 8]"
7055,"[0, 3, 5, 7, 8]"
7056,"[0, 1, 3, 5, 6, 7, 9]"
7057,"[0, 1, 4, 7, 8]"
7058,"[0, 3, 6, 7]"
7059,"[1, 3, 4, 7]"
7060,"[0, 2, 3, 4, 5]"
7061,"[0, 4]"
7062,"[0, 1, 2, 4, 5, 7]"
7063,"[0, 1, 4, 5, 9]"
7064,"[0, 3, 4, 6, 7]"
7065,"[0, 1, 2, 3, 5]"
7066,"[0, 1, 2, 3, 5, 6, 7, 8]"
7067,"[1, 6, 7, 8]"
7068,"[0, 4, 6, 7, 9]"
7069,"[3, 7, 8]"
7070,"[0, 3, 5, 7, 8]"
7071,"[0, 1, 4, 6, 9]"
7072,"[0, 1, 3, 4, 5, 7, 9]"
7073,"[0, 6, 8, 9]"
7074,"[1, 2, 3, 4, 5, 6, 8]"
7075,"[0, 1, 4, 5, 6, 8]"
7076,"[0, 6]"
7077,"[0, 4, 5, 7]"
7078,"[1, 2, 4, 5, 6, 9]"
7079,"[1, 2, 4, 9]"
7080,"[0, 1, 6, 8]"
7081,"[1, 2, 3, 4, 5, 6, 8]"
7082,"[1, 2, 3, 4, 5, 6, 8]"
7083,"[1, 3, 4, 5, 6, 8]"
7084,"[0, 1, 4, 5]"
7085,"[0, 1, 5, 6, 8]"
7086,"[0, 1, 3, 4, 7, 8]"
7087,"[2, 3, 4, 5, 7, 8]"
7088,"[5, 7, 8, 9]"
7089,"[0, 1, 2, 5, 8]"
7090,"[0, 7]"
7091,"[0, 5, 7, 9]"
7092,"[0, 1, 3, 4, 5, 7, 9]"
7093,"[0, 4, 5, 6, 7, 8]"
7094,"[0, 2, 4, 5, 7, 8]"
7095,"[0, 1, 5]"
7096,"[0, 2, 3, 7, 9]"
7097,"[1, 2, 3, 4, 5, 6, 8]"
7098,"[5, 7, 8]"
7099,"[0, 1, 6, 8, 9]"
7100,[4]
7101,"[1, 2, 3, 4, 5, 6, 8]"
7102,"[0, 1, 2, 7, 8]"
7103,"[0, 1, 3, 5, 8]"
7104,"[1, 2, 3, 4, 5, 6, 8]"
7105,"[0, 1, 5, 7, 8]"
7106,"[0, 4]"
7107,"[0, 3, 4, 6, 7]"
7108,"[0, 5, 8]"
7109,"[0, 6]"
7110,"[0, 2, 4, 5, 7, 8]"
7111,"[1, 2, 4, 5, 6, 9]"
7112,"[0, 1]"
7113,"[0, 1, 4, 7]"
7114,"[0, 4, 6]"
7115,"[0, 5, 6, 7]"
7116,"[0, 1, 5, 6, 8, 9]"
7117,"[0, 1, 3, 5, 6, 7, 8, 9]"
7118,"[0, 2, 5, 7, 9]"
7119,"[0, 5, 8]"
7120,"[1, 2, 3, 4, 5, 6, 8]"
7121,"[0, 1, 3, 7, 8]"
7122,"[0, 1, 5, 8]"
7123,"[1, 2, 3, 4]"
7124,"[1, 2, 3, 4, 5, 6, 8]"
7125,"[0, 1, 6, 7, 9]"
7126,"[0, 4, 7, 9]"
7127,"[0, 1, 5, 7]"
7128,"[0, 6]"
7129,"[0, 3, 9]"
7130,"[1, 2, 3, 4, 5, 6, 8]"
7131,"[0, 1, 2, 6]"
7132,"[0, 1, 2, 3, 5, 6, 7, 8]"
7133,"[0, 3, 4, 5, 9]"
7134,"[1, 3, 5, 8]"
7135,"[0, 1, 2, 3, 5, 6, 7, 8]"
7136,"[1, 4]"
7137,"[0, 2, 4, 6, 9]"
7138,"[0, 1, 3, 4, 5, 7, 8]"
7139,"[2, 3, 4, 5, 6, 8, 9]"
7140,"[0, 1, 5, 6]"
7141,"[0, 1, 2, 6, 7]"
7142,"[1, 2, 4, 5, 6]"
7143,"[0, 1, 2, 6, 9]"
7144,[0]
7145,"[0, 1, 5]"
7146,"[1, 3, 8, 9]"
7147,"[2, 3, 4, 5, 9]"
7148,"[1, 2, 3, 4, 5, 6, 8]"
7149,"[1, 2, 4, 6, 7]"
7150,"[1, 2, 3, 7, 8]"
7151,"[1, 2, 3, 4, 5, 6, 8]"
7152,"[1, 2, 3, 4, 5, 6, 8]"
7153,"[1, 2, 3, 4, 5, 6, 8]"
7154,"[0, 1, 3, 4, 7, 8]"
7155,"[0, 4, 5]"
7156,"[0, 4, 7, 8]"
7157,"[0, 3, 6, 9]"
7158,"[0, 6]"
7159,"[0, 1, 3, 4, 6]"
7160,"[0, 1]"
7161,"[0, 1, 2, 3, 4, 5, 6]"
7162,"[0, 1, 2, 3, 5, 8]"
7163,"[0, 1, 2, 5, 6]"
7164,"[0, 3, 4, 6, 8]"
7165,"[0, 1, 2, 3, 4, 5]"
7166,"[0, 6]"
7167,"[0, 1, 2, 5, 9]"
7168,"[0, 1, 2, 3, 4, 5, 7, 9]"
7169,"[1, 2, 6, 8, 9]"
7170,"[0, 1, 3, 4, 5, 6, 7, 8]"
7171,"[0, 2, 3, 4, 8]"
7172,"[0, 1, 2, 6, 8]"
7173,"[0, 6]"
7174,"[0, 1, 3, 5, 7, 8, 9]"
7175,"[0, 6]"
7176,"[1, 2, 3, 6, 7, 8, 9]"
7177,"[5, 7, 8]"
7178,"[1, 2, 3, 7, 8]"
7179,"[0, 1, 6]"
7180,"[0, 1, 3, 5, 6, 7, 8, 9]"
7181,"[0, 1, 2, 3, 4, 5, 7]"
7182,"[0, 1, 4, 8]"
7183,"[0, 1, 2, 3, 4, 6, 8, 9]"
7184,"[0, 1, 2, 4, 7, 9]"
7185,"[5, 8]"
7186,"[1, 2, 5, 8]"
7187,"[1, 2, 3, 4, 5, 6, 8]"
7188,"[0, 1, 2]"
7189,"[1, 2, 4, 5]"
7190,"[0, 1, 2]"
7191,"[1, 2, 3, 7, 8]"
7192,"[0, 1, 2, 3, 5, 7, 8]"
7193,"[0, 1, 3, 4, 7, 9]"
7194,"[0, 1, 4, 5]"
7195,"[1, 5, 8]"
7196,"[1, 4, 6, 9]"
7197,"[0, 1, 3, 4, 6, 7]"
7198,"[0, 1, 3, 5, 6, 7, 8, 9]"
7199,"[0, 1, 2, 5, 9]"
7200,"[0, 1, 2, 7, 8]"
7201,"[1, 2, 5, 6]"
7202,"[1, 2, 4, 6, 7, 9]"
7203,"[0, 4, 5, 8]"
7204,"[0, 1, 3, 4, 7]"
7205,"[0, 1, 5]"
7206,"[0, 1, 2, 3, 5, 6, 7, 8]"
7207,"[0, 4, 6, 9]"
7208,"[0, 1, 2, 3, 9]"
7209,"[0, 1, 3, 4, 5, 6]"
7210,"[0, 6]"
7211,"[1, 3, 4, 5, 6, 8, 9]"
7212,"[5, 7, 8]"
7213,"[0, 5, 6, 7, 8, 9]"
7214,"[5, 8]"
7215,"[0, 1, 2, 3, 4, 5]"
7216,"[0, 1, 3, 5, 6, 7, 8, 9]"
7217,"[0, 1, 3, 5, 6, 7, 9]"
7218,"[1, 2, 3, 4, 5, 6, 8]"
7219,"[1, 2, 3, 4, 5, 6, 8]"
7220,"[0, 1, 2, 3, 5, 8]"
7221,"[0, 3, 4, 8]"
7222,"[2, 4, 9]"
7223,"[0, 7]"
7224,"[0, 1, 3, 5, 7, 8, 9]"
7225,"[0, 1, 6]"
7226,"[0, 5, 6]"
7227,"[0, 1, 7]"
7228,"[0, 1, 4, 5]"
7229,"[0, 1, 2]"
7230,"[0, 3, 4, 5, 6, 8, 9]"
7231,"[0, 1, 2, 6, 8]"
7232,"[0, 1, 6, 7, 9]"
7233,"[0, 1, 3, 4, 5, 7, 9]"
7234,"[2, 3, 5, 6]"
7235,"[0, 1, 7]"
7236,"[1, 2, 3, 7, 8, 9]"
7237,"[1, 2, 4, 5, 6, 7]"
7238,"[0, 1, 2, 4, 6]"
7239,"[0, 2, 3, 4, 7, 8, 9]"
7240,"[4, 8]"
7241,"[0, 2, 4, 5, 6, 7, 8]"
7242,"[1, 2, 3, 4, 5, 9]"
7243,"[0, 3, 4, 5, 6]"
7244,"[0, 2, 3, 6, 9]"
7245,"[0, 1, 2, 3, 4, 5]"
7246,"[0, 1, 2, 4, 5, 7, 8]"
7247,"[0, 1, 2, 3, 6, 8, 9]"
7248,"[0, 1, 3, 5, 6, 7, 8, 9]"
7249,"[0, 1]"
7250,"[1, 4, 7, 8]"
7251,"[0, 2, 3, 7, 9]"
7252,"[1, 3, 5, 8]"
7253,"[0, 2, 4, 5, 7, 8]"
7254,"[1, 2, 4, 9]"
7255,"[0, 5, 6, 7, 8]"
7256,"[0, 1, 4, 7]"
7257,"[0, 5, 7, 8, 9]"
7258,"[3, 5, 6, 8]"
7259,"[1, 2, 3, 4, 5, 9]"
7260,"[0, 6]"
7261,"[4, 6, 9]"
7262,"[0, 5, 6, 7]"
7263,"[0, 6, 7, 8, 9]"
7264,"[0, 1, 2, 3, 4, 6]"
7265,"[0, 6]"
7266,"[1, 2, 3, 4, 5, 6, 8]"
7267,"[1, 2, 3, 4, 5, 6, 8]"
7268,"[1, 2, 3, 4, 5, 6, 8]"
7269,"[4, 6]"
7270,"[0, 6]"
7271,"[0, 6]"
7272,"[0, 1, 2, 3, 6]"
7273,"[0, 4, 6, 9]"
7274,"[2, 5, 7, 8, 9]"
7275,"[0, 1, 2, 6, 7, 8, 9]"
7276,"[0, 1, 2, 6, 8]"
7277,"[0, 2, 3, 7, 9]"
7278,"[0, 6]"
7279,"[0, 5, 8, 9]"
7280,"[1, 3, 4, 6, 7, 8]"
7281,"[0, 2, 3, 4, 8]"
7282,"[0, 1, 2, 3, 4, 5, 9]"
7283,"[2, 6, 7, 8]"
7284,"[0, 1]"
7285,"[3, 4, 6]"
7286,"[0, 2, 3, 6, 9]"
7287,"[2, 6, 9]"
7288,"[8, 9]"
7289,"[1, 3, 5, 7, 8, 9]"
7290,"[1, 6, 7, 8]"
7291,"[1, 2, 3, 6]"
7292,"[2, 5, 6, 8, 9]"
7293,"[0, 6]"
7294,"[2, 7, 9]"
7295,"[0, 6]"
7296,"[1, 2, 3, 4, 5, 6, 8]"
7297,"[0, 4, 5, 6, 7]"
7298,"[0, 6]"
7299,"[0, 6]"
7300,"[0, 1, 2, 6]"
7301,"[2, 4, 6]"
7302,"[0, 2, 5, 6, 9]"
7303,"[0, 1, 6]"
7304,"[4, 5, 6, 8, 9]"
7305,"[1, 6, 8]"
7306,"[2, 4, 5, 6, 8, 9]"
7307,"[0, 2, 6]"
7308,"[0, 6, 7]"
7309,"[0, 4, 6, 7, 9]"
7310,"[2, 3, 5, 6, 7]"
7311,"[0, 1, 2, 3, 5, 7, 8, 9]"
7312,"[2, 6, 8, 9]"
7313,"[1, 2, 5, 9]"
7314,"[0, 6, 7, 8, 9]"
7315,"[0, 7]"
7316,"[0, 6]"
7317,"[0, 5, 8]"
7318,"[0, 5, 6, 9]"
7319,"[0, 3, 5]"
7320,"[8, 9]"
7321,"[1, 6]"
7322,"[0, 1, 5, 6, 8, 9]"
7323,"[0, 2, 6]"
7324,"[6, 9]"
7325,"[0, 2, 6]"
7326,"[0, 4, 7, 9]"
7327,"[1, 3, 4, 5, 6, 9]"
7328,"[0, 1, 2, 6, 7]"
7329,"[3, 4]"
7330,"[0, 1, 2, 3, 4, 9]"
7331,"[1, 6, 9]"
7332,"[0, 6]"
7333,"[0, 6, 9]"
7334,"[5, 8, 9]"
7335,"[0, 6]"
7336,"[0, 4, 5, 8, 9]"
7337,"[0, 1, 6]"
7338,"[2, 3, 4, 6, 7, 8]"
7339,"[0, 3, 4, 8]"
7340,"[1, 2, 5, 6]"
7341,"[0, 1, 8, 9]"
7342,"[0, 3, 5]"
7343,"[0, 6]"
7344,"[1, 2, 3, 7, 8, 9]"
7345,"[0, 6]"
7346,"[4, 6]"
7347,"[0, 4, 5, 8]"
7348,"[0, 6]"
7349,"[0, 4, 8]"
7350,"[0, 2, 3, 5, 7]"
7351,"[0, 6]"
7352,"[0, 6]"
7353,"[0, 2, 7, 9]"
7354,"[1, 3]"
7355,"[3, 6]"
7356,"[0, 3, 4, 8]"
7357,"[0, 4, 5, 8]"
7358,"[0, 8]"
7359,"[0, 3, 7, 8]"
7360,"[0, 2, 3, 5, 8]"
7361,"[0, 6]"
7362,"[0, 5, 8]"
7363,"[1, 5]"
7364,"[0, 1, 4, 6, 9]"
7365,"[1, 6, 7, 8]"
7366,"[4, 6]"
7367,"[0, 6]"
7368,"[6, 8, 9]"
7369,"[0, 6]"
7370,"[0, 3, 9]"
7371,"[0, 4, 9]"
7372,"[2, 4, 5, 7, 9]"
7373,"[0, 1, 5, 8, 9]"
7374,"[0, 1, 6]"
7375,"[2, 4, 5, 6, 9]"
7376,"[0, 2, 3, 4, 8, 9]"
7377,"[2, 3, 4, 5, 6, 8]"
7378,"[0, 4, 5, 6, 7]"
7379,"[0, 1]"
7380,"[1, 4, 6, 7, 8]"
7381,"[2, 4, 5, 6, 8, 9]"
7382,"[4, 5, 6, 7, 9]"
7383,"[0, 4, 7, 8, 9]"
7384,"[1, 2, 4, 6]"
7385,"[0, 2, 4, 5]"
7386,"[0, 1, 5, 6, 8, 9]"
7387,"[0, 2, 4, 5, 6, 8]"
7388,"[0, 1, 2, 4, 5, 8]"
7389,"[0, 3, 5]"
7390,"[6, 8]"
7391,"[3, 5, 6, 9]"
7392,"[1, 2, 3, 4, 5, 6, 8]"
7393,"[0, 1, 2, 3, 5]"
7394,"[2, 5, 9]"
7395,"[4, 6]"
7396,"[0, 1, 6, 8]"
7397,"[0, 6, 9]"
7398,"[0, 2, 4, 5, 6, 9]"
7399,"[0, 2, 9]"
