ano_idx,exp_subspace
6903,"[0, 1]"
6904,"[0, 1]"
6905,"[0, 1, 4, 5, 6, 7]"
6906,"[0, 1, 3, 4, 5, 9]"
6907,"[0, 1, 2]"
6908,"[0, 1, 2]"
6909,"[0, 1, 2]"
6910,"[0, 4, 5, 9]"
6911,"[0, 1, 2, 3, 5]"
6912,"[0, 2]"
6913,"[0, 1, 4, 5, 6]"
6914,"[0, 1]"
6915,"[0, 1, 2]"
6916,"[0, 1]"
6917,[0]
6918,"[0, 1]"
6919,"[0, 2]"
6920,"[1, 5, 6, 7, 9]"
6921,"[0, 1, 2]"
6922,"[1, 3, 5, 6, 8]"
6923,"[0, 1, 3, 4, 5, 6, 7]"
6924,"[1, 2, 6]"
6925,"[0, 1, 6, 8]"
6926,"[0, 2]"
6927,"[5, 8]"
6928,"[0, 2]"
6929,"[4, 5, 7, 9]"
6930,"[1, 2, 9]"
6931,"[0, 3, 4, 5, 6, 7]"
6932,"[0, 3, 4, 5, 6]"
6933,"[3, 4, 5, 6, 7]"
6934,"[4, 8]"
6935,"[0, 1, 4, 5, 6, 9]"
6936,"[1, 3, 5]"
6937,"[0, 1, 3, 4, 5]"
6938,"[0, 1, 3]"
6939,"[0, 2]"
6940,"[5, 6, 7, 8]"
6941,"[0, 1, 2]"
6942,"[0, 1, 3, 4, 5, 6]"
6943,"[0, 1]"
6944,"[1, 3, 4, 6]"
6945,"[0, 1]"
6946,"[0, 1, 4, 5, 6, 7]"
6947,"[0, 1, 4, 5, 6, 7, 8]"
6948,[1]
6949,"[0, 1, 3, 4, 5]"
6950,"[0, 1, 4, 5, 6, 9]"
6951,"[0, 1, 2]"
6952,"[0, 1]"
6953,"[0, 1, 5]"
6954,"[0, 1, 3, 4]"
6955,"[0, 1]"
6956,"[0, 1, 4, 5, 6]"
6957,[1]
6958,"[0, 2, 4, 5, 8]"
6959,[0]
6960,"[0, 3, 5, 9]"
6961,"[1, 3, 4, 7]"
6962,"[0, 2, 5]"
6963,"[0, 1, 2, 4, 5, 8]"
6964,"[0, 1, 2, 3]"
6965,"[0, 1, 3, 4, 5]"
6966,"[0, 1, 2, 4, 8]"
6967,"[0, 1, 2, 4, 8]"
6968,"[0, 2]"
6969,"[3, 4, 5, 6, 7]"
6970,"[4, 7]"
6971,"[0, 1]"
6972,"[0, 1, 2, 4, 5, 6, 8]"
6973,"[0, 1, 2, 3]"
6974,"[0, 7]"
6975,"[0, 1, 4, 6]"
6976,"[0, 1, 2]"
6977,"[3, 4, 5, 6, 7]"
6978,"[0, 1]"
6979,[4]
6980,"[0, 2]"
6981,"[1, 4, 6]"
6982,"[0, 1]"
6983,"[4, 5, 6, 7]"
6984,"[5, 6]"
6985,"[1, 3, 5, 8, 9]"
6986,"[0, 1, 2, 4, 8]"
6987,"[0, 1, 4, 5, 6]"
6988,"[0, 1, 2, 3]"
6989,"[0, 1, 2, 4, 5, 8]"
6990,"[0, 1]"
6991,"[0, 4, 6]"
6992,"[2, 3, 7, 9]"
6993,"[0, 3, 4, 5, 6, 7]"
6994,"[1, 3, 4, 5, 6]"
6995,"[0, 1]"
6996,"[0, 3, 5, 6, 7]"
6997,"[0, 1, 4, 5, 6]"
6998,"[0, 1, 2, 4, 5, 8]"
6999,"[0, 1, 3]"
7000,"[0, 1, 3]"
7001,"[0, 1, 3, 4, 5, 6]"
7002,"[1, 3, 4, 6]"
7003,"[0, 1, 2, 3]"
7004,"[0, 3, 4, 5, 6, 7]"
7005,"[0, 1, 3, 4, 5]"
7006,"[0, 1, 2, 4, 8]"
7007,"[3, 5, 6, 8]"
7008,"[0, 1, 4, 5, 7]"
7009,"[5, 6, 8]"
7010,"[0, 1, 3, 4]"
7011,[0]
7012,"[0, 1]"
7013,"[0, 1, 3, 4, 5]"
7014,"[0, 1]"
7015,"[0, 1, 2]"
7016,"[0, 1]"
7017,"[0, 1, 2]"
7018,"[1, 4, 6]"
7019,"[0, 1, 2, 3]"
7020,"[0, 1, 3, 4, 5, 6]"
7021,[1]
7022,[0]
7023,[0]
7024,"[0, 1, 2, 3]"
7025,"[0, 1]"
7026,"[0, 1, 3, 4]"
7027,"[0, 1, 4, 5, 6, 7]"
7028,"[0, 7]"
7029,"[3, 5, 6, 8]"
7030,"[0, 1, 3, 4, 5, 9]"
7031,"[0, 1]"
7032,"[3, 5, 6, 8]"
7033,"[0, 1]"
7034,"[1, 5, 6]"
7035,"[0, 1, 3]"
7036,"[0, 2]"
7037,"[2, 6, 8]"
7038,"[0, 1, 2]"
7039,"[1, 3, 5, 6, 8]"
7040,"[4, 5, 6, 7]"
7041,"[4, 5, 8]"
7042,"[0, 1, 5, 6, 9]"
7043,"[0, 3, 4, 9]"
7044,"[0, 1, 3]"
7045,"[0, 1, 5, 6, 8]"
7046,"[0, 1, 3, 4, 5]"
7047,"[0, 1, 3, 4, 5, 7]"
7048,"[2, 3, 6, 8]"
7049,"[0, 1, 2]"
7050,"[0, 1, 2]"
7051,"[0, 1]"
7052,"[0, 1, 3]"
7053,"[0, 2]"
7054,"[0, 7, 8]"
7055,"[0, 1, 5]"
7056,"[0, 1, 4, 5, 6, 7]"
7057,"[0, 1]"
7058,[0]
7059,"[3, 4, 5, 6, 7]"
7060,"[1, 3, 4, 5, 6]"
7061,"[0, 2]"
7062,"[0, 4, 5, 6, 7]"
7063,"[0, 1]"
7064,"[0, 3, 4, 5, 6, 7]"
7065,"[0, 1, 2, 5, 8, 9]"
7066,"[1, 2]"
7067,"[0, 1, 4, 5, 7]"
7068,"[0, 3, 4, 6, 7]"
7069,"[0, 1, 2, 4, 8]"
7070,"[1, 3, 5, 6, 8]"
7071,"[0, 3, 4, 5, 7]"
7072,"[3, 4, 7]"
7073,[0]
7074,"[1, 2]"
7075,"[0, 1, 4, 5, 7]"
7076,[0]
7077,"[1, 4, 5, 8]"
7078,"[0, 2]"
7079,"[3, 4, 5, 6, 7]"
7080,"[0, 1, 2, 3, 4, 5, 8]"
7081,"[0, 1]"
7082,"[0, 1, 5]"
7083,"[3, 4]"
7084,"[0, 1, 3, 4, 5]"
7085,"[0, 1]"
7086,"[0, 1, 3, 4, 5, 6]"
7087,"[0, 1, 2, 4, 5, 8]"
7088,"[0, 1, 2, 4, 5, 8]"
7089,"[0, 1]"
7090,[0]
7091,[0]
7092,"[0, 1]"
7093,"[0, 1, 4, 5, 6, 7]"
7094,"[1, 2, 9]"
7095,"[0, 1, 3, 4, 5]"
7096,"[0, 1, 4, 5, 6, 7]"
7097,"[0, 1, 3, 4, 5]"
7098,"[0, 1, 2]"
7099,"[4, 6]"
7100,"[4, 7]"
7101,"[0, 3, 4, 5, 6, 7]"
7102,"[0, 2]"
7103,"[0, 1, 2, 3, 5]"
7104,"[1, 4, 6]"
7105,[1]
7106,"[0, 1]"
7107,"[0, 1, 2]"
7108,"[1, 5, 8]"
7109,"[0, 1, 2]"
7110,"[0, 1, 3, 4, 5, 7]"
7111,"[0, 4, 5, 9]"
7112,"[0, 1, 2]"
7113,"[0, 2]"
7114,"[3, 4, 5, 6, 7]"
7115,"[0, 1]"
7116,"[0, 5, 6]"
7117,"[0, 1, 5]"
7118,[0]
7119,"[0, 1, 8]"
7120,"[0, 1, 4, 5, 6, 7]"
7121,"[0, 1, 4, 5, 6, 7, 8]"
7122,"[0, 1, 3]"
7123,"[1, 2, 5, 6]"
7124,"[1, 3, 4, 5, 8]"
7125,"[0, 1, 2, 4, 5, 8]"
7126,"[0, 3, 4, 7, 9]"
7127,[0]
7128,"[5, 6, 9]"
7129,"[0, 1]"
7130,"[0, 1, 3, 4, 5, 6]"
7131,"[0, 1, 3, 4, 5, 6]"
7132,"[0, 1, 3, 5, 6]"
7133,"[0, 1]"
7134,"[0, 1, 3, 4, 5]"
7135,"[3, 5, 6, 8]"
7136,"[1, 3, 4, 9]"
7137,[0]
7138,"[1, 4, 5, 8]"
7139,"[0, 1]"
7140,"[0, 1, 3, 4, 5, 6]"
7141,"[0, 1]"
7142,"[0, 1, 4, 5, 6, 7]"
7143,"[3, 4, 5, 6, 7]"
7144,"[0, 1, 3, 4, 5, 7]"
7145,"[0, 1, 3, 4, 5, 6]"
7146,[1]
7147,"[1, 5, 9]"
7148,"[3, 4, 5, 8]"
7149,"[2, 3, 4, 6, 7]"
7150,"[1, 5, 8, 9]"
7151,"[0, 1, 2]"
7152,"[0, 1, 3, 4, 5, 6, 7, 8]"
7153,"[4, 5, 8]"
7154,"[0, 1, 3, 5]"
7155,"[1, 3, 4, 5, 7]"
7156,"[0, 2]"
7157,"[0, 1, 3]"
7158,"[0, 1, 3, 4, 5, 6]"
7159,"[1, 3, 4, 6, 7]"
7160,[0]
7161,"[3, 4, 5, 6, 7]"
7162,"[0, 1, 3, 4, 5, 6, 7]"
7163,[7]
7164,"[0, 1, 3, 4, 5]"
7165,"[0, 1, 5, 6, 8]"
7166,"[0, 1, 2]"
7167,"[0, 1]"
7168,"[0, 1, 3, 4, 5, 7]"
