ano_idx,exp_subspace
6903,"[0, 2, 6, 9]"
6904,"[0, 3, 6, 9]"
6905,"[4, 5, 6, 7]"
6906,"[0, 4, 8, 9]"
6907,"[0, 1, 2, 4]"
6908,"[0, 2, 4, 6]"
6909,"[0, 1, 4, 8]"
6910,"[2, 4, 7, 9]"
6911,"[1, 3, 5, 6]"
6912,"[0, 2, 7, 9]"
6913,"[1, 4, 5, 6]"
6914,"[0, 4, 6, 8]"
6915,"[0, 2, 4, 6]"
6916,"[0, 1, 4, 7]"
6917,"[0, 5, 6, 8]"
6918,"[0, 2, 5, 9]"
6919,"[0, 2, 4, 6]"
6920,"[1, 4, 7, 9]"
6921,"[0, 1, 7, 8]"
6922,"[0, 3, 5, 8]"
6923,"[4, 5, 6, 7]"
6924,"[1, 2, 6, 8]"
6925,"[2, 5, 6, 8]"
6926,"[2, 5, 7, 8]"
6927,"[3, 5, 7, 8]"
6928,"[0, 1, 7, 8]"
6929,"[4, 5, 7, 9]"
6930,"[1, 4, 5, 9]"
6931,"[4, 6, 7, 9]"
6932,"[4, 6, 8, 9]"
6933,"[2, 6, 7, 8]"
6934,"[2, 4, 6, 7, 8, 9]"
6935,"[4, 5, 6, 9]"
6936,"[2, 4, 5, 8]"
6937,"[1, 4, 7, 8]"
6938,"[1, 3, 7, 8]"
6939,"[0, 2, 4, 6]"
6940,"[2, 6, 7, 8]"
6941,"[1, 5, 6, 8]"
6942,"[0, 4, 5, 8]"
6943,"[0, 2, 6, 9]"
6944,"[4, 7, 8, 9]"
6945,"[0, 2, 4, 8]"
6946,"[3, 4, 5, 7]"
6947,"[1, 4, 6, 7, 8, 9]"
6948,"[1, 2, 7, 9]"
6949,"[0, 3, 5, 8]"
6950,"[0, 6, 8, 9]"
6951,"[0, 2, 5, 8]"
6952,"[0, 2, 4, 8]"
6953,"[1, 4, 5, 8]"
6954,"[0, 7, 8, 9]"
6955,"[0, 2, 4, 6]"
6956,"[0, 5, 6, 9]"
6957,"[1, 2, 7, 8]"
6958,"[4, 5, 6, 8]"
6959,"[0, 2, 4, 8]"
6960,"[1, 5, 8, 9]"
6961,"[1, 2, 4, 7]"
6962,"[0, 4, 5, 8]"
6963,"[1, 7, 8, 9]"
6964,"[0, 1, 3, 6]"
6965,"[0, 4, 5, 8]"
6966,"[2, 5, 8, 9]"
6967,"[1, 4, 7, 8]"
6968,"[0, 2, 4, 8]"
6969,"[4, 5, 6, 7]"
6970,"[4, 6, 7, 9]"
6971,"[0, 2, 4, 8]"
6972,"[2, 5, 6, 8]"
6973,"[0, 3, 4, 6]"
6974,"[0, 1, 7]"
6975,"[0, 4, 6, 8]"
6976,"[0, 5, 8, 9]"
6977,"[4, 5, 6, 7]"
6978,"[0, 2, 6, 9]"
6979,"[2, 4, 5, 6]"
6980,"[0, 2, 4, 8]"
6981,"[0, 3, 4, 8]"
6982,"[0, 3, 5, 8]"
6983,"[4, 6, 7, 9]"
6984,"[4, 5, 6, 7]"
6985,"[1, 3, 5, 8]"
6986,"[0, 1, 7, 8]"
6987,"[0, 5, 6, 8, 9]"
6988,"[0, 3, 6, 9]"
6989,"[1, 3, 5, 8]"
6990,"[0, 5, 8, 9]"
6991,"[2, 4, 6, 8]"
6992,"[4, 5, 7, 9]"
6993,"[1, 5, 6, 7]"
6994,"[3, 4, 5, 9]"
6995,"[0, 1, 7, 8]"
6996,"[2, 5, 6, 7]"
6997,"[0, 5, 6, 9]"
6998,"[2, 5, 8, 9]"
6999,"[1, 3, 5, 8]"
7000,"[0, 3, 5, 9]"
7001,"[0, 2, 5, 6]"
7002,"[2, 3, 4, 6]"
7003,"[0, 7, 8, 9]"
7004,"[3, 4, 5, 7]"
7005,"[0, 5, 6, 9]"
7006,"[0, 4, 5, 8]"
7007,"[1, 3, 7, 8]"
7008,"[0, 4, 5, 8]"
7009,"[4, 5, 6, 8]"
7010,"[0, 3, 6, 7]"
7011,"[0, 2, 6]"
7012,"[0, 1, 4, 6]"
7013,"[0, 1, 5, 8]"
7014,"[0, 6, 7, 9]"
7015,"[0, 4, 6, 8]"
7016,"[0, 5, 7, 8]"
7017,"[1, 3, 5, 8]"
7018,"[2, 4, 6, 9]"
7019,"[0, 2, 3, 9]"
7020,"[0, 5, 6, 8]"
7021,"[1, 7, 8, 9]"
7022,"[0, 3, 8, 9]"
7023,"[0, 2, 6, 9]"
7024,"[0, 1, 3, 9]"
7025,"[0, 1, 5, 7]"
7026,"[2, 4, 7, 8]"
7027,"[0, 2, 5, 6, 7]"
7028,"[0, 6, 7, 9]"
7029,"[0, 3, 5, 8]"
7030,"[0, 7, 8, 9]"
7031,"[0, 7, 8, 9]"
7032,"[1, 3, 5, 6, 7]"
7033,"[0, 5, 6, 9]"
7034,"[1, 5, 6, 8]"
7035,"[1, 3, 5, 7]"
7036,"[0, 1, 5, 9]"
7037,"[0, 2, 6, 8]"
7038,"[0, 1, 5, 8]"
7039,"[1, 3, 5, 8]"
7040,"[4, 6, 7, 9]"
7041,"[4, 6, 7, 8]"
7042,"[4, 5, 6, 9]"
