ano_idx,exp_subspace
5732,[1]
5733,[2]
5734,[1]
5735,[1]
5736,[1]
5737,[1]
5738,[1]
5739,[2]
5740,[1]
5741,[1]
5742,[1]
5743,[2]
5744,[1]
5745,[1]
5746,[1]
5747,[1]
5748,[1]
5749,[5]
5750,[2]
5751,[1]
5752,[1]
5753,[2]
5754,[7]
5755,[1]
5756,[1]
5757,[2]
5758,[1]
5759,[2]
5760,[1]
5761,[2]
5762,[2]
5763,[1]
5764,[1]
5765,[1]
5766,[6]
5767,[2]
5768,[1]
5769,[5]
5770,[2]
5771,[1]
5772,[1]
5773,[1]
5774,[1]
5775,[2]
5776,[1]
5777,[5]
5778,[7]
5779,[1]
5780,[1]
5781,[1]
5782,[1]
5783,[9]
5784,[1]
5785,[1]
5786,[1]
5787,[2]
5788,[2]
5789,[1]
5790,[1]
5791,[2]
5792,[1]
5793,[1]
5794,[2]
5795,[1]
5796,[2]
5797,[1]
5798,[1]
5799,[1]
5800,[1]
5801,[2]
5802,[7]
