ano_idx,exp_subspace
5732,"[1, 2, 3, 7]"
5733,"[0, 1, 3, 7]"
5734,"[1, 9]"
5735,"[2, 5]"
5736,"[2, 5]"
5737,"[0, 1, 2, 5, 9]"
5738,[1]
5739,"[1, 2, 3, 6]"
5740,"[1, 2, 8, 9]"
5741,"[0, 1, 2, 3, 4, 6, 7, 9]"
5742,"[1, 2, 3, 6, 7]"
5743,"[1, 2, 3, 7, 8]"
5744,"[1, 2, 3]"
5745,"[1, 2, 6, 9]"
5746,"[0, 2, 5]"
5747,"[0, 2, 5]"
5748,"[0, 1, 2, 4, 5, 9]"
5749,"[4, 7]"
5750,"[1, 2, 3, 4, 6, 7]"
5751,"[0, 1, 2, 3, 9]"
5752,[2]
5753,"[0, 2, 5]"
5754,"[1, 3, 5, 6]"
5755,"[0, 1, 2, 3, 5, 8, 9]"
5756,"[0, 2, 5]"
5757,"[1, 2, 3, 7, 8]"
5758,"[5, 7]"
5759,"[1, 3, 5]"
5760,"[0, 2, 5]"
5761,"[0, 1, 2, 3, 9]"
5762,"[1, 5, 9]"
5763,"[0, 1, 2, 3, 4, 6, 7, 9]"
5764,"[0, 1, 2, 3, 4, 7, 9]"
5765,"[1, 3, 7]"
5766,"[5, 6]"
5767,"[0, 1, 2, 3, 6, 9]"
5768,"[1, 2, 6, 7]"
5769,[5]
5770,"[0, 1, 2, 4, 5, 9]"
5771,"[1, 2, 5, 6, 7]"
5772,"[0, 1, 2, 3, 7]"
5773,"[1, 3, 7]"
5774,"[2, 5]"
5775,"[1, 3, 5]"
5776,"[0, 1, 2, 3, 4, 7, 9]"
5777,"[5, 9]"
5778,"[0, 5, 7, 9]"
5779,"[1, 3, 7]"
5780,"[0, 2, 9]"
5781,"[0, 1, 2, 4, 5, 9]"
5782,"[3, 7]"
5783,"[0, 2, 9]"
5784,[1]
5785,"[0, 1, 2, 5, 9]"
5786,"[2, 5, 8]"
5787,"[2, 4, 5]"
5788,[7]
5789,"[0, 1, 2, 3, 4, 7, 9]"
5790,"[1, 2, 3, 4, 6, 7]"
5791,"[7, 8]"
5792,"[1, 3, 7]"
5793,"[0, 1, 2, 3, 5, 9]"
5794,"[1, 2, 4, 7]"
5795,"[0, 1, 2, 5, 9]"
5796,"[0, 1, 2, 3, 5, 8, 9]"
5797,"[0, 1, 2, 3, 7, 9]"
5798,[7]
5799,"[1, 3, 7]"
5800,"[1, 2, 3, 5]"
5801,"[1, 2, 3, 5, 7]"
5802,"[3, 9]"
