ano_idx,exp_subspace
5732,"[0, 3]"
5733,"[1, 4, 7]"
5734,"[0, 1, 3, 5, 6]"
5735,"[0, 1, 2, 3, 4, 5]"
5736,"[0, 1, 2, 3, 4, 5]"
5737,[1]
5738,"[0, 3]"
5739,"[2, 5]"
5740,"[0, 1, 4, 9]"
5741,"[0, 2, 3, 4, 5, 6, 7]"
5742,"[0, 1, 4]"
5743,"[2, 6, 8]"
5744,"[1, 4, 5]"
5745,"[2, 6, 8]"
5746,"[2, 5, 6]"
5747,"[2, 3, 5]"
5748,"[0, 2, 3, 4, 7]"
5749,"[0, 1, 5, 8]"
5750,"[1, 5]"
5751,"[1, 6]"
5752,[3]
5753,"[0, 1, 2, 5, 7]"
5754,[2]
5755,[2]
5756,"[0, 1, 4]"
5757,"[2, 8, 9]"
5758,"[0, 1, 4, 7]"
5759,"[2, 3, 5, 9]"
5760,"[2, 5, 6, 7, 9]"
5761,"[2, 5, 6, 7, 9]"
5762,"[1, 3, 5]"
5763,"[0, 2, 3, 4, 5, 6, 7]"
5764,"[3, 4, 9]"
5765,"[2, 4]"
5766,"[0, 4, 5, 6, 8, 9]"
5767,"[0, 1, 2, 3]"
5768,"[1, 3]"
5769,"[1, 2, 5]"
5770,"[1, 5]"
5771,"[0, 1, 2, 3, 5]"
5772,"[0, 2, 4, 7, 9]"
5773,"[1, 4]"
5774,"[1, 5]"
5775,"[0, 1, 2, 5]"
5776,"[2, 6, 8]"
5777,"[0, 1, 5, 6]"
5778,"[0, 5, 7, 8]"
5779,[1]
5780,"[1, 3, 4, 9]"
5781,"[0, 2, 5, 7]"
5782,"[2, 3, 5]"
5783,"[1, 3, 9]"
5784,"[0, 1, 2]"
5785,"[1, 6]"
5786,"[4, 5]"
5787,"[0, 1, 2, 3]"
5788,"[0, 7]"
5789,[1]
5790,"[2, 5, 6, 7, 9]"
5791,"[1, 3, 4, 5]"
5792,"[0, 1, 5]"
5793,"[2, 4, 5]"
5794,"[1, 7, 9]"
5795,"[0, 1, 5]"
5796,"[1, 8, 9]"
5797,[1]
5798,"[1, 2, 3, 5]"
5799,"[1, 2]"
5800,"[2, 5, 7]"
5801,"[2, 5]"
5802,"[0, 2, 3, 9]"
