ano_idx,exp_subspace
5732,"[0, 2, 3]"
5733,"[0, 1, 3, 4, 6, 8]"
5734,"[1, 3, 6, 7, 8, 9]"
5735,[5]
5736,[5]
5737,"[0, 1, 3, 5, 9]"
5738,"[1, 3, 4, 6, 8]"
5739,"[1, 5, 6]"
5740,"[0, 2, 3, 4, 6, 8]"
5741,"[1, 2, 3, 4, 6, 7, 8]"
5742,"[0, 1, 3, 4, 6, 8]"
5743,"[1, 3, 4, 6, 8]"
5744,"[0, 1, 3, 4, 6, 8]"
5745,"[0, 2, 6, 8]"
5746,"[0, 1, 2, 4, 5, 6, 8, 9]"
5747,"[0, 2]"
5748,"[0, 2, 3, 9]"
5749,"[0, 3, 4, 7, 8, 9]"
5750,"[0, 1, 3, 7, 8]"
5751,"[0, 1, 3, 4, 6, 8]"
5752,"[0, 2]"
5753,"[0, 1, 2, 4, 5, 6, 8, 9]"
5754,"[1, 3, 4, 6, 8]"
5755,"[1, 3, 4, 6, 8]"
5756,"[0, 1, 2, 4, 5, 6, 8, 9]"
5757,"[0, 2, 3, 8]"
5758,"[5, 7]"
5759,"[0, 1, 3, 4, 6, 8]"
5760,"[0, 1, 2, 4, 5, 6, 8, 9]"
5761,"[0, 2, 3]"
5762,"[1, 2, 3, 4, 6, 7, 8]"
5763,"[1, 2, 3, 4, 6, 7, 8]"
5764,"[1, 5, 6, 7, 8, 9]"
5765,"[0, 1, 3, 4, 6, 8]"
5766,"[2, 6, 8]"
5767,"[0, 1, 3, 4, 6, 8]"
5768,"[1, 2, 3, 4, 6, 7, 8]"
5769,"[0, 1, 2, 4, 5, 6, 8, 9]"
5770,"[0, 1, 3, 5, 7, 8, 9]"
5771,"[0, 1, 2, 4, 5, 6, 8, 9]"
5772,"[0, 2, 3]"
5773,"[0, 1, 3, 4, 6, 8]"
5774,"[0, 1, 3, 5, 9]"
5775,"[0, 1, 3, 4, 6, 8]"
5776,"[0, 1, 3, 7, 8, 9]"
5777,"[6, 7, 8, 9]"
5778,"[3, 7, 9]"
5779,"[0, 1, 3, 4, 6, 8]"
5780,"[0, 2, 3, 9]"
5781,"[0, 1, 2, 4, 5, 6, 8, 9]"
5782,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
5783,"[1, 5, 6, 7, 8, 9]"
5784,[1]
5785,"[0, 2]"
5786,"[0, 1, 2, 4, 5, 6, 8, 9]"
5787,"[4, 7, 9]"
5788,[7]
5789,"[1, 3, 6, 7, 9]"
5790,"[0, 1, 3, 4, 6, 8]"
5791,"[1, 3, 4, 7, 8, 9]"
5792,"[0, 1, 3, 4, 6, 8]"
5793,"[0, 1, 2, 4, 5, 6, 7, 9]"
5794,"[0, 1, 3, 7, 8]"
5795,"[0, 1, 3, 5, 6, 7, 9]"
5796,"[0, 1, 2, 4, 5, 6, 7, 8]"
5797,"[1, 3, 7, 8, 9]"
5798,"[3, 7]"
5799,"[0, 1, 2, 4, 5, 6, 7, 9]"
5800,"[0, 1, 3, 4, 6, 8]"
5801,"[0, 1, 3, 5, 7, 9]"
5802,"[0, 1, 2, 4, 5, 6, 7, 9]"
