ano_idx,exp_subspace
5732,"[0, 1, 2, 3]"
5733,"[0, 1, 2, 7]"
5734,"[0, 1, 2, 5]"
5735,[5]
5736,[5]
5737,"[0, 1, 2, 5]"
5738,"[0, 1, 2, 3]"
5739,"[1, 2, 3, 5]"
5740,"[1, 2, 3, 7]"
5741,"[1, 2, 3, 5]"
5742,"[0, 1, 2, 3]"
5743,"[0, 1, 2, 3]"
5744,"[0, 1, 2, 3]"
5745,"[0, 1, 2, 5]"
5746,"[1, 2, 5, 6]"
5747,"[0, 1, 2, 5]"
5748,"[0, 1, 2, 5]"
5749,"[1, 2, 4, 5]"
5750,"[0, 1, 2, 3]"
5751,"[1, 2, 3, 5]"
5752,"[0, 1, 2, 3]"
5753,"[0, 1, 2, 5]"
5754,"[0, 1, 2, 3]"
5755,"[0, 1, 2, 3]"
5756,"[0, 1, 2, 5]"
5757,"[1, 2, 3, 7]"
5758,"[0, 1, 2, 5]"
5759,"[0, 1, 2, 3]"
5760,"[0, 1, 2, 3]"
5761,"[1, 2, 3, 7]"
5762,"[0, 1, 2, 5]"
5763,"[1, 2, 3, 5]"
5764,"[0, 1, 2, 5]"
5765,"[0, 1, 2, 3]"
5766,"[1, 3, 5, 6]"
5767,"[0, 1, 2, 3]"
5768,"[0, 1, 2, 7]"
5769,"[0, 1, 5, 7]"
5770,"[0, 1, 2, 5]"
5771,"[0, 1, 2, 5]"
5772,"[1, 2, 3, 7]"
5773,"[0, 1, 2, 3]"
5774,"[0, 1, 2, 5]"
5775,"[0, 1, 2, 3]"
5776,"[0, 1, 2, 3]"
5777,"[0, 1, 5, 7]"
5778,"[2, 3, 5, 7]"
5779,"[0, 1, 2, 3]"
5780,"[0, 1, 2, 5]"
5781,"[0, 1, 2, 5]"
5782,"[0, 1, 2, 3]"
5783,"[1, 2, 3, 7]"
5784,[1]
5785,"[0, 1, 2, 5]"
5786,"[0, 1, 2, 5]"
5787,"[0, 1, 4, 5]"
5788,"[0, 1, 2, 7]"
5789,"[1, 2, 3, 5]"
5790,"[0, 1, 2, 3]"
5791,"[1, 2, 5, 6]"
5792,"[0, 1, 2, 3]"
5793,"[0, 1, 2, 3]"
5794,"[0, 1, 2, 5]"
5795,"[0, 1, 2, 5]"
5796,"[0, 1, 2, 5]"
5797,"[0, 1, 2, 5]"
5798,"[1, 3, 5, 6]"
5799,"[0, 1, 2, 3]"
5800,"[0, 1, 2, 3]"
5801,"[0, 1, 2, 5]"
5802,"[0, 1, 2, 3]"
