ano_idx,exp_subspace
14691,"[0, 2, 3]"
14741,"[0, 2, 3]"
14788,"[0, 1, 2, 3]"
14832,"[0, 2, 3]"
14887,"[0, 1, 2, 3]"
14966,"[0, 1, 2, 3]"
15015,"[0, 1, 2, 3]"
15042,"[0, 2, 3]"
15098,"[0, 1, 2, 3]"
15164,"[0, 1, 2, 3]"
15220,"[0, 1, 2, 3]"
15282,"[0, 1, 2, 3]"
15365,"[0, 1, 2, 3]"
24787,"[0, 2, 3]"
49527,"[2, 3]"
49528,"[2, 3]"
55501,"[2, 3]"
55502,[3]
55503,[3]
55504,[3]
55505,[3]
55506,[3]
55507,[3]
55508,[3]
55509,"[1, 2, 3]"
61671,[3]
61672,[3]
67812,"[2, 3]"
67813,"[2, 3]"
88858,"[0, 1, 2, 3]"
