ano_idx,exp_subspace
210,[5]
211,[5]
212,[5]
213,"[0, 1, 4, 5]"
214,"[2, 3, 4, 5]"
215,"[0, 1, 2, 5]"
216,"[0, 2, 3, 5]"
217,"[0, 1, 2, 5]"
218,"[0, 1, 2, 4]"
219,"[0, 1, 3, 5]"
220,"[1, 2, 3, 4]"
221,"[0, 3, 4, 5]"
222,"[0, 1, 3, 4]"
223,"[1, 3, 4, 5]"
224,"[0, 2, 3, 5]"
225,"[0, 3, 4, 5]"
226,"[2, 3, 4, 5]"
227,"[1, 2, 3, 5]"
228,"[1, 3, 4, 5]"
229,"[0, 2, 3, 5]"
230,[5]
231,"[2, 3, 4, 5]"
232,"[1, 2, 3, 5]"
233,"[0, 3, 4, 5]"
234,"[0, 2, 4, 5]"
235,[5]
236,"[2, 3, 4, 5]"
237,"[1, 3, 4, 5]"
238,"[2, 3, 4, 5]"
239,"[0, 3, 4, 5]"
