ano_idx,exp_subspace
5,[5]
9,"[0, 2, 3, 4, 5, 6, 7]"
12,"[2, 3, 5, 6, 7]"
15,"[3, 4, 5, 6]"
16,"[0, 4, 5, 6]"
20,"[3, 4, 6, 7]"
21,"[0, 4, 5, 6]"
22,"[0, 4]"
23,"[1, 4, 6]"
24,"[4, 5, 6]"
26,"[0, 1, 4, 6, 7]"
27,"[0, 1, 4]"
29,"[1, 3, 4, 5, 7]"
32,"[0, 1, 2, 4, 7]"
34,[0]
37,"[0, 4, 5, 6]"
50,"[0, 1, 2, 3, 5, 6, 7]"
53,"[0, 2, 3, 4, 5, 6, 7]"
54,"[0, 4, 5, 6]"
55,"[0, 2, 3, 4, 5, 6, 7]"
56,"[0, 4, 6]"
57,"[0, 2, 3, 4]"
58,"[0, 6]"
64,"[0, 2, 3, 5, 7]"
65,"[1, 3, 4]"
66,"[0, 2, 3, 5, 6, 7]"
67,"[0, 1, 2, 7]"
68,"[2, 3, 6, 7]"
70,"[3, 4, 5, 6]"
71,"[2, 3, 4, 5, 6, 7]"
89,"[0, 1, 2, 3, 5, 6, 7]"
90,"[0, 1, 2, 3, 6, 7]"
92,"[0, 4, 5, 6]"
94,"[0, 1, 2, 7]"
99,"[1, 2, 3, 6, 7]"
102,"[0, 1, 3, 6, 7]"
104,"[1, 5, 6]"
106,"[0, 1, 4]"
107,"[0, 1, 3, 4, 7]"
108,"[0, 2, 3, 5, 6, 7]"
109,"[0, 2, 3]"
129,"[0, 4, 5, 6]"
130,"[1, 5]"
131,"[1, 2, 3, 4, 7]"
132,"[1, 2, 5, 6, 7]"
135,"[0, 1, 2, 4, 7]"
138,"[0, 4]"
140,"[0, 1]"
144,"[0, 1, 2, 7]"
146,"[2, 3, 4, 5, 7]"
147,"[2, 3, 6, 7]"
151,"[0, 4, 5, 6]"
153,"[0, 1, 2, 3, 4, 5, 6, 7]"
156,"[0, 3, 5]"
160,"[1, 2, 4, 5, 6, 7]"
161,"[1, 2, 4, 5, 6, 7]"
162,"[0, 2, 3]"
171,"[3, 4, 6]"
172,"[0, 1, 3, 4, 5]"
173,"[3, 4, 5, 6]"
179,"[1, 2, 3, 7]"
180,"[0, 2, 3, 4]"
181,"[0, 1, 3, 4, 7]"
182,"[0, 4, 5, 6]"
183,"[0, 1, 4, 7]"
184,"[1, 2, 3, 4, 6, 7]"
185,[0]
186,"[1, 2, 3, 4, 5]"
187,"[0, 3, 6]"
188,"[3, 4, 5, 6, 7]"
189,"[0, 6]"
190,"[0, 4]"
192,"[0, 2]"
213,"[0, 1, 2, 3, 6]"
214,"[0, 4, 6]"
215,"[0, 2, 3, 5, 6, 7]"
218,"[0, 4]"
223,"[0, 4, 5, 6]"
224,"[0, 4, 5, 6]"
235,"[0, 1, 2, 3, 6, 7]"
236,"[1, 2, 4, 6]"
237,"[1, 2, 4, 6]"
243,"[1, 2, 3, 6, 7]"
244,"[0, 1, 4, 7]"
245,"[0, 2, 4]"
261,"[0, 4, 5, 6]"
262,"[0, 1, 4]"
270,"[0, 4, 6]"
273,"[1, 3, 5]"
277,"[0, 3]"
278,"[1, 2, 3, 5, 6, 7]"
281,"[1, 5]"
282,"[0, 3, 4, 5]"
283,"[0, 1, 3, 4, 5, 6]"
284,"[0, 1, 3, 4, 5, 6]"
289,"[0, 1, 6, 7]"
291,"[2, 4, 6, 7]"
293,"[1, 2, 4, 6]"
297,"[0, 4, 5]"
299,"[0, 4]"
306,[4]
307,"[2, 4, 6, 7]"
308,"[2, 4, 6]"
309,"[1, 3, 4, 5, 7]"
310,"[2, 4, 6]"
311,"[1, 2, 4, 5, 6, 7]"
312,"[2, 6]"
313,"[0, 1, 2, 4, 6, 7]"
321,[1]
322,"[1, 5]"
325,"[0, 1, 4, 7]"
327,"[0, 2, 4, 6]"
328,"[0, 4, 5, 6]"
329,"[2, 6]"
331,"[0, 1, 2, 3, 4]"
333,"[0, 1, 3]"
334,"[0, 1, 4]"
336,"[1, 2, 3, 6, 7]"
337,"[1, 2, 4, 6, 7]"
338,"[0, 4]"
342,"[0, 1, 2, 3]"
346,[1]
348,"[1, 3, 4, 5, 7]"
349,"[3, 4, 5, 6]"
350,"[2, 3, 4, 6, 7]"
351,"[2, 4, 6]"
352,"[0, 2, 3, 5, 6, 7]"
353,"[0, 3, 5]"
354,"[1, 5]"
355,"[0, 1, 2, 3, 6, 7]"
362,"[0, 1, 4]"
364,"[0, 4, 5, 6]"
365,"[1, 2, 4, 5, 6, 7]"
366,"[1, 2, 4, 5, 6, 7]"
368,"[1, 2, 4, 6]"
369,"[1, 2, 4, 6, 7]"
370,"[0, 1, 4]"
371,"[2, 3, 5]"
372,"[0, 3, 4, 6]"
374,"[0, 1, 2, 3, 5, 6, 7]"
377,"[0, 1, 3, 4, 7]"
379,"[0, 1, 2, 3, 7]"
380,"[3, 4, 5, 6]"
381,"[0, 4, 5, 6]"
382,"[1, 2, 3, 5, 6, 7]"
