ano_idx,exp_subspace
5,[5]
9,"[4, 6, 7]"
12,"[3, 5, 7]"
15,"[3, 5]"
16,"[3, 5, 7]"
20,"[1, 2, 3]"
21,[2]
22,"[0, 1, 2, 3, 5]"
23,"[1, 3]"
24,[6]
26,"[0, 5, 6, 7]"
27,"[0, 2]"
29,"[1, 2, 7]"
32,"[1, 7]"
34,"[0, 1, 5, 6]"
37,"[5, 6, 7]"
50,"[1, 7]"
53,"[0, 3]"
54,"[0, 1, 5, 6]"
55,"[0, 4, 6]"
56,"[0, 1, 3]"
57,"[0, 3, 6]"
58,"[0, 4, 6]"
64,"[2, 3]"
65,"[0, 2, 7]"
66,"[0, 3]"
67,"[1, 3]"
68,"[2, 4, 6]"
70,"[5, 6]"
71,"[0, 4, 6, 7]"
89,"[3, 5, 7]"
90,"[3, 7]"
92,"[5, 6]"
94,"[1, 7]"
99,"[0, 4, 5, 6]"
102,"[5, 6]"
104,"[1, 5, 6]"
106,"[1, 5, 6]"
107,"[0, 1]"
108,"[0, 1, 5, 6]"
109,"[0, 1]"
129,"[3, 5, 7]"
130,"[1, 6]"
131,"[1, 7]"
132,"[0, 4, 6, 7]"
135,"[0, 7]"
138,"[0, 5, 7]"
140,[6]
144,"[1, 5, 6]"
146,"[0, 4, 6, 7]"
147,"[3, 5, 7]"
151,"[1, 7]"
153,"[1, 7]"
156,"[2, 3]"
160,"[2, 7]"
161,"[2, 7]"
162,"[0, 2]"
171,"[1, 2, 5, 6]"
172,[0]
173,"[0, 5, 7]"
179,[3]
180,"[0, 2]"
181,[6]
182,"[0, 1, 5, 6, 7]"
183,"[1, 3]"
184,"[1, 2, 5, 6]"
185,"[0, 1]"
186,"[0, 1, 3]"
187,"[0, 4, 6]"
188,"[0, 5, 6, 7]"
189,"[0, 3, 4, 5, 6]"
190,"[0, 1]"
192,"[2, 5, 6]"
213,"[2, 4, 6]"
214,"[1, 7]"
215,"[2, 3]"
218,"[0, 1]"
223,[6]
224,[6]
235,"[4, 6, 7]"
236,[2]
237,[2]
243,"[1, 5, 7]"
244,"[0, 5, 7]"
245,"[1, 3]"
261,"[2, 4, 6]"
262,[0]
270,"[1, 5, 7]"
273,"[0, 1, 6, 7]"
277,"[0, 4, 5, 6]"
278,"[1, 5, 6, 7]"
281,"[1, 2]"
282,"[3, 5, 7]"
283,"[1, 3, 4, 6]"
284,"[1, 3, 4, 6]"
289,"[1, 3]"
291,"[0, 1, 6, 7]"
293,"[1, 2, 3]"
297,"[0, 3]"
299,"[0, 1, 3]"
306,[4]
307,"[2, 3]"
308,"[1, 2, 3]"
309,"[1, 2, 3]"
310,"[0, 7]"
311,"[1, 5, 6]"
312,"[0, 1]"
313,"[0, 5, 7]"
321,"[0, 1]"
322,"[0, 1]"
325,"[0, 1, 3]"
327,"[1, 2, 3]"
328,"[2, 7]"
329,[3]
331,"[0, 1, 3]"
333,"[0, 3]"
334,"[1, 3]"
336,"[1, 7]"
337,"[1, 2, 5, 6]"
338,"[0, 5, 7]"
342,"[5, 6, 7]"
346,"[1, 2, 3]"
348,"[1, 7]"
349,"[2, 7]"
350,"[2, 7]"
351,"[0, 5, 7]"
352,"[0, 1, 6, 7]"
353,"[2, 7]"
354,"[1, 7]"
355,"[1, 2, 3]"
362,"[0, 4, 5, 6]"
364,"[0, 3, 4, 5, 6]"
365,"[0, 5, 7]"
366,"[0, 2, 3]"
368,"[3, 7]"
369,"[2, 7]"
370,"[3, 5, 7]"
371,"[1, 2]"
372,[1]
374,"[1, 7]"
377,"[0, 3]"
379,"[0, 3, 6]"
380,"[2, 3]"
381,"[0, 4, 5, 6]"
382,"[0, 5]"
384,"[2, 7]"
387,"[0, 5, 7]"
388,"[0, 5, 7]"
391,"[2, 3]"
396,"[0, 7]"
400,"[1, 5, 6, 7]"
401,"[4, 6, 7]"
403,"[2, 4, 6]"
