ano_idx,exp_subspace
5,[5]
9,[6]
12,"[0, 2, 3]"
15,[3]
16,"[1, 3, 5]"
20,"[1, 3, 5]"
21,"[0, 1, 2, 5]"
22,"[0, 1, 2, 5]"
23,"[3, 6]"
24,[6]
26,[6]
27,[2]
29,"[0, 1, 6]"
32,"[0, 3, 5, 7]"
34,"[0, 1, 6]"
37,[6]
50,"[1, 7]"
53,[2]
54,"[0, 1, 6]"
55,"[0, 1, 6]"
56,"[1, 3, 5]"
57,"[3, 6]"
58,[0]
64,[3]
65,"[0, 7]"
66,"[0, 3, 5]"
67,[3]
68,"[1, 6]"
70,[6]
71,[6]
89,"[0, 3, 5, 7]"
90,"[0, 2, 3]"
92,[6]
94,[1]
99,[6]
102,[6]
104,"[1, 6]"
106,"[1, 6]"
107,[0]
108,"[0, 1, 6]"
109,[0]
129,"[0, 3, 5, 7]"
130,"[1, 3, 5]"
131,"[0, 1, 7]"
132,[6]
135,"[0, 7]"
138,"[0, 1, 3]"
140,"[0, 2, 3]"
144,"[0, 1, 3, 4, 5, 6]"
146,"[3, 6]"
147,"[0, 7]"
151,"[0, 7]"
153,"[0, 7]"
156,[3]
160,[2]
161,[2]
162,"[0, 2, 5]"
171,"[1, 6]"
172,[0]
173,"[0, 3, 5]"
179,[3]
180,"[0, 2]"
181,[3]
182,"[1, 6]"
183,[3]
184,[6]
185,[0]
186,"[0, 3, 5]"
187,[6]
188,[6]
189,"[3, 6]"
190,"[0, 1, 2, 5]"
192,"[2, 5, 6]"
213,[2]
214,"[0, 1, 6]"
215,"[2, 3, 5]"
218,[1]
223,[6]
224,[6]
235,"[0, 2, 6]"
236,[2]
237,[2]
243,"[1, 7]"
244,"[0, 7]"
245,[3]
261,"[0, 2, 5, 6]"
262,[0]
270,"[1, 3]"
273,"[0, 2, 6]"
277,"[0, 1, 6]"
278,"[0, 7]"
281,"[0, 1, 2]"
282,"[0, 3, 7]"
283,[6]
284,[6]
289,"[1, 3]"
291,"[0, 1, 5, 6]"
293,"[3, 6]"
297,"[0, 3, 5]"
299,"[0, 3, 5]"
306,[4]
307,[3]
308,"[1, 2, 5]"
309,"[0, 1, 3]"
310,[0]
311,"[1, 6]"
312,"[0, 1, 5, 6]"
313,"[0, 7]"
321,"[0, 1]"
322,"[0, 1, 6]"
325,"[0, 1, 3]"
327,"[1, 3]"
328,[2]
329,"[1, 3, 5]"
331,"[0, 1, 6]"
333,"[0, 3, 5, 7]"
334,"[1, 3, 5]"
336,"[1, 6]"
337,"[1, 6]"
338,"[0, 7]"
342,"[3, 6]"
346,"[0, 1, 6]"
348,[1]
349,"[1, 5, 7]"
350,"[1, 3]"
351,"[0, 7]"
352,"[0, 1, 6]"
353,[3]
354,"[0, 7]"
355,"[1, 3, 5]"
362,[2]
364,"[0, 3, 5]"
365,"[0, 1, 6]"
366,"[0, 3, 5]"
368,"[0, 3, 7]"
369,"[3, 6]"
370,"[3, 7]"
371,[1]
372,[1]
374,[7]
