ano_idx,exp_subspace
5,[5]
9,[1]
12,[3]
15,[1]
16,[7]
20,[1]
21,[3]
22,[0]
23,[6]
24,[6]
26,[6]
27,[0]
29,[1]
32,[7]
34,"[1, 6]"
37,[6]
50,[1]
53,[0]
54,[1]
55,[0]
56,[0]
57,[3]
58,[2]
64,[3]
65,[0]
66,[3]
67,[2]
68,[1]
70,[3]
71,[0]
89,[3]
90,"[0, 2, 3]"
92,[1]
94,[1]
99,[6]
102,[6]
104,[1]
106,[1]
107,[0]
108,[6]
109,[0]
129,[7]
130,[1]
131,[7]
132,[6]
135,[7]
138,[0]
140,[1]
144,[1]
146,[0]
147,[3]
151,[7]
153,[7]
156,[1]
160,[2]
161,[2]
162,[6]
171,[2]
172,[0]
173,[0]
179,[3]
180,[2]
181,[1]
182,[1]
183,[3]
184,[6]
185,[0]
186,[0]
187,[6]
188,[0]
189,[0]
190,"[0, 1]"
192,[3]
213,[3]
214,[1]
215,[6]
218,[1]
223,[6]
224,[6]
235,[2]
236,[2]
237,[2]
243,[7]
244,"[0, 1, 7]"
245,[2]
261,[3]
262,[0]
270,[1]
273,[0]
277,[6]
278,[3]
281,"[0, 1, 2]"
282,[7]
283,[3]
284,[3]
289,[3]
291,[1]
293,[6]
297,[0]
299,[1]
306,[4]
307,[0]
308,[1]
309,[2]
310,[0]
311,[1]
312,[1]
313,"[0, 7]"
321,[0]
322,"[0, 1]"
325,[0]
327,[6]
328,[1]
329,[3]
331,[0]
333,"[0, 2, 3]"
334,[1]
336,[1]
337,[2]
338,[1]
342,[0]
346,"[0, 1, 3]"
348,[1]
349,[7]
350,[1]
351,[0]
352,[7]
353,[7]
354,[7]
355,[6]
362,[0]
364,[1]
365,[0]
366,[0]
368,[7]
369,[6]
370,[6]
371,[1]
372,[1]
374,[7]
377,[3]
379,[0]
380,[3]
381,[0]
382,[3]
384,[7]
387,[7]
388,[7]
391,[2]
396,"[0, 7]"
400,[1]
401,[6]
403,[6]
404,[6]
413,[0]
424,"[0, 1, 7]"
426,[7]
429,[0]
430,[6]
434,[7]
440,[1]
441,[3]
453,[2]
456,[6]
464,[2]
467,[3]
470,"[0, 1, 3]"
482,"[0, 1, 7]"
486,[1]
491,[6]
492,"[0, 1, 3]"
500,[4]
501,[3]
503,"[0, 1, 6]"
504,[0]
509,[7]
517,[3]
523,[7]
524,[6]
532,[1]
534,[1]
540,[2]
542,[1]
546,[3]
557,[1]
562,[3]
572,[2]
573,[1]
574,[0]
577,[0]
591,[2]
634,[1]
654,[0]
658,[2]
659,[4]
660,[1]
664,"[0, 1, 2, 6]"
666,[1]
671,[0]
674,[3]
675,[3]
686,[6]
687,[2]
689,[6]
697,[0]
721,[0]
722,"[0, 6, 7]"
724,[0]
729,[6]
733,[7]
734,[3]
735,[7]
736,[1]
737,[1]
738,[1]
745,[1]
762,[0]
763,[0]
764,[4]
765,[6]
767,[3]
768,[6]
769,[6]
770,[0]
774,[1]
791,"[0, 1]"
795,[6]
815,[6]
817,[3]
821,[1]
822,[1]
823,[1]
824,[2]
825,[1]
826,[6]
829,[0]
830,[0]
845,[6]
846,[0]
847,[3]
848,[3]
849,[3]
853,[6]
854,[1]
856,[6]
857,[0]
858,[6]
863,[7]
864,[7]
865,[0]
893,[3]
894,[1]
896,[0]
897,[6]
915,[6]
916,[3]
922,[6]
928,[3]
929,[1]
930,[2]
931,[7]
932,[7]
933,[3]
934,[3]
935,[7]
936,[7]
937,[1]
961,[7]
962,[2]
963,[2]
964,[7]
965,[7]
966,[7]
967,[7]
968,[0]
969,[7]
970,[7]
971,[7]
972,[7]
973,[6]
974,"[0, 6, 7]"
975,"[0, 6, 7]"
976,[7]
977,[7]
978,[6]
979,[6]
980,[2]
981,[6]
982,[0]
983,[7]
984,[2]
985,[2]
986,"[0, 6, 7]"
987,"[0, 6, 7]"
988,[2]
989,"[1, 2]"
990,"[1, 2]"
991,[3]
992,[3]
993,[3]
994,[7]
995,[1]
996,[6]
997,[6]
998,[6]
999,[6]
1000,[6]
1005,[6]
1006,[2]
1007,[2]
1008,[7]
1009,[7]
1010,[3]
1011,[1]
1012,[1]
1013,[2]
1014,[3]
1015,[3]
1016,[1]
1017,[6]
1018,[7]
1019,[7]
1020,[2]
1021,[7]
1022,[6]
1023,[7]
1024,[3]
1025,[3]
1026,[1]
1027,[1]
