ano_idx,exp_subspace
5,[5]
9,[6]
12,"[2, 3]"
15,"[3, 5]"
16,[7]
20,"[1, 3]"
21,"[2, 3]"
22,"[0, 1]"
23,"[3, 6]"
24,[6]
26,[6]
27,"[0, 2, 5]"
29,[1]
32,"[2, 7]"
34,"[0, 6]"
37,[7]
50,[7]
53,[3]
54,[0]
55,"[0, 6]"
56,"[0, 1, 3]"
57,[3]
58,"[0, 4, 5]"
64,[3]
65,[7]
66,[3]
67,[3]
68,"[1, 2, 6]"
70,[6]
71,[7]
89,[7]
90,"[0, 2, 3, 4]"
92,[6]
94,[7]
99,"[0, 6]"
102,"[3, 6]"
104,[6]
106,"[1, 6]"
107,"[0, 1]"
108,[6]
109,"[0, 1]"
129,"[3, 7]"
130,"[1, 2]"
131,"[1, 7]"
132,"[0, 6]"
135,"[0, 1]"
138,"[0, 1]"
140,[6]
144,"[0, 1, 3]"
146,"[0, 6]"
147,[7]
151,[7]
153,[7]
156,[3]
160,"[2, 4]"
161,"[2, 4]"
162,[0]
171,"[2, 4]"
172,"[0, 1]"
173,[0]
179,"[3, 5]"
180,"[0, 2, 5]"
181,[6]
182,"[0, 1]"
183,"[0, 1, 3]"
184,"[1, 2, 6]"
185,"[0, 1]"
186,"[0, 1]"
187,[6]
188,[7]
189,"[3, 6]"
190,"[0, 1, 2]"
192,"[1, 2, 6]"
213,[3]
214,"[0, 1]"
215,"[2, 3]"
218,"[0, 1]"
223,"[0, 6]"
224,"[0, 6]"
235,[6]
236,"[2, 4]"
237,"[2, 4]"
243,"[1, 7]"
244,"[0, 1]"
245,[3]
261,[2]
262,"[0, 1]"
270,[7]
273,"[0, 6]"
277,"[0, 1, 5, 6]"
278,[7]
281,"[0, 2]"
282,[7]
283,[3]
284,[3]
289,"[1, 3]"
291,"[6, 7]"
293,"[0, 1, 3]"
297,[0]
299,[0]
306,[4]
307,[3]
308,"[0, 1, 3]"
309,"[0, 2, 3, 5]"
310,[0]
311,"[1, 5, 6]"
312,"[0, 1, 3]"
313,"[0, 7]"
321,"[0, 1]"
322,"[0, 1]"
325,[0]
327,"[1, 3, 6]"
328,[7]
329,"[0, 1, 3]"
331,[0]
333,"[0, 3]"
334,[3]
336,"[1, 7]"
337,"[1, 2, 6]"
338,[7]
342,[7]
346,"[0, 1]"
348,[7]
349,[7]
350,[7]
351,[7]
352,"[1, 7]"
353,[7]
354,[7]
355,"[0, 1, 3]"
362,"[0, 1]"
364,[3]
365,"[0, 1, 7]"
366,"[0, 2]"
368,[7]
369,[7]
370,[7]
371,"[1, 2, 5]"
372,[1]
374,[7]
377,[3]
379,"[0, 3]"
380,[3]
381,[0]
382,"[0, 1]"
384,[7]
387,"[0, 7]"
388,"[0, 7]"
391,[2]
396,[0]
400,"[1, 2]"
401,"[4, 6, 7]"
403,[6]
404,[6]
413,"[0, 1, 5, 6]"
424,"[0, 2, 7]"
426,"[0, 7]"
429,[0]
430,"[1, 2, 6]"
434,"[0, 7]"
