ano_idx,exp_subspace
5,[5]
9,"[1, 6, 7]"
12,"[0, 1, 2, 3, 6]"
15,"[0, 1, 3]"
16,"[0, 1, 7]"
20,"[1, 6, 7]"
21,"[0, 2, 3, 7]"
22,"[0, 1]"
23,"[0, 1, 2, 3, 6]"
24,"[1, 3, 6]"
26,"[1, 6, 7]"
27,"[0, 1]"
29,"[1, 3, 7]"
32,"[0, 1, 7]"
34,"[1, 2, 6]"
37,"[0, 6, 7]"
50,"[0, 1, 7]"
53,"[0, 3]"
54,"[0, 1, 2, 3, 6]"
55,"[0, 1, 2, 3, 6, 7]"
56,"[0, 3]"
57,"[0, 1, 3]"
58,"[0, 1, 2, 7]"
64,"[0, 2, 3, 4, 7]"
65,"[0, 1, 2, 7]"
66,"[0, 1, 3]"
67,"[0, 1, 3]"
68,"[1, 6, 7]"
70,"[0, 1, 2, 3, 6]"
71,"[1, 6, 7]"
89,"[0, 3, 7]"
90,"[0, 1, 2, 3, 7]"
92,"[0, 1, 2, 3, 6]"
94,"[0, 1, 3, 7]"
99,"[0, 1, 6, 7]"
102,"[0, 1, 3, 6, 7]"
104,"[0, 1, 2, 3, 6]"
106,"[0, 1]"
107,"[0, 1]"
108,"[0, 1, 2, 6]"
109,"[0, 1, 3]"
129,"[1, 3, 7]"
130,"[0, 1, 3]"
131,"[0, 1, 7]"
132,"[0, 1, 6, 7]"
135,"[0, 1, 7]"
138,"[0, 1, 7]"
140,"[0, 1, 2, 7]"
144,"[0, 1, 2, 3, 6]"
146,"[0, 1, 2, 6, 7]"
147,"[0, 1, 3]"
151,"[0, 1, 2, 7]"
153,"[0, 1, 7]"
156,"[0, 3]"
160,"[0, 2, 7]"
161,"[0, 2, 7]"
162,"[0, 3]"
171,"[0, 1, 2, 6, 7]"
172,"[0, 1, 3]"
173,"[0, 1]"
179,"[0, 1, 3]"
180,"[0, 2]"
181,"[0, 1, 3]"
182,"[0, 1, 3]"
183,"[0, 1, 3]"
184,"[0, 1, 2, 6, 7]"
185,"[0, 1]"
186,"[0, 1]"
187,"[0, 1, 6, 7]"
188,"[0, 3]"
189,"[0, 1, 2, 3, 4, 6]"
190,"[0, 1, 2, 6]"
192,"[1, 2, 6]"
213,"[0, 1, 2, 3, 6]"
214,"[0, 1, 2, 7]"
215,"[0, 1, 3]"
218,"[0, 1, 3]"
223,"[0, 6, 7]"
224,"[0, 1, 6, 7]"
235,"[0, 1, 2, 7]"
236,"[1, 2, 6, 7]"
237,"[1, 2, 6, 7]"
243,"[0, 1, 7]"
244,"[0, 1, 7]"
245,"[0, 3]"
261,"[0, 1, 2, 6, 7]"
262,"[0, 1]"
270,"[0, 1, 7]"
273,"[0, 3]"
277,"[0, 1, 6, 7]"
278,"[0, 1, 2, 7]"
281,"[0, 1, 2, 7]"
282,"[0, 1, 7]"
283,"[0, 1, 3, 6]"
284,"[0, 1, 3, 6]"
289,"[0, 1, 3]"
291,"[1, 4, 6, 7]"
293,"[0, 1, 2]"
297,"[0, 1, 3]"
299,"[0, 3]"
306,"[0, 4]"
307,"[0, 1, 2, 7]"
308,"[0, 1, 3]"
309,"[0, 2]"
310,"[0, 1, 7]"
311,"[0, 1, 3]"
312,"[0, 1, 3]"
313,"[0, 1, 7]"
321,"[0, 1, 2, 6, 7]"
322,"[0, 1, 2, 6, 7]"
325,"[0, 1, 7]"
327,"[0, 1, 2, 3, 6]"
328,"[0, 2, 3, 7]"
329,"[1, 3]"
331,"[0, 3]"
333,"[0, 3]"
334,"[0, 1, 3]"
336,"[0, 1, 3, 7]"
337,"[0, 1, 2, 6]"
338,"[0, 1, 3, 7]"
342,"[0, 1, 2, 7]"
346,"[0, 1, 2, 6]"
348,"[1, 2, 7]"
349,"[0, 1, 7]"
350,"[1, 2, 7]"
351,"[0, 1, 7]"
352,"[0, 1, 3, 7]"
353,"[0, 1, 2, 7]"
354,"[0, 1, 7]"
355,"[0, 1, 2, 3, 5, 6, 7]"
362,"[0, 1, 3]"
364,"[0, 1, 3]"
365,"[0, 1, 7]"
366,"[0, 1, 3]"
368,"[1, 3, 7]"
369,"[1, 6, 7]"
370,"[1, 6, 7]"
371,"[1, 2, 7]"
372,"[0, 1]"
374,"[0, 1, 7]"
377,"[0, 1, 3]"
379,"[0, 1, 3]"
380,"[1, 3]"
381,"[0, 1, 2, 7]"
382,"[0, 1, 3]"
384,"[0, 1, 7]"
387,"[0, 1, 7]"
388,"[0, 1, 7]"
391,"[0, 1, 2, 6]"
396,"[0, 7]"
400,"[1, 2, 7]"
401,"[1, 6, 7]"
403,"[0, 1, 2, 3, 6]"
404,"[1, 6, 7]"
413,"[0, 3]"
424,"[0, 1, 7]"
426,"[0, 1, 7]"
429,"[0, 1, 3]"
430,"[1, 6, 7]"
434,"[0, 7]"
440,"[1, 3]"
441,"[0, 1, 3]"
453,"[0, 1, 2, 6]"
456,"[0, 7]"
464,"[0, 1, 2, 7]"
467,"[0, 1, 2, 3, 6]"
470,"[0, 3, 7]"
482,"[0, 1, 2, 7]"
486,"[0, 1, 3]"
491,"[0, 1, 3, 7]"
492,"[0, 1, 3]"
500,"[3, 4]"
501,[3]
503,"[1, 3]"
504,"[0, 1]"
509,"[0, 1, 7]"
517,"[1, 3]"
523,"[0, 1, 2, 7]"
524,"[0, 1, 2, 6, 7]"
532,"[0, 1, 2, 7]"
534,"[0, 1, 2, 3, 4, 7]"
540,"[0, 1, 2, 6]"
542,"[1, 2, 7]"
546,"[1, 3]"
557,"[0, 1, 3]"
562,"[1, 2, 7]"
572,"[0, 1, 2, 7]"
573,"[0, 1, 2, 3, 6]"
574,"[0, 1, 3]"
577,"[0, 1, 3]"
591,"[0, 1, 2, 6]"
634,"[0, 2, 6]"
654,"[0, 1, 2, 4]"
658,"[0, 1, 2, 7]"
659,"[0, 3, 4, 7]"
660,"[0, 1, 2, 4, 7]"
664,"[1, 2, 6]"
666,"[0, 1, 3, 6, 7]"
671,"[0, 1, 2, 5, 6, 7]"
674,"[0, 1, 3, 7]"
675,"[0, 2, 3, 7]"
686,"[1, 2, 6]"
687,"[0, 1, 2, 7]"
689,"[1, 6, 7]"
697,"[0, 1, 3]"
721,"[0, 1, 7]"
722,"[0, 1, 7]"
724,"[0, 1, 3]"
729,"[1, 2, 6, 7]"
733,"[0, 1, 7]"
734,"[0, 1, 2, 3, 6]"
735,"[0, 1, 2, 7]"
736,"[0, 3]"
737,"[0, 1, 3]"
738,"[0, 1, 3]"
745,"[0, 1, 7]"
762,"[0, 2, 7]"
763,"[0, 1, 3, 7]"
764,"[0, 3, 4, 7]"
765,"[1, 6, 7]"
767,"[0, 1, 3]"
768,"[0, 2, 6]"
769,"[1, 6, 7]"
770,"[0, 1, 2, 6]"
774,"[0, 1, 3]"
791,"[0, 1, 2]"
795,"[0, 1, 3, 6]"
815,"[0, 1, 7]"
817,"[1, 2, 3, 6, 7]"
821,"[0, 1, 7]"
822,"[0, 1, 2, 3, 6]"
823,"[0, 1]"
824,"[0, 1, 2, 7]"
