ano_idx,exp_subspace
5,"[3, 5, 6]"
9,[6]
12,[3]
15,"[0, 1, 3]"
16,"[0, 1, 3, 6, 7]"
20,"[3, 6, 7]"
21,"[1, 6]"
22,[1]
23,"[1, 6]"
24,[6]
26,"[0, 1, 6, 7]"
27,"[0, 2, 7]"
29,"[0, 1, 7]"
32,"[0, 1, 3, 7]"
34,"[1, 6]"
37,"[1, 6, 7]"
50,"[0, 1, 6, 7]"
53,"[2, 3, 6, 7]"
54,"[0, 6]"
55,"[0, 6]"
56,[3]
57,"[3, 6]"
58,"[1, 3]"
64,"[0, 3]"
65,"[1, 3]"
66,"[0, 3]"
67,"[1, 6]"
68,"[1, 6]"
70,"[1, 6]"
71,"[1, 3, 6, 7]"
89,"[1, 3, 6, 7]"
90,[2]
92,"[0, 3]"
94,"[0, 1, 6, 7]"
99,"[0, 1, 6, 7]"
102,"[0, 1, 3, 6, 7]"
104,"[0, 1, 3]"
106,"[1, 6]"
107,"[0, 1, 3]"
108,"[0, 3, 6]"
109,"[0, 1, 6, 7]"
129,"[0, 1, 3, 7]"
130,"[1, 2, 7]"
131,[3]
132,"[0, 1, 6, 7]"
135,"[0, 1, 3, 7]"
138,"[0, 2]"
140,"[2, 3, 6]"
144,"[0, 1, 6]"
146,"[2, 3, 7]"
147,[3]
151,"[1, 6]"
153,"[0, 1, 3, 6, 7]"
156,[3]
160,"[2, 6]"
161,"[2, 6]"
162,"[3, 6]"
171,"[0, 1, 2, 7]"
172,"[0, 1, 3]"
173,"[0, 3]"
179,"[0, 1, 3]"
180,"[0, 2]"
181,"[0, 1, 3]"
182,"[0, 1, 7]"
183,"[0, 1, 7]"
184,"[0, 1, 2, 6, 7]"
185,"[0, 1, 3]"
186,[0]
187,[0]
188,"[1, 3, 7]"
189,"[0, 3, 6]"
190,"[1, 3, 6, 7]"
192,"[1, 6]"
213,"[1, 3, 6]"
214,"[0, 1, 3]"
215,"[0, 1, 3]"
218,"[1, 6, 7]"
223,"[3, 6, 7]"
224,[6]
