ano_idx,exp_subspace
5,[5]
9,"[1, 4, 5, 6, 7]"
12,"[0, 2, 3]"
15,"[0, 2, 3]"
16,"[0, 1, 2, 7]"
20,"[0, 1, 2, 3, 5, 6, 7]"
21,"[0, 1, 2, 3, 6, 7]"
22,"[0, 2, 4, 5, 6]"
23,"[0, 2, 3]"
24,"[1, 6]"
26,"[0, 6]"
27,"[0, 2, 3, 4, 5]"
29,[1]
32,"[0, 1, 2, 7]"
34,"[1, 2]"
37,"[0, 2, 4, 5, 6]"
50,"[0, 1, 2, 3, 7]"
53,"[0, 2, 3]"
54,"[0, 3, 6]"
55,"[0, 1, 3, 6]"
56,"[0, 3]"
57,"[0, 2, 3, 4, 5]"
58,"[0, 2, 3]"
64,"[0, 2, 3]"
65,"[0, 1, 2, 3]"
66,"[0, 2, 3]"
67,"[1, 3]"
68,"[1, 6]"
70,"[0, 1, 2, 3, 6, 7]"
71,"[6, 7]"
89,"[0, 2, 3]"
90,"[2, 3, 7]"
92,"[3, 6]"
94,"[0, 1, 2]"
99,"[0, 2, 4, 5, 6]"
102,"[0, 1, 3, 6]"
104,"[0, 2, 4, 5, 6]"
106,"[0, 1, 3, 6]"
107,"[0, 1, 2]"
108,"[0, 2, 4, 5, 6]"
109,"[0, 1, 3, 6]"
129,"[0, 1, 2, 3, 6, 7]"
130,"[0, 1]"
131,"[0, 1, 7]"
132,"[1, 4, 5, 6]"
135,"[0, 1, 2, 7]"
138,"[0, 1, 2, 7]"
140,"[0, 1, 2]"
144,"[0, 1, 2, 3, 6, 7]"
146,"[2, 6]"
147,"[0, 2, 3]"
151,"[1, 6, 7]"
153,"[0, 7]"
156,"[0, 2, 3]"
160,"[0, 1, 2]"
161,"[0, 1, 2]"
162,"[0, 2, 3]"
171,"[0, 1, 2, 3]"
172,"[0, 1, 2]"
173,"[0, 7]"
179,"[1, 2, 3]"
180,"[0, 2, 3]"
181,"[0, 2, 3]"
182,"[0, 1, 2]"
183,"[1, 3]"
184,"[0, 1, 2]"
185,"[0, 1, 2]"
186,"[0, 1, 2]"
187,"[1, 6]"
188,"[0, 1, 2, 3, 6, 7]"
189,"[0, 2, 4, 5, 6]"
190,"[1, 3]"
192,"[0, 2, 4, 5, 6]"
213,"[0, 1, 2, 3, 6, 7]"
214,"[0, 1, 2]"
215,"[0, 2, 5, 6]"
218,"[0, 1]"
223,"[3, 6]"
224,"[0, 2, 4, 5, 6]"
235,"[0, 1, 3, 6]"
236,"[1, 2]"
237,"[1, 2]"
243,"[1, 7]"
244,"[0, 1, 7]"
245,"[0, 2, 3]"
261,"[0, 1, 2, 6]"
262,"[0, 1, 2]"
270,"[0, 1, 2, 3, 7]"
273,"[0, 2, 4, 5, 6]"
277,"[0, 1, 2, 7]"
278,"[0, 1, 2, 3, 7]"
281,"[0, 2, 3]"
282,"[0, 1, 2, 3, 7]"
283,"[0, 3, 6]"
284,"[0, 3, 6]"
289,"[1, 3]"
291,"[1, 6, 7]"
293,"[0, 1, 2]"
297,"[0, 2, 3]"
299,"[0, 2, 3]"
306,"[0, 4, 7]"
307,"[0, 1, 2]"
308,"[0, 2, 3, 4, 5]"
309,"[0, 2, 3]"
310,"[0, 1, 2, 3, 6, 7]"
311,"[0, 6]"
312,"[0, 1, 2, 3]"
313,"[0, 1, 2, 7]"
321,"[0, 2, 3]"
322,"[1, 2]"
325,"[0, 2, 3]"
327,"[1, 3]"
328,"[0, 1, 2, 3, 7]"
329,"[1, 3, 4, 5]"
331,"[0, 2, 4, 5, 6]"
333,"[1, 2, 3, 5, 7]"
334,"[0, 2, 3]"
336,"[0, 1, 2, 3, 7]"
337,"[1, 2, 6]"
338,"[0, 1, 2, 3, 7]"
342,"[0, 1, 2, 3, 7]"
346,"[0, 1, 2]"
348,"[1, 4, 5, 6, 7]"
349,"[0, 1, 2, 7]"
350,"[0, 1, 2, 7]"
351,"[0, 1, 2]"
352,"[0, 1, 2, 3, 7]"
353,"[2, 3]"
354,"[0, 1, 7]"
355,"[0, 1, 2]"
362,"[0, 1, 2]"
364,"[0, 2, 4, 5, 6]"
365,"[0, 1, 2, 7]"
366,"[0, 2, 3]"
368,"[0, 7]"
369,"[0, 1, 2, 3, 6, 7]"
370,"[0, 1, 6, 7]"
371,"[1, 2]"
372,"[0, 1, 3, 6]"
374,"[0, 1, 2, 7]"
377,"[0, 3]"
379,"[0, 1, 2]"
380,"[1, 3]"
381,"[0, 1, 2]"
382,"[0, 1, 2, 3, 6, 7]"
384,"[2, 7]"
387,"[2, 3, 7]"
388,"[0, 1, 2, 7]"
391,"[0, 2, 4, 5, 6]"
396,"[0, 7]"
400,"[0, 1, 2, 7]"
401,"[1, 6, 7]"
403,"[0, 2, 4, 5, 6]"
404,"[0, 2, 5, 6]"
413,"[0, 1, 2]"
424,"[0, 1, 2, 5, 7]"
426,"[1, 7]"
429,"[0, 3, 6]"
430,"[0, 2, 4, 5, 6]"
434,"[0, 7]"
440,"[1, 3]"
441,"[0, 1, 2]"
453,"[0, 2, 4, 5, 6]"
456,"[2, 3, 7]"
464,"[0, 1, 2, 3, 5, 6, 7]"
467,"[0, 2, 3]"
470,"[0, 1, 2, 7]"
482,"[0, 2, 7]"
486,"[0, 1]"
491,"[0, 2, 3]"
492,"[0, 1, 2]"
500,"[1, 3, 4]"
501,"[0, 3]"
503,"[0, 2, 5, 6]"
504,"[0, 1, 2]"
509,"[0, 2, 7]"
517,"[2, 3]"
523,"[0, 1, 2, 3, 7]"
524,"[1, 6]"
532,"[0, 1, 2, 7]"
534,"[0, 1, 2]"
540,"[2, 6]"
542,"[0, 2, 4, 5, 6]"
546,"[0, 1, 3, 6]"
557,"[0, 2, 3]"
562,"[0, 2, 4, 5, 6]"
572,"[0, 1, 2]"
573,"[0, 2, 4, 5, 6]"
574,"[0, 1, 2]"
577,"[0, 1]"
591,"[0, 1, 2]"
634,"[0, 2, 4, 5, 6]"
